,Cidade,latitude,longitude,altitude,maxtemp,mintemp,acumpre,nebulos
0,Água Clara,-20.448,-52.878,303,34.280296325683594,19.695178985595703,2.27552172873402e-05,0.0008890095050446689
1,Alcinópolis,-18.324,-53.706,443,33.587520599365234,20.791715621948242,2.6572601795196533,0.0042924294248223305
2,Amambai,-23.104,-55.226,480,32.47240447998047,17.37516975402832,0.0,8.807901758700609e-05
3,Anastácio,-20.484,-55.807,160,36.116451263427734,19.739177703857422,0.0,0.0
4,Anaurilândia,-22.188,-52.718,312,32.594810485839844,20.401138305664062,0.0,0.0005830691079609096
5,Angélica,-22.153,-53.771,358,33.618045806884766,18.29116439819336,9.942986025635037e-07,0.0007786994683556259
6,Antônio João,-22.191,-55.948,681,31.93531608581543,20.578142166137695,0.0,0.0006412098882719874
7,Aparecida do Taboado,-20.087,-51.094,392,33.16966247558594,18.87939453125,0.0005340627394616604,0.00030630125547759235
8,Aquidauana,-20.471,-55.787,147,36.116451263427734,19.739177703857422,0.0,0.0
9,Aral Moreira,-22.934,-55.635,609,32.45729446411133,19.753433227539062,0.0005096588283777237,0.001675960374996066
10,Bandeirantes,-19.918,-54.364,629,32.65321350097656,19.986677169799805,0.0004848988028243184,0.00047285325126722455
11,Bataguassu,-21.714,-52.422,329,33.411415100097656,19.240245819091797,0.0,0.0
12,Bataiporã,-22.295,-53.271,334,32.986724853515625,18.84134292602539,0.0,0.0
13,Bela Vista,-22.109,-56.521,180,35.48296356201172,17.99970054626465,0.0,0.0003094892017543316
14,Bodoquena,-20.539,-56.715,132,34.25099182128906,21.28740119934082,0.0,0.0
15,Bonito,-21.121,-56.482,315,33.51662063598633,18.305700302124023,0.0,0.0
16,Brasilândia,-21.256,-52.037,343,34.070091247558594,18.381948471069336,0.0,0.0002294974256074056
17,Caarapó,-22.634,-54.822,471,32.49224853515625,18.4122257232666,0.01890398934483528,0.002233788138255477
18,Camapuã,-19.531,-54.044,409,32.901119232177734,20.636396408081055,0.17692264914512634,0.000560782034881413
19,Campo Grande,-20.443,-54.646,532,32.768218994140625,20.43895721435547,1.1743351933546364e-05,0.0006290326709859073
20,Caracol,-22.014,-57.024,212,34.86302185058594,18.371145248413086,0.0,7.878767792135477e-05
21,Cassilândia,-19.113,-51.734,470,33.01055145263672,19.256534576416016,0.4500480890274048,0.0028064416255801916
22,Chapadão do Sul,-18.794,-52.623,790,29.94209098815918,19.406124114990234,9.863382339477539,0.01002340205013752
23,Corguinho,-19.832,-54.829,320,35.225196838378906,19.391748428344727,1.2953399163961876e-05,0.00023654926917515695
24,Coronel Sapucaia,-23.272,-55.529,510,31.9776668548584,17.1151180267334,0.02838442102074623,0.0018954111728817225
25,Corumbá,-19.009,-57.653,118,35.63427734375,21.911834716796875,0.0,0.0
26,Costa Rica,-18.544,-53.129,641,30.948890686035156,19.18482780456543,1.0589686632156372,0.0015198744367808104
27,Coxim,-18.507,-54.76,238,35.52109909057617,19.91908836364746,0.0002951481146737933,0.0007891958230175078
28,Deodápolis,-22.276,-54.165,418,33.34295654296875,19.334096908569336,1.1716414519469254e-05,0.0013543833047151566
29,Dois Irmãos do Buriti,-20.68,-55.296,320,35.51926803588867,19.306493759155273,0.0023124043364077806,0.0021126307547092438
30,Douradina,-22.04,-54.613,553,34.23646545410156,18.902420043945312,0.0,0.0004721631994470954
31,Dourados,-22.221,-54.806,430,33.290061950683594,18.516345977783203,0.0,0.0003734854981303215
32,Eldorado,-23.787,-54.284,342,33.45335388183594,16.536865234375,0.0,7.881561759859324e-05
33,Fátima do Sul,-22.374,-54.514,352,33.6854133605957,18.66107177734375,0.0016510949935764074,0.0028208326548337936
34,Figueirão,-18.679,-53.638,396,33.53394317626953,20.545124053955078,0.589581310749054,0.0016919841291382909
35,Glória de Dourados,-22.418,-54.233,400,33.22844696044922,18.130619049072266,0.0,7.87943645264022e-05
36,Guia Lopes da Laguna,-21.458,-56.114,272,34.547393798828125,19.34529685974121,0.0,0.0
37,Iguatemi,-23.68,-54.561,342,33.29828643798828,16.231708526611328,0.0,0.0
38,Inocência,-19.726,-51.93,502,32.81996154785156,19.54355239868164,1.1485296487808228,0.004470398183912039
39,Itaporã,-22.079,-54.789,390,33.9645881652832,19.325010299682617,0.0,0.0005517855752259493
40,Itaquiraí,-23.474,-54.185,340,32.91886901855469,17.49631690979004,0.0,0.00023600026906933635
41,Ivinhema,-22.305,-53.815,362,33.12336730957031,19.062833786010742,0.0,0.0
42,Japorã,-23.891,-54.404,357,33.47029113769531,16.6202449798584,0.0,0.00022816512500867248
43,Jaraguari,-20.142,-54.399,589,31.669267654418945,18.77658462524414,0.13361187279224396,0.0015833916841074824
44,Jardim,-21.48,-56.138,259,34.398414611816406,19.526657104492188,0.0,0.0
45,Jateí,-22.482,-54.303,396,33.18051528930664,17.582094192504883,0.0,0.0
46,Juti,-22.861,-54.603,373,33.54078674316406,17.263416290283203,0.00021842645946890116,0.0003153789439238608
47,Ladário,-19.005,-57.602,114,35.676143646240234,22.111404418945312,0.0,0.0
48,Laguna Carapã,-22.546,-55.15,509,32.95276641845703,17.604774475097656,3.0871051421854645e-05,0.0016237202798947692
49,Maracaju,-21.614,-55.168,384,33.58287811279297,17.883758544921875,0.0,7.891414134064689e-05
50,Miranda,-20.241,-56.378,125,35.519630432128906,19.842315673828125,0.0,0.0
51,Mundo Novo,-23.938,-54.271,324,33.64837646484375,16.973196029663086,0.0,0.00023352036077994853
52,Naviraí,-23.065,-54.191,362,33.33488845825195,18.100778579711914,0.03896737098693848,0.0025441814213991165
53,Nioaque,-21.135,-55.83,200,35.787620544433594,19.991491317749023,2.0911681986035546e-06,0.0
54,Nova Alvorada do Sul,-21.466,-54.384,407,33.4797248840332,18.05564308166504,0.0,0.0008812047890387475
55,Nova Andradina,-22.233,-53.343,380,32.759178161621094,19.51458168029785,0.0,0.0
56,Novo Horizonte do Sul,-22.672,-53.861,320,32.97932434082031,19.03839874267578,0.0,0.0
57,Paranaíba,-19.677,-51.191,374,33.94284439086914,18.553997039794922,0.009072030894458294,7.175522478064522e-05
58,Paranhos,-23.893,-55.431,429,32.82914733886719,18.04562759399414,0.0001832522393669933,0.0012558337766677141
59,Pedro Gomes,-18.101,-54.552,282,34.71699523925781,20.186845779418945,0.0,0.0
60,Ponta Porã,-22.536,-55.726,655,31.650611877441406,18.742887496948242,1.0577638022368774e-05,0.0020569059997797012
61,Porto Murtinho,-21.699,-57.883,90,36.845550537109375,17.225969314575195,0.015175284817814827,0.001048511709086597
62,Ribas do Rio Pardo,-20.443,-53.759,369,33.88562774658203,19.015254974365234,0.024460576474666595,0.0022053371649235487
63,Rio Brilhante,-21.802,-54.546,312,33.98082733154297,17.929954528808594,7.538073987234384e-05,7.878482574597001e-05
64,Rio Negro,-19.449,-54.987,279,35.779029846191406,20.899599075317383,0.002090497873723507,9.910645894706249e-05
65,Rio Verde de Mato Grosso,-18.918,-54.844,330,33.18449783325195,20.68002700805664,0.8320033550262451,0.0021942323073744774
66,Rochedo,-19.953,-54.893,260,35.193450927734375,19.400426864624023,0.0008292997954413295,0.0004169874591752887
67,Santa Rita do Pardo,-21.303,-52.831,360,33.252235412597656,19.93946075439453,0.0,0.0
68,São Gabriel do Oeste,-19.395,-54.566,658,31.370344161987305,18.869741439819336,0.30122190713882446,0.0018463965971022844
69,Selvíria,-20.367,-51.419,357,33.95342254638672,19.47626304626465,0.0,0.0
70,Sete Quedas,-23.97,-55.036,407,32.55781555175781,16.3563232421875,0.00014412839664146304,0.00025864021154120564
71,Sidrolândia,-20.932,-54.961,484,33.438140869140625,18.229907989501953,0.00014486967120319605,0.004220398608595133
72,Sonora,-17.577,-54.758,442,33.209938049316406,20.36737632751465,0.5150408148765564,0.0014473391929641366
73,Tacuru,-23.633,-55.016,372,32.582862854003906,16.315523147583008,0.006063409149646759,0.0009928095387294888
74,Taquarussu,-22.488,-53.351,276,33.133270263671875,19.753324508666992,0.0,0.0
75,Terenos,-20.442,-54.86,437,34.42265319824219,19.82843780517578,0.000717013084795326,0.0018174623837694526
76,Três Lagoas,-20.751,-51.678,319,34.16978073120117,20.004240036010742,0.0,0.00018630102567840368
77,Vicentina,-22.409,-54.436,368,33.510658264160156,19.700153350830078,0.000604803382884711,0.0019544479437172413
