Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.0557,84.89626,1013.01984,3.319967,180.479,0.0
2025-03-20_01:00:00,0.0,22.993319,84.26173,1012.97565,7.3426137,66.93292,0.0
2025-03-20_02:00:00,7.338994813229267e-05,22.879221,84.39735,1013.2517,8.030829,61.94951,0.0
2025-03-20_03:00:00,4.649843079581236e-05,22.71287,83.81513,1013.1741,8.377926,77.57921,0.0
2025-03-20_04:00:00,0.0,22.548895,82.205376,1013.4068,8.3287735,94.970116,0.0
2025-03-20_05:00:00,0.0,22.128809,81.96809,1013.3491,8.51902,75.3514,0.0
2025-03-20_06:00:00,0.0,21.933525,81.615456,1013.3345,7.3385983,70.09403,0.0
2025-03-20_07:00:00,0.0,21.501335,83.208824,1014.04095,6.6634274,85.086784,0.0
2025-03-20_08:00:00,0.0,21.383505,82.703926,1014.35693,4.5994744,97.03238,0.0
2025-03-20_09:00:00,0.0,20.913511,84.22907,1014.686,4.581234,113.35638,0.0
2025-03-20_10:00:00,0.0,20.791716,85.66647,1015.04785,4.0379124,110.289085,0.0
2025-03-20_11:00:00,0.0,24.101646,71.91904,1014.75385,3.487328,107.37228,0.0
2025-03-20_12:00:00,0.0,26.788118,62.59256,1014.375,3.00085,125.58746,0.0
2025-03-20_13:00:00,0.0,28.9073,55.315094,1013.6499,6.0847764,136.64145,0.0
2025-03-20_14:00:00,0.0,30.548113,50.32242,1012.82513,5.7728357,133.69649,0.0
2025-03-20_15:00:00,0.0,31.84401,46.068157,1011.94183,4.205802,136.21077,0.0
2025-03-20_16:00:00,0.001015664990215252,32.657703,43.70319,1011.13043,3.7247252,161.75217,0.0
2025-03-20_17:00:00,1.6693993893665418,31.381521,48.68335,1010.87256,14.136713,141.8614,0.0
2025-03-20_18:00:00,0.36944953732502955,32.45138,44.60948,1010.1345,6.5635586,77.50344,0.0
2025-03-20_19:00:00,0.004089197920014461,33.457623,40.675472,1009.7281,3.762367,143.28453,0.0
2025-03-20_20:00:00,0.0001744898036122322,33.58752,39.942444,1009.8601,4.0852046,176.62093,0.0
2025-03-20_21:00:00,0.0021241952975591025,33.052593,41.785446,1010.0713,6.494908,175.48201,0.0
2025-03-20_22:00:00,0.0026184143498539925,30.174482,51.01331,1010.84674,6.7775564,125.909966,0.0
2025-03-20_23:00:00,0.2950806173806389,28.249123,59.195644,1011.88605,13.937497,26.455017,0.0
2025-03-21_00:00:00,0.3131887875497341,26.211876,71.80662,1013.38055,14.500717,55.94057,0.0
2025-03-21_01:00:00,0.03610686274866263,25.576185,73.56794,1013.24774,20.106552,48.801403,0.0
2025-03-21_02:00:00,0.005536091203490893,25.244415,71.06317,1012.84106,12.435027,28.983274,0.0
2025-03-21_03:00:00,0.0033652608593304953,24.724037,71.48295,1012.84863,8.659725,22.926348,0.0
2025-03-21_04:00:00,7.259100675582886e-05,24.304377,75.17635,1013.215,13.129873,70.97344,0.0
2025-03-21_05:00:00,6.178269783655803e-05,24.30329,72.41123,1012.85254,13.181641,43.094845,0.0
2025-03-21_06:00:00,0.0,23.867477,73.76541,1012.7104,12.507803,34.617485,0.0
2025-03-21_07:00:00,0.0,23.369436,75.548546,1013.29224,10.459057,24.71383,0.0
2025-03-21_08:00:00,0.0,22.945562,77.205055,1013.8852,8.904842,55.624783,0.0
2025-03-21_09:00:00,0.0,22.382544,80.04963,1014.49365,7.589406,57.55812,0.0
2025-03-21_10:00:00,0.0,23.036371,79.83843,1014.9343,5.7678733,77.66085,0.0
2025-03-21_11:00:00,0.0,25.1903,71.05807,1014.97217,2.5969515,160.57835,0.0
2025-03-21_12:00:00,0.0,27.101654,64.67572,1015.0061,3.809702,144.13777,0.0
2025-03-21_13:00:00,0.0,28.78295,59.50221,1014.25934,4.7677193,147.55754,0.0
2025-03-21_14:00:00,0.0,30.050886,55.54344,1013.39404,4.7483425,155.3383,0.0
2025-03-21_15:00:00,0.0,31.139282,51.341442,1012.4007,3.8145883,176.86053,0.0
2025-03-21_16:00:00,0.0,32.13295,47.30418,1011.353,4.7613373,201.90845,0.0
2025-03-21_17:00:00,0.0,32.974068,43.699295,1010.3548,5.2132306,202.83911,0.0
2025-03-21_18:00:00,0.0004973014195760092,33.58978,40.235332,1009.636,4.0526977,221.0403,0.0
2025-03-21_19:00:00,1.0132789611816406e-05,33.958836,37.911,1009.64844,2.3907132,200.10992,0.0
2025-03-21_20:00:00,0.0019810969630877175,31.425674,51.561443,1010.38336,20.546618,48.380768,0.0
2025-03-21_21:00:00,0.0003195814788341522,31.309372,52.958416,1010.45416,12.896791,23.711786,0.0
2025-03-21_22:00:00,0.0,29.332375,57.908203,1011.1841,10.916538,26.853905,0.0
2025-03-21_23:00:00,0.0,28.389498,59.69931,1011.72125,11.475992,22.78057,0.0
2025-03-22_00:00:00,0.0,27.3985,65.13633,1012.42316,12.779039,27.914877,0.0
2025-03-22_01:00:00,0.0,26.436493,68.22819,1012.28973,11.306242,23.847235,0.0
2025-03-22_02:00:00,0.0,26.11437,66.41441,1012.20776,11.395836,26.168327,0.0
2025-03-22_03:00:00,0.0,26.011911,65.251305,1012.1716,12.313753,33.845497,0.0
2025-03-22_04:00:00,0.0,25.4476,69.228355,1012.3177,13.052482,44.639652,0.0
2025-03-22_05:00:00,0.0,24.81141,72.862885,1012.38574,11.720218,68.08117,0.0
2025-03-22_06:00:00,0.0,24.416548,75.442116,1012.49286,10.175342,50.448837,0.0
2025-03-22_07:00:00,0.0,23.94548,78.443275,1013.1634,7.2786527,98.16917,0.0
2025-03-22_08:00:00,0.0,23.388155,81.41847,1013.7225,5.409441,55.0331,0.0
2025-03-22_09:00:00,0.0,22.91446,83.93563,1014.26385,5.0685573,54.034367,0.0
2025-03-22_10:00:00,0.0,24.42009,77.81078,1014.27106,7.6551795,47.488377,0.0
2025-03-22_11:00:00,0.0,26.31116,72.087845,1014.22833,5.709706,35.854702,0.0
2025-03-22_12:00:00,0.0,28.513557,64.52501,1014.0196,8.239894,238.40668,0.0
2025-03-22_13:00:00,0.0,30.298296,57.96341,1013.1049,12.107319,317.44604,0.0
