Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.865833,48.351387,1013.709,9.855322,183.14713,0.0
2025-03-20_01:00:00,0.0,21.95016,54.782654,1014.1256,11.056517,161.28033,0.0
2025-03-20_02:00:00,0.0,21.15624,58.699986,1013.9228,11.007347,174.91428,0.0
2025-03-20_03:00:00,0.0,20.678831,62.028976,1014.34686,10.678503,165.67479,0.0
2025-03-20_04:00:00,0.0,20.330984,64.239365,1014.5002,11.276548,161.60931,0.0
2025-03-20_05:00:00,0.0,19.862955,66.01138,1014.5739,11.688671,159.05865,0.0
2025-03-20_06:00:00,0.0,19.375074,66.56342,1014.81274,11.301795,157.8005,0.0
2025-03-20_07:00:00,0.0,19.031784,65.75592,1015.2246,10.981374,158.84137,0.0
2025-03-20_08:00:00,0.0,18.140657,69.54757,1016.1155,8.898976,127.36476,0.0
2025-03-20_09:00:00,0.0,17.437141,73.57367,1016.80334,10.091881,105.83998,0.0
2025-03-20_10:00:00,0.0,17.37517,73.19642,1017.2023,10.042289,111.91487,0.0
2025-03-20_11:00:00,0.0,22.18605,54.12456,1016.79913,12.758692,82.020966,0.0
2025-03-20_12:00:00,0.0,24.009315,57.6512,1016.6984,16.377338,65.058365,0.0
2025-03-20_13:00:00,0.0,25.819258,56.443775,1016.0957,16.985786,52.261402,0.0
2025-03-20_14:00:00,0.0,27.528566,51.320488,1015.29004,15.999708,45.907417,0.0
2025-03-20_15:00:00,0.0,29.241337,45.23311,1014.30884,14.315196,50.20702,0.0
2025-03-20_16:00:00,0.0,30.459293,39.043434,1013.3833,13.277229,55.090355,0.0
2025-03-20_17:00:00,0.0,31.303799,35.19713,1012.5514,12.096843,59.229324,0.0
2025-03-20_18:00:00,0.0,31.939785,32.67486,1011.85046,11.336242,67.587456,0.0
2025-03-20_19:00:00,0.0,32.37565,29.582418,1011.63696,11.445237,76.73079,0.0
2025-03-20_20:00:00,0.0,32.472404,26.014221,1011.5692,9.068381,79.58623,0.0
2025-03-20_21:00:00,0.0,32.01832,26.25799,1011.7525,9.246974,86.37112,0.0
2025-03-20_22:00:00,0.0,28.05398,34.018757,1012.6669,9.912123,80.741486,0.0
2025-03-20_23:00:00,0.0,27.223957,38.26854,1013.0482,11.895628,89.45552,0.0
2025-03-21_00:00:00,0.0,26.568844,36.912865,1013.37976,13.383168,90.93228,0.0
2025-03-21_01:00:00,0.0,25.368841,36.049835,1013.4147,13.457993,85.06879,0.0
2025-03-21_02:00:00,0.0,25.322906,37.098694,1013.4376,14.252287,84.04969,0.0
2025-03-21_03:00:00,0.0,24.267078,42.813293,1013.5753,12.588361,83.40167,0.0
2025-03-21_04:00:00,0.0,23.50942,45.44736,1013.8217,14.833036,95.83008,0.0
2025-03-21_05:00:00,0.0,23.213285,45.78061,1013.935,16.847668,87.793076,0.0
2025-03-21_06:00:00,0.0,22.219616,48.960625,1014.20544,15.178535,71.25023,0.0
2025-03-21_07:00:00,0.0,21.109976,53.351482,1014.87476,14.298505,60.936443,0.0
2025-03-21_08:00:00,0.0,20.192154,57.222054,1015.55566,14.0900955,56.87278,0.0
2025-03-21_09:00:00,0.0,19.367737,61.74151,1016.217,13.432958,54.295326,0.0
2025-03-21_10:00:00,0.0,19.699615,63.895973,1016.7289,13.73334,52.308025,0.0
2025-03-21_11:00:00,0.0,22.538116,58.063107,1016.8126,19.754503,47.22429,0.0
2025-03-21_12:00:00,0.0,24.488537,53.545856,1016.86926,22.663076,44.320877,0.0
2025-03-21_13:00:00,0.0,27.045818,45.172455,1015.9265,20.97215,46.386734,0.0
2025-03-21_14:00:00,0.0,29.235058,37.456367,1014.7694,20.663513,49.034218,0.0
2025-03-21_15:00:00,0.0,30.928623,31.739326,1013.54285,18.031857,46.98658,0.0
2025-03-21_16:00:00,0.0,31.977064,27.854324,1012.4996,12.339752,43.665337,0.0
2025-03-21_17:00:00,0.0,32.681602,25.360497,1011.5024,8.642809,50.54786,0.0
2025-03-21_18:00:00,0.0,33.241516,23.57396,1010.7173,8.440855,59.31483,0.0
2025-03-21_19:00:00,0.0,33.580307,22.449131,1010.4723,7.7586827,67.370804,0.0
2025-03-21_20:00:00,0.0,33.62213,22.181297,1010.43506,7.74457,79.08567,0.0
2025-03-21_21:00:00,0.0,33.010902,23.804396,1010.5178,9.327815,84.7794,0.0
2025-03-21_22:00:00,0.0,29.124485,28.43478,1011.4812,11.244814,90.82446,0.0
2025-03-21_23:00:00,0.0,28.1022,28.313763,1011.7318,11.32907,99.622444,0.0
2025-03-22_00:00:00,0.0,27.295269,29.13751,1012.24554,15.54096,105.31514,0.0
2025-03-22_01:00:00,0.0,26.040157,28.132515,1012.33435,13.368782,101.08042,0.0
2025-03-22_02:00:00,0.0,25.175676,26.732931,1012.2635,12.649156,105.51121,0.0
2025-03-22_03:00:00,0.0,23.905376,27.89143,1012.8662,12.658117,119.812065,0.0
2025-03-22_04:00:00,0.0,23.205723,28.189579,1012.8297,13.356183,96.911255,0.0
2025-03-22_05:00:00,0.0,23.044287,30.78233,1012.8973,16.056622,75.54814,0.0
2025-03-22_06:00:00,0.0,22.68893,34.512047,1012.8949,15.825611,71.83132,0.0
2025-03-22_07:00:00,0.0,22.056429,37.44651,1013.21265,15.205044,61.98694,0.0
2025-03-22_08:00:00,0.0,21.934654,38.622925,1013.6444,17.15901,55.103016,0.0
2025-03-22_09:00:00,0.0,20.851074,42.25358,1014.0744,13.822458,50.711246,0.0
2025-03-22_10:00:00,0.0,22.18634,40.839348,1014.00507,15.441723,55.620605,0.0
2025-03-22_11:00:00,0.0,24.90836,36.955864,1013.6341,18.215242,51.119072,0.0
2025-03-22_12:00:00,0.0,27.609535,32.842094,1013.02234,20.83094,47.71884,0.0
2025-03-22_13:00:00,0.0,29.837044,30.465008,1012.0554,22.25624,36.769485,0.0
2025-03-22_14:00:00,0.0,31.806337,29.98451,1010.9134,22.174877,29.193394,0.0
2025-03-22_15:00:00,0.0,32.764782,30.78836,1009.86804,22.683992,22.807423,0.0
2025-03-22_16:00:00,0.0,33.481506,30.15195,1008.793,18.16526,29.569056,0.0
2025-03-22_17:00:00,0.00010620235798342037,34.00775,28.710812,1007.7333,16.198393,43.200554,0.0
2025-03-22_18:00:00,0.012602725619217381,33.51457,28.943695,1007.5337,8.849847,38.33675,0.0
2025-03-22_19:00:00,0.46515301801264286,25.541424,57.966858,1010.41144,27.649809,234.63002,0.0
2025-03-22_20:00:00,0.15244338288903236,24.475527,62.469097,1011.4133,24.34623,231.89024,0.0
2025-03-22_21:00:00,1.7305255308747292,22.817516,71.307945,1013.0128,11.711196,223.83951,0.0
2025-03-22_22:00:00,0.3540564179420471,21.592802,78.03107,1012.9299,18.133177,201.08313,0.0
2025-03-22_23:00:00,0.07807786762714386,21.855186,77.57173,1013.90265,13.524026,157.22012,0.0
2025-03-23_00:00:00,0.33111725747585297,21.949059,78.66431,1013.64825,5.185565,193.4711,0.0
