Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.524527,51.92039,1014.0585,8.030656,102.7411,0.0
2025-03-20_01:00:00,0.0,24.810328,63.41017,1014.40594,7.9323783,85.41933,0.0
2025-03-20_02:00:00,0.0,23.469389,72.13022,1014.3812,8.837751,67.1878,0.0
2025-03-20_03:00:00,0.0,23.000864,74.248215,1014.4757,9.517831,64.75774,0.0
2025-03-20_04:00:00,0.0,22.58427,78.2322,1014.92346,10.30706,66.77613,0.0
2025-03-20_05:00:00,0.0,22.29974,79.417725,1015.05316,11.339483,73.48162,0.0
2025-03-20_06:00:00,0.0,22.009352,80.874405,1015.42004,12.933059,81.94835,0.0
2025-03-20_07:00:00,0.0,21.562761,82.71153,1016.09393,13.992331,88.04617,0.0
2025-03-20_08:00:00,0.0,21.008339,84.173004,1016.90564,14.816248,86.45835,0.0
2025-03-20_09:00:00,0.0,20.401138,86.065994,1017.5321,15.066221,86.507,0.0
2025-03-20_10:00:00,0.0,20.46633,84.59505,1018.1122,15.392378,85.95108,0.0
2025-03-20_11:00:00,0.0,22.15994,74.132065,1018.3231,19.555101,82.89794,0.0
2025-03-20_12:00:00,0.0,23.93454,65.60504,1018.3066,18.904247,83.39058,0.0
2025-03-20_13:00:00,0.0,25.869556,57.666817,1017.65906,17.813452,85.54843,0.0
2025-03-20_14:00:00,0.0,27.852203,50.148926,1016.7962,16.627676,88.569,0.0
2025-03-20_15:00:00,0.0,29.535904,43.728092,1015.84515,15.786811,92.08417,0.0
2025-03-20_16:00:00,0.0,30.798685,39.364853,1014.9557,14.656003,94.730255,0.0
2025-03-20_17:00:00,0.0,31.65321,36.139153,1014.167,13.472011,100.65439,0.0
2025-03-20_18:00:00,0.0,32.237076,33.37956,1013.5006,12.487885,107.90301,0.0
2025-03-20_19:00:00,0.0,32.54521,31.876677,1013.3197,10.875801,109.98836,0.0
2025-03-20_20:00:00,0.0,32.59481,30.357895,1013.2992,9.570554,110.25666,0.0
2025-03-20_21:00:00,0.0,31.997772,30.788488,1013.59576,7.7480392,108.060875,0.0
2025-03-20_22:00:00,0.0,27.918182,36.867188,1014.15826,8.548407,113.16347,0.0
2025-03-20_23:00:00,0.0,27.001951,38.118744,1014.60535,10.757131,109.4056,0.0
2025-03-21_00:00:00,0.0,25.88769,44.32696,1015.1016,13.12975,94.17982,0.0
2025-03-21_01:00:00,0.0,25.712967,42.928886,1015.11304,16.430058,96.512024,0.0
2025-03-21_02:00:00,0.0,24.929752,52.523582,1015.1734,17.742048,98.87656,0.0
2025-03-21_03:00:00,0.0,24.405865,58.85295,1015.29803,17.765087,101.570244,0.0
2025-03-21_04:00:00,0.0,23.678621,64.32051,1015.3585,17.858685,100.973495,0.0
2025-03-21_05:00:00,0.0,23.388166,66.03123,1015.4625,18.570295,99.78373,0.0
2025-03-21_06:00:00,0.0,22.756227,68.47516,1015.678,17.245264,94.18439,0.0
2025-03-21_07:00:00,0.0,22.070816,71.056564,1016.4712,16.049446,86.54785,0.0
2025-03-21_08:00:00,0.0,21.405493,73.56198,1017.1902,15.641307,79.497856,0.0
2025-03-21_09:00:00,0.0,20.857277,76.03941,1017.923,15.823755,76.978386,0.0
2025-03-21_10:00:00,0.0,21.58526,72.880356,1018.41,16.620083,75.11754,0.0
2025-03-21_11:00:00,0.0,22.841385,67.531334,1018.5105,19.722672,82.262634,0.0
2025-03-21_12:00:00,0.0,24.416866,61.722313,1018.49274,16.40347,81.68361,0.0
2025-03-21_13:00:00,0.0,26.417068,54.524883,1017.55304,15.331136,82.51188,0.0
2025-03-21_14:00:00,0.0,28.791454,46.089233,1016.5486,13.83672,80.144165,0.0
2025-03-21_15:00:00,0.0,30.777525,41.181732,1015.3097,12.148026,82.94005,0.0
2025-03-21_16:00:00,0.0,32.067543,36.578217,1014.17725,9.961319,102.75374,0.0
2025-03-21_17:00:00,0.0,32.78634,33.174854,1013.2406,11.100585,137.19342,0.0
2025-03-21_18:00:00,0.0,33.277733,28.292204,1012.4395,13.263529,178.83804,0.0
2025-03-21_19:00:00,0.0,33.482567,26.080252,1012.33655,12.537495,184.49707,0.0
2025-03-21_20:00:00,0.0,33.345493,26.147486,1012.3098,8.896467,181.8361,0.0
2025-03-21_21:00:00,0.0,31.789612,29.89581,1012.614,4.808821,184.50574,0.0
2025-03-21_22:00:00,0.0,28.937456,36.24029,1013.2767,4.8753195,186.88197,0.0
2025-03-21_23:00:00,0.0,27.70766,40.62613,1013.61615,6.156778,153.14636,0.0
2025-03-22_00:00:00,0.0,26.846489,43.126335,1013.9385,7.0085564,132.3845,0.0
2025-03-22_01:00:00,0.0,26.045246,44.330276,1013.81714,8.194897,98.98105,0.0
2025-03-22_02:00:00,0.0,25.959812,43.40206,1014.0635,15.503546,107.98518,0.0
2025-03-22_03:00:00,0.0,24.666504,44.344086,1014.3153,13.967587,98.06134,0.0
2025-03-22_04:00:00,0.0,23.716173,50.565853,1014.3642,13.440203,84.62546,0.0
2025-03-22_05:00:00,0.0,25.397778,45.27179,1014.1087,16.20641,82.445305,0.0
2025-03-22_06:00:00,0.0,25.357378,45.36384,1014.48804,16.989382,63.338856,0.0
2025-03-22_07:00:00,0.00019006344557226384,24.772017,48.27169,1014.892,16.502855,74.41316,0.0
2025-03-22_08:00:00,1.823934462663601e-05,23.24759,55.64865,1015.3059,15.1160145,77.3716,0.0
2025-03-22_09:00:00,0.0,22.462933,62.000572,1015.7046,15.042772,80.33441,0.0
2025-03-22_10:00:00,0.0,23.083876,63.6845,1016.0555,17.81616,68.94034,0.0
2025-03-22_11:00:00,0.0,24.542664,61.758987,1016.1365,19.551645,70.25198,0.0
2025-03-22_12:00:00,0.0,26.501192,57.334118,1015.92554,18.76448,63.323734,0.0
2025-03-22_13:00:00,0.0,28.943577,52.440277,1014.8711,17.360737,58.26358,0.0
2025-03-22_14:00:00,0.0,30.930414,48.9116,1013.6957,16.522758,60.303032,0.0
2025-03-22_15:00:00,0.0,32.376137,44.697952,1012.37714,17.621973,63.289104,0.0
2025-03-22_16:00:00,8.815404726192355e-07,33.305946,41.549454,1011.1837,17.058495,72.51743,0.0
2025-03-22_17:00:00,3.085369826294482e-07,33.99463,39.333786,1009.7429,17.527807,83.6738,0.0
2025-03-22_18:00:00,0.14791734394827927,33.56357,40.726273,1008.7808,18.284075,86.92331,0.0
2025-03-22_19:00:00,0.4637243673437297,34.116867,38.275536,1008.7842,10.624792,81.06698,0.0
2025-03-22_20:00:00,0.0004426464074640535,33.90648,38.72444,1008.56104,9.885487,101.981766,0.0
2025-03-22_21:00:00,0.0,32.73903,41.067345,1009.1857,8.199575,107.87963,0.0
2025-03-22_22:00:00,0.007151980709750205,30.01498,52.487152,1010.2014,24.652065,74.16638,0.0
2025-03-22_23:00:00,0.027198581432458013,28.035412,62.704098,1011.9766,28.837362,30.435223,0.0
2025-03-23_00:00:00,0.06308336465008324,29.882254,40.227295,1010.6049,23.343021,42.98811,0.0
