Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.847443,50.060307,1015.20764,8.95905,184.49008,0.0
2025-03-20_01:00:00,0.0,22.184591,60.421898,1015.8109,9.521541,171.62775,0.0
2025-03-20_02:00:00,0.0,21.700216,64.4356,1015.724,9.669753,144.87311,0.0
2025-03-20_03:00:00,0.0,21.472052,67.24309,1016.12994,9.7259865,140.6695,0.0
2025-03-20_04:00:00,0.0,21.025818,69.44437,1016.2376,9.235788,148.10504,0.0
2025-03-20_05:00:00,0.0,20.635582,71.04439,1016.28894,9.857184,149.46228,0.0
2025-03-20_06:00:00,0.0,19.939074,73.38936,1016.82764,10.215665,127.30879,0.0
2025-03-20_07:00:00,0.0,19.191994,75.21812,1017.5001,10.082247,118.826096,0.0
2025-03-20_08:00:00,0.0,18.528074,80.97467,1018.2291,9.439269,119.507805,0.0
2025-03-20_09:00:00,0.0,18.291164,86.17399,1018.7562,9.975167,116.01102,0.0
2025-03-20_10:00:00,0.0,18.740288,90.90761,1019.244,10.155622,117.041794,0.0
2025-03-20_11:00:00,0.0,22.569918,72.69113,1019.1758,15.245406,95.39812,0.0
2025-03-20_12:00:00,0.0,24.951328,62.08023,1018.9808,16.784304,84.68956,0.0
2025-03-20_13:00:00,0.0,27.299204,53.48529,1018.22864,16.671312,79.570305,0.0
2025-03-20_14:00:00,0.0,29.274996,46.554516,1017.34607,15.473609,78.29325,0.0
2025-03-20_15:00:00,0.0,30.850712,40.163757,1016.3472,13.648646,82.27927,0.0
2025-03-20_16:00:00,0.0,32.04776,34.539413,1015.38275,12.50844,92.18469,0.0
2025-03-20_17:00:00,0.0,32.88883,31.311571,1014.54004,13.015379,102.87373,0.0
2025-03-20_18:00:00,9.942986025635037e-07,33.478672,28.89334,1013.851,13.3786955,105.43387,0.0
2025-03-20_19:00:00,0.0,33.618046,27.841906,1013.72595,14.262521,106.09702,0.0
2025-03-20_20:00:00,0.0,33.403587,27.042534,1013.8251,15.901003,109.232834,0.0
2025-03-20_21:00:00,0.0,32.780003,26.746552,1014.2047,15.598244,110.37344,0.0
2025-03-20_22:00:00,0.0,28.442165,33.319492,1015.10944,12.601438,114.24652,0.0
2025-03-20_23:00:00,0.0,27.032593,35.412354,1015.6018,12.368513,113.20778,0.0
2025-03-21_00:00:00,0.0,25.08604,39.352203,1016.0781,11.241881,99.31283,0.0
2025-03-21_01:00:00,0.0,23.99912,40.649456,1016.0231,10.563556,81.98153,0.0
2025-03-21_02:00:00,0.0,23.808363,40.26761,1015.84595,9.772021,84.185555,0.0
2025-03-21_03:00:00,0.0,23.5571,40.474606,1016.3697,14.255388,127.49602,0.0
2025-03-21_04:00:00,0.0,22.190578,48.55953,1016.5499,13.224418,128.62358,0.0
2025-03-21_05:00:00,0.0,20.727852,58.34537,1016.8701,11.560718,122.937515,0.0
2025-03-21_06:00:00,0.0,20.2148,65.60884,1016.9371,11.330461,119.59452,0.0
2025-03-21_07:00:00,0.0,20.03316,71.39423,1017.5306,11.823066,115.83176,0.0
2025-03-21_08:00:00,0.0,19.624823,76.26642,1018.13165,11.695432,113.77968,0.0
2025-03-21_09:00:00,0.0,19.32712,78.324554,1018.7283,11.517003,112.42582,0.0
2025-03-21_10:00:00,0.0,20.817507,70.63208,1019.2683,10.6246805,102.87018,0.0
2025-03-21_11:00:00,0.0,23.734806,58.072594,1019.23016,16.454914,86.6635,0.0
2025-03-21_12:00:00,0.0,26.30017,50.38314,1018.90045,18.577644,83.15499,0.0
2025-03-21_13:00:00,0.0,28.674194,43.938545,1017.9514,17.764395,79.682045,0.0
2025-03-21_14:00:00,0.0,30.753338,38.775146,1016.94434,16.629568,72.64174,0.0
2025-03-21_15:00:00,0.0,32.3743,34.17582,1015.69543,13.68688,67.21335,0.0
2025-03-21_16:00:00,0.0,33.432304,29.204039,1014.52344,8.855276,59.999924,0.0
2025-03-21_17:00:00,0.0,34.229794,26.366175,1013.47675,6.8275723,66.82957,0.0
2025-03-21_18:00:00,0.0,34.499176,25.229645,1012.7134,6.9029098,154.64272,0.0
2025-03-21_19:00:00,2.2630740765805513e-06,34.73691,24.799831,1012.6166,8.315519,141.37337,0.0
2025-03-21_20:00:00,0.005217534307121241,34.583572,25.41929,1012.5836,15.192581,145.44183,0.0
2025-03-21_21:00:00,0.0,33.71598,26.677494,1013.0019,12.296983,128.77339,0.0
2025-03-21_22:00:00,0.0,30.160007,30.028688,1013.6491,13.881389,134.3645,0.0
2025-03-21_23:00:00,0.0,27.704346,29.760246,1014.3307,12.343114,143.73016,0.0
