Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.753468,55.41095,1023.4559,8.005148,146.50266,0.0
2025-03-20_01:00:00,0.0,22.020786,56.271385,1023.54004,13.121859,132.70193,0.0
2025-03-20_02:00:00,0.0,22.18245,53.83675,1023.6115,13.667981,134.58992,0.0
2025-03-20_03:00:00,0.0,22.219282,52.655964,1023.52704,15.062898,127.151825,0.0
2025-03-20_04:00:00,0.0,21.981314,54.200214,1023.9315,14.796747,117.724144,0.0
2025-03-20_05:00:00,0.0,21.505493,56.81932,1024.0377,14.910454,108.09551,0.0
2025-03-20_06:00:00,0.0,21.231644,58.641865,1024.0184,15.424629,106.828995,0.0
2025-03-20_07:00:00,0.0,21.303638,59.154366,1024.5491,17.866573,104.25133,0.0
2025-03-20_08:00:00,0.0,21.16091,60.33612,1024.9402,18.874836,97.150085,0.0
2025-03-20_09:00:00,0.0,20.578142,62.281765,1025.4333,18.443811,95.22339,0.0
2025-03-20_10:00:00,0.0,20.639736,60.960606,1025.6926,19.235764,94.19378,0.0
2025-03-20_11:00:00,0.0,23.0643,52.904797,1025.4272,23.658146,87.68933,0.0
2025-03-20_12:00:00,0.0,24.861534,51.755997,1025.148,25.828867,81.547424,0.0
2025-03-20_13:00:00,0.0,26.611048,50.9504,1024.4849,25.288183,75.90081,0.0
2025-03-20_14:00:00,0.0,28.156265,46.149475,1023.7906,21.403198,74.49418,0.0
2025-03-20_15:00:00,0.0,29.388578,39.61479,1023.00916,15.747941,72.539665,0.0
2025-03-20_16:00:00,0.0,30.30179,34.700603,1022.1738,12.589878,72.067444,0.0
2025-03-20_17:00:00,0.0,31.011847,32.377632,1021.3518,11.523655,74.50966,0.0
2025-03-20_18:00:00,0.0,31.578613,30.417213,1020.6666,10.156977,79.70143,0.0
2025-03-20_19:00:00,0.0,31.930305,28.984806,1020.4234,9.514404,86.72277,0.0
2025-03-20_20:00:00,0.0,31.935316,27.88674,1020.39307,9.385441,96.98445,0.0
2025-03-20_21:00:00,0.0,31.385864,27.885752,1020.6417,8.981319,104.91062,0.0
2025-03-20_22:00:00,0.0,27.478699,34.765778,1021.84216,10.122298,102.82771,0.0
2025-03-20_23:00:00,0.0,26.609415,35.01187,1022.3009,11.803886,83.3328,0.0
2025-03-21_00:00:00,0.0,26.118225,34.217316,1022.59357,12.881663,77.28868,0.0
2025-03-21_01:00:00,0.0,25.921423,36.930542,1022.3914,16.840523,86.19853,0.0
2025-03-21_02:00:00,0.0,25.706743,40.90136,1022.46533,20.94264,89.019356,0.0
2025-03-21_03:00:00,0.0,25.029087,42.9768,1022.6983,20.558754,86.11005,0.0
2025-03-21_04:00:00,0.0,24.267673,43.115868,1022.8118,20.074417,86.17448,0.0
2025-03-21_05:00:00,0.0,23.935402,42.59055,1022.88617,19.996359,77.18166,0.0
2025-03-21_06:00:00,0.0,23.591629,42.580185,1022.9432,19.809092,75.092155,0.0
2025-03-21_07:00:00,0.0,23.386408,42.85848,1023.45905,21.337736,74.42824,0.0
2025-03-21_08:00:00,0.0,22.612934,43.2866,1024.3082,27.24104,80.26212,0.0
2025-03-21_09:00:00,0.0,22.1882,45.52664,1024.881,28.755152,76.963936,0.0
2025-03-21_10:00:00,0.0,22.000967,48.085945,1025.4265,29.321259,75.81503,0.0
2025-03-21_11:00:00,0.0,23.37843,47.73205,1025.4521,32.946583,73.24445,0.0
2025-03-21_12:00:00,0.0,25.285147,44.284534,1025.1378,32.18384,76.39934,0.0
2025-03-21_13:00:00,0.0,27.458332,39.478207,1024.1676,30.777994,73.17745,0.0
2025-03-21_14:00:00,0.0,29.398327,35.40749,1023.1518,27.83449,70.95476,0.0
2025-03-21_15:00:00,0.0,31.028109,31.891745,1021.9977,21.715967,63.40586,0.0
2025-03-21_16:00:00,0.0,31.964548,28.627472,1020.93036,15.7019415,61.536324,0.0
2025-03-21_17:00:00,0.0,32.620846,26.81438,1019.999,13.654207,61.277668,0.0
2025-03-21_18:00:00,0.0,33.168106,25.090063,1019.15405,12.190855,62.28061,0.0
2025-03-21_19:00:00,0.0,33.526108,23.953255,1018.86597,11.210341,82.41521,0.0
2025-03-21_20:00:00,0.0,33.452003,22.997913,1018.8279,11.179834,69.689735,0.0
2025-03-21_21:00:00,0.0,32.678177,24.58761,1019.11426,11.707352,91.90218,0.0
2025-03-21_22:00:00,0.0,28.412172,32.40702,1020.3456,11.678997,103.12221,0.0
2025-03-21_23:00:00,0.0,27.941624,33.296577,1020.75256,12.923341,97.36105,0.0
2025-03-22_00:00:00,0.0,27.374233,32.838913,1021.06805,13.857897,96.79407,0.0
2025-03-22_01:00:00,0.0,27.041826,32.746384,1021.0178,15.523092,86.19086,0.0
2025-03-22_02:00:00,0.0,26.506788,35.359978,1021.2279,20.896326,87.10451,0.0
2025-03-22_03:00:00,0.0,25.940065,37.417343,1021.3937,24.410717,86.97591,0.0
2025-03-22_04:00:00,0.0,25.680473,38.002884,1021.3367,24.474218,79.46535,0.0
2025-03-22_05:00:00,0.0,25.4119,36.470104,1021.3269,24.91831,76.37216,0.0
2025-03-22_06:00:00,0.0,25.081913,36.367916,1021.3273,25.518078,76.11597,0.0
2025-03-22_07:00:00,0.0,24.543545,35.915955,1021.7615,27.449972,75.911964,0.0
2025-03-22_08:00:00,0.0,24.072851,35.389915,1022.0018,28.803165,77.527405,0.0
2025-03-22_09:00:00,0.0,23.807678,36.998974,1022.1394,26.577406,74.41032,0.0
2025-03-22_10:00:00,0.0,23.975119,40.634857,1022.4563,25.175455,62.720726,0.0
2025-03-22_11:00:00,0.0,25.475128,41.810333,1022.41016,24.796556,55.34901,0.0
2025-03-22_12:00:00,0.0,28.68118,42.858547,1021.5263,24.986345,43.160698,0.0
2025-03-22_13:00:00,0.0,30.986464,40.877556,1020.27966,24.502298,18.45827,0.0
2025-03-22_14:00:00,0.0,32.06668,37.713604,1019.25806,24.754326,181.40955,0.0
2025-03-22_15:00:00,0.000993257016489224,32.610027,37.04222,1018.32874,23.574476,350.83344,0.0
2025-03-22_16:00:00,0.010856031396542676,32.43132,39.057472,1017.22986,23.482466,346.14926,0.0
2025-03-22_17:00:00,0.2076383768580854,30.203644,50.663834,1017.55005,22.26122,323.8069,0.0
2025-03-22_18:00:00,0.5327810905873775,23.360636,79.237465,1019.4363,18.419218,218.15887,0.0
2025-03-22_19:00:00,1.4088314399123192,21.713434,85.49227,1021.7977,21.454638,193.26114,0.0
2025-03-22_20:00:00,9.17280139029026,20.380775,94.90526,1021.85223,21.261513,131.11115,0.0
