Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.438898,79.68121,1014.9435,8.244573,71.1613,0.0
2025-03-20_01:00:00,0.0005340627590157965,21.508703,85.6287,1014.9767,8.261833,60.824455,0.0
2025-03-20_02:00:00,0.0,20.895054,89.11849,1015.3758,5.629224,56.820763,0.0
2025-03-20_03:00:00,0.0,20.316814,92.072205,1015.66376,4.516261,49.069572,0.0
2025-03-20_04:00:00,0.0,20.051764,93.16026,1015.7441,3.2392993,55.401085,0.0
2025-03-20_05:00:00,0.0,19.891077,93.42502,1015.94226,1.9136832,100.56826,0.0
2025-03-20_06:00:00,0.0,19.635618,93.768295,1016.0877,2.2641864,97.084564,0.0
2025-03-20_07:00:00,0.0,19.358318,94.61065,1016.6536,3.0315363,170.18663,0.0
2025-03-20_08:00:00,0.0,19.124033,95.04351,1017.05164,3.8141978,179.22626,0.0
2025-03-20_09:00:00,0.0,18.879395,96.036514,1017.4334,4.981862,176.12958,0.0
2025-03-20_10:00:00,0.0,19.899345,96.365234,1017.60706,4.346135,168.70544,0.0
2025-03-20_11:00:00,0.0,22.823652,80.649445,1017.4497,4.719186,142.42548,0.0
2025-03-20_12:00:00,0.0,25.174875,69.951385,1017.2963,7.9314895,101.09494,0.0
2025-03-20_13:00:00,0.0,26.615004,64.215454,1016.6428,9.131989,90.32678,0.0
2025-03-20_14:00:00,0.0,28.105536,57.390213,1015.79016,7.4354644,123.704346,0.0
2025-03-20_15:00:00,0.0,29.507723,51.277813,1014.8827,8.834858,149.56348,0.0
2025-03-20_16:00:00,0.0,30.923332,43.91515,1013.9009,9.670999,161.49875,0.0
2025-03-20_17:00:00,0.0,31.981325,39.002,1012.9833,10.61749,167.97345,0.0
2025-03-20_18:00:00,0.0,32.735542,35.988113,1012.206,10.064978,170.35876,0.0
2025-03-20_19:00:00,0.0,33.169662,34.45803,1011.99396,10.310345,168.02048,0.0
2025-03-20_20:00:00,0.0,33.157227,34.34485,1012.07245,10.499707,167.86017,0.0
2025-03-20_21:00:00,0.0,32.16105,37.787674,1012.5314,10.9176235,130.88431,0.0
2025-03-20_22:00:00,0.0,28.524359,46.704082,1013.59143,10.179577,117.40613,0.0
2025-03-20_23:00:00,0.0,26.873455,52.27008,1014.1963,8.703178,99.94554,0.0
2025-03-21_00:00:00,0.0,25.700285,58.680565,1014.8259,6.171194,84.734695,0.0
2025-03-21_01:00:00,0.0,24.929224,64.86275,1014.9475,5.9212236,259.7379,0.0
2025-03-21_02:00:00,0.0,24.07224,70.983505,1015.3115,7.561478,332.0998,0.0
2025-03-21_03:00:00,0.0,23.591917,74.06004,1015.5832,7.7095013,334.74347,0.0
2025-03-21_04:00:00,0.0,22.959225,80.24784,1015.85535,6.5325837,318.25787,0.0
2025-03-21_05:00:00,0.0,22.748484,82.5676,1015.9962,2.584735,202.34198,0.0
2025-03-21_06:00:00,0.0,22.010456,85.40437,1016.27,7.4661884,127.455475,0.0
2025-03-21_07:00:00,0.0,22.050627,81.02081,1016.63654,11.604952,140.03525,0.0
2025-03-21_08:00:00,0.0,21.915958,72.95465,1016.9258,11.11611,151.68303,0.0
2025-03-21_09:00:00,0.0,21.311422,76.75812,1017.30884,10.82888,149.49484,0.0
2025-03-21_10:00:00,0.0,22.822039,71.50256,1017.359,12.174778,146.85939,0.0
2025-03-21_11:00:00,0.0,25.038252,63.790527,1017.3553,10.050321,125.165436,0.0
2025-03-21_12:00:00,0.0,27.021385,57.91075,1017.35126,12.240366,93.526886,0.0
2025-03-21_13:00:00,0.0,28.11068,54.79016,1016.60376,13.112776,83.658936,0.0
2025-03-21_14:00:00,0.0,29.310358,50.88687,1015.7518,11.422232,79.107834,0.0
2025-03-21_15:00:00,0.0,30.58637,46.769325,1014.78406,11.106279,87.49811,0.0
2025-03-21_16:00:00,0.0,31.62445,43.709896,1013.8187,11.311652,89.632,0.0
2025-03-21_17:00:00,0.0,32.421448,41.465256,1012.828,11.682036,92.99988,0.0
2025-03-21_18:00:00,0.0,32.954346,40.114273,1011.96204,12.464486,95.04775,0.0
2025-03-21_19:00:00,0.0,33.229073,39.494537,1011.8123,14.023816,97.995636,0.0
2025-03-21_20:00:00,0.0,32.51587,41.912727,1011.88904,19.692945,95.58389,0.0
2025-03-21_21:00:00,0.0,30.798723,46.941635,1012.70374,15.955719,77.5794,0.0
2025-03-21_22:00:00,0.0,28.51128,54.056576,1013.43835,12.933021,57.68463,0.0
2025-03-21_23:00:00,0.0,26.937899,62.6765,1014.03723,11.07687,31.286736,0.0
2025-03-22_00:00:00,0.0,26.675636,64.277306,1014.7463,13.071745,136.83258,0.0
2025-03-22_01:00:00,0.002249255310744047,25.805288,70.22067,1015.2256,22.550156,327.10883,0.0
2025-03-22_02:00:00,0.0,24.843878,74.87645,1014.85645,13.866434,331.93216,0.0
2025-03-22_03:00:00,0.0,23.904709,78.52942,1014.73114,10.542588,36.42022,0.0
2025-03-22_04:00:00,0.0,24.331806,77.79002,1014.7599,12.936325,34.163185,0.0
2025-03-22_05:00:00,0.0,23.282309,81.99993,1015.1829,8.523952,44.48778,0.0
2025-03-22_06:00:00,2.4022097932174802e-05,22.463947,85.27341,1015.38873,7.9021273,58.573776,0.0
2025-03-22_07:00:00,0.000943203347560484,22.015064,86.45683,1015.924,7.7538276,60.370037,0.0
2025-03-22_08:00:00,0.0008118941041175276,21.74256,87.89174,1016.40955,6.2421203,49.252655,0.0
2025-03-22_09:00:00,0.00014847423881292343,21.762325,88.03345,1016.7397,5.022434,31.826538,0.0
2025-03-22_10:00:00,0.0,23.526707,79.7886,1016.7196,5.8785396,35.733833,0.0
2025-03-22_11:00:00,0.0017512671365693677,25.754381,71.861725,1016.647,6.901131,40.52812,0.0
2025-03-22_12:00:00,0.003438011415710207,27.335932,66.60352,1016.551,8.611815,41.7928,0.0
2025-03-22_13:00:00,0.0009325559949502349,28.647902,62.08084,1015.62067,9.17388,47.58849,0.0
2025-03-22_14:00:00,0.00032573880162090063,29.930244,57.47535,1014.49536,8.982458,48.493217,0.0
2025-03-22_15:00:00,1.0149029549211264e-05,31.103252,52.882263,1013.2581,10.383685,48.69024,0.0
2025-03-22_16:00:00,8.282833732664585e-06,31.912506,50.033127,1011.74194,15.261309,55.52354,0.0
2025-03-22_17:00:00,0.001174901844933629,32.006153,49.42146,1011.21027,14.741651,59.387337,0.0
2025-03-22_18:00:00,9.439492714591324e-05,32.037704,48.62552,1010.3324,16.824818,62.660698,0.0
2025-03-22_19:00:00,0.08135882008355111,32.01601,49.304398,1010.00275,15.380763,55.612526,0.0
2025-03-22_20:00:00,0.04667776390851941,31.07037,52.979958,1010.18604,19.475985,75.07953,0.0
2025-03-22_21:00:00,0.010535727604292333,30.14585,55.965218,1010.80426,19.603418,81.540085,0.0
2025-03-22_22:00:00,0.01856493146624416,27.755697,64.10537,1011.9919,14.264512,79.87817,0.0
2025-03-22_23:00:00,0.01901898207142949,26.549988,70.50524,1012.698,13.932402,159.732,0.0
2025-03-23_00:00:00,0.03662892780266702,25.448128,78.43388,1014.0439,12.18916,258.65918,0.0
