Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.628695,53.220276,1028.4209,6.638726,158.92596,0.0
2025-03-20_01:00:00,0.0,21.653675,54.967278,1028.3789,10.682415,145.56636,0.0
2025-03-20_02:00:00,0.0,21.460323,54.214897,1028.3586,11.004259,147.15558,0.0
2025-03-20_03:00:00,0.0,20.100271,59.916756,1029.1086,8.886851,92.40112,0.0
2025-03-20_04:00:00,0.0,20.71382,58.905083,1029.0435,11.0420065,103.254654,0.0
2025-03-20_05:00:00,0.0,20.633179,60.82052,1028.9133,11.700989,121.184715,0.0
2025-03-20_06:00:00,0.0,20.367002,61.40345,1029.1135,12.739633,106.306175,0.0
2025-03-20_07:00:00,0.0,20.186708,61.27349,1029.5906,12.90502,91.26906,0.0
2025-03-20_08:00:00,0.0,20.304163,59.35152,1029.9528,13.358127,86.401215,0.0
2025-03-20_09:00:00,0.0,20.024805,61.042683,1030.4087,14.482538,75.450424,0.0
2025-03-20_10:00:00,0.0,19.753433,62.398964,1030.9072,16.1875,73.2843,0.0
2025-03-20_11:00:00,0.0,22.744009,53.24131,1030.5381,17.245787,72.138275,0.0
2025-03-20_12:00:00,0.0,25.166353,48.181732,1030.1204,23.392853,72.29303,0.0
2025-03-20_13:00:00,0.0,26.785393,49.81849,1029.5378,24.019999,66.33844,0.0
2025-03-20_14:00:00,0.0,28.687008,45.91207,1028.7078,19.731052,62.953766,0.0
2025-03-20_15:00:00,0.0,30.080244,40.17096,1027.8313,15.385641,63.74588,0.0
2025-03-20_16:00:00,0.0,31.023602,36.396122,1026.9438,13.084202,64.20531,0.0
2025-03-20_17:00:00,0.0,31.86214,33.15434,1026.0472,12.106201,64.13666,0.0
2025-03-20_18:00:00,0.0,32.205746,31.593391,1025.4072,11.136363,69.39464,0.0
2025-03-20_19:00:00,9.534606152428182e-05,32.457294,30.43423,1025.2195,11.711495,77.39738,0.0
2025-03-20_20:00:00,0.0004041516840516124,32.444225,29.971962,1025.1742,9.804553,62.070305,0.0
2025-03-20_21:00:00,6.466150352935074e-06,31.976646,30.283533,1025.4038,12.237439,84.48914,0.0
2025-03-20_22:00:00,3.694946826726664e-06,28.171574,36.46595,1026.479,11.201067,87.14688,0.0
2025-03-20_23:00:00,0.0,28.038292,36.168095,1026.7319,14.557877,80.899506,0.0
2025-03-21_00:00:00,0.0,27.627901,35.959316,1026.9121,15.520429,78.74385,0.0
2025-03-21_01:00:00,0.0,27.396824,35.1509,1026.8176,20.091179,79.55189,0.0
2025-03-21_02:00:00,0.0,25.974834,35.670685,1027.2009,18.84776,70.34333,0.0
2025-03-21_03:00:00,0.0,25.453836,36.45449,1027.3315,18.880842,72.24581,0.0
2025-03-21_04:00:00,0.0,24.752193,38.292377,1027.4141,17.634481,65.472435,0.0
2025-03-21_05:00:00,0.0,24.185925,39.781754,1027.6486,17.896494,69.25955,0.0
2025-03-21_06:00:00,0.0,23.142782,46.072144,1027.9813,21.315403,75.076584,0.0
2025-03-21_07:00:00,0.0,22.648996,47.399208,1028.5942,23.555634,64.694046,0.0
2025-03-21_08:00:00,0.0,22.360258,49.027077,1029.1372,24.06684,59.76036,0.0
2025-03-21_09:00:00,0.0,22.185293,50.297215,1029.6852,24.81734,54.678265,0.0
2025-03-21_10:00:00,0.0,22.209768,52.24179,1030.2238,25.687822,50.744564,0.0
2025-03-21_11:00:00,0.0,23.99351,49.758537,1030.2385,28.608088,54.559258,0.0
2025-03-21_12:00:00,0.0,25.859327,47.027534,1030.0852,32.887333,55.88774,0.0
2025-03-21_13:00:00,0.0,28.157581,40.182053,1029.0927,31.124954,57.969025,0.0
2025-03-21_14:00:00,0.0,30.28002,34.225426,1027.9478,27.754108,56.77471,0.0
2025-03-21_15:00:00,0.0,31.79237,29.981525,1026.8292,21.02308,51.392937,0.0
2025-03-21_16:00:00,0.0,32.543556,26.960636,1025.9076,13.486022,45.737835,0.0
2025-03-21_17:00:00,0.0,33.1183,25.135273,1024.9692,9.351908,43.41063,0.0
2025-03-21_18:00:00,0.0,33.66993,23.491558,1024.1339,7.4510355,72.40419,0.0
2025-03-21_19:00:00,0.0,33.992218,22.370377,1023.8639,7.626603,69.8106,0.0
2025-03-21_20:00:00,0.0,34.018784,22.192728,1023.80273,7.811402,75.57997,0.0
2025-03-21_21:00:00,0.0,33.345455,23.774208,1023.9256,8.017792,84.37175,0.0
2025-03-21_22:00:00,0.0,29.423851,29.619925,1025.0784,11.258957,93.490944,0.0
2025-03-21_23:00:00,0.0,28.800947,29.60643,1025.4382,13.331721,91.716324,0.0
2025-03-22_00:00:00,0.0,28.018139,31.686783,1025.7699,14.696836,86.11919,0.0
2025-03-22_01:00:00,0.0,27.583992,31.115181,1025.8591,19.112822,85.70648,0.0
2025-03-22_02:00:00,0.0,26.622875,29.803955,1025.9099,20.081219,83.28041,0.0
2025-03-22_03:00:00,0.0,26.188854,29.360714,1026.1355,20.697882,72.25014,0.0
2025-03-22_04:00:00,0.0,25.785929,29.567888,1026.0693,22.40554,74.90622,0.0
2025-03-22_05:00:00,0.0,24.877192,28.602045,1026.356,26.769112,77.24825,0.0
2025-03-22_06:00:00,0.0,24.355833,29.572567,1026.3591,26.811625,70.2591,0.0
2025-03-22_07:00:00,0.0,24.045572,31.990337,1026.5724,26.551107,64.26135,0.0
2025-03-22_08:00:00,0.0,23.867844,33.458317,1026.9272,27.849398,57.95325,0.0
2025-03-22_09:00:00,0.0,23.788301,35.292397,1026.9596,27.137913,54.750675,0.0
2025-03-22_10:00:00,0.0,23.977253,35.843494,1027.2019,27.395903,59.51549,0.0
2025-03-22_11:00:00,0.0,25.403345,35.66947,1026.9907,26.914536,55.34484,0.0
2025-03-22_12:00:00,0.0,28.359514,33.527752,1026.288,27.933308,50.460693,0.0
2025-03-22_13:00:00,0.0,30.41422,32.61328,1025.2776,28.516363,41.395798,0.0
2025-03-22_14:00:00,0.0,32.152496,33.540985,1024.1465,25.962885,31.929617,0.0
2025-03-22_15:00:00,0.0,33.118786,31.761847,1023.19336,23.12266,24.803364,0.0
2025-03-22_16:00:00,1.2757075253944095e-06,33.747932,29.879168,1021.5177,18.559225,38.469593,0.0
2025-03-22_17:00:00,0.16152218211209401,31.969099,36.772797,1022.07074,15.371131,162.28476,0.0
2025-03-22_18:00:00,2.6451555341482162,23.358492,76.86409,1025.6868,18.273048,243.71527,0.0
2025-03-22_19:00:00,1.43891541659832,22.32642,80.30148,1025.8099,13.492683,216.00044,0.0
2025-03-22_20:00:00,2.5887924283742905,21.407196,84.82166,1027.9956,6.489203,212.95859,0.0
2025-03-22_21:00:00,1.4999148547649384,22.209572,83.75529,1027.5157,12.657415,147.49756,0.0
2025-03-22_22:00:00,0.2096221148967743,21.990242,85.02033,1027.2384,8.0904455,107.56293,0.0
2025-03-22_23:00:00,1.137420415878296,22.000816,83.03935,1027.5399,8.6023,127.3067,0.0
2025-03-23_00:00:00,2.589603751897812,21.738081,82.01282,1027.1609,22.4203,105.293655,0.0
