Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.458765,60.709404,1016.8128,7.2165403,145.50243,0.0
2025-03-20_01:00:00,0.0,22.695608,70.81242,1017.23193,9.649074,128.44315,0.0
2025-03-20_02:00:00,0.0,22.196465,71.96512,1017.58496,11.062449,119.71837,0.0
2025-03-20_03:00:00,0.0,21.86421,72.45523,1018.0255,13.118097,122.02776,0.0
2025-03-20_04:00:00,0.0,21.51562,73.170044,1017.83044,13.249553,121.96913,0.0
2025-03-20_05:00:00,0.0,21.305958,73.20592,1017.91437,13.474288,124.31743,0.0
2025-03-20_06:00:00,0.0,21.059128,73.475914,1017.97424,13.552077,125.01567,0.0
2025-03-20_07:00:00,0.0,21.04883,72.833786,1018.5771,14.752571,119.35987,0.0
2025-03-20_08:00:00,0.0,20.541954,75.44491,1019.08203,18.346092,120.43177,0.0
2025-03-20_09:00:00,0.0,20.2656,76.51424,1019.4701,17.958565,120.64938,0.0
2025-03-20_10:00:00,0.0,19.986677,78.63614,1019.7979,17.002604,117.42922,0.0
2025-03-20_11:00:00,0.0,22.749104,69.96983,1019.4174,17.9042,109.547516,0.0
2025-03-20_12:00:00,0.0,25.393587,62.38073,1018.974,18.105259,103.50299,0.0
2025-03-20_13:00:00,0.0,27.817184,54.082962,1018.13025,18.01138,99.92099,0.0
2025-03-20_14:00:00,0.0,29.208591,48.781956,1017.51465,16.030607,95.81624,0.0
2025-03-20_15:00:00,0.0,30.216595,44.548725,1016.77527,11.871019,96.764565,0.0
2025-03-20_16:00:00,0.0,31.11291,40.143867,1015.90533,9.371335,99.424194,0.0
2025-03-20_17:00:00,0.0,31.78366,37.37409,1015.1206,7.8477736,100.49953,0.0
2025-03-20_18:00:00,0.0,32.34637,34.600494,1014.3504,6.959881,103.1629,0.0
2025-03-20_19:00:00,1.6181224054889753e-05,32.653214,32.785347,1014.09344,5.8555746,103.694244,0.0
2025-03-20_20:00:00,0.00040601469447665295,32.44101,33.84474,1014.2838,8.799333,141.91406,0.0
2025-03-20_21:00:00,6.270288622545195e-05,31.693893,36.115166,1014.65344,10.150747,153.44632,0.0
2025-03-20_22:00:00,0.0,28.35738,42.901573,1015.735,8.308736,144.38776,0.0
2025-03-20_23:00:00,0.0,27.420147,45.410652,1016.3867,11.424734,111.65192,0.0
2025-03-21_00:00:00,0.0,26.719652,49.118774,1016.8657,12.607855,78.12088,0.0
2025-03-21_01:00:00,0.0,25.752756,54.276707,1016.8857,12.839761,95.61071,0.0
2025-03-21_02:00:00,0.0,25.478613,54.169964,1016.89514,15.099918,94.57063,0.0
2025-03-21_03:00:00,0.0,25.6118,51.811413,1017.00574,17.865734,94.269554,0.0
2025-03-21_04:00:00,0.0,25.16124,51.248962,1017.2357,19.432669,89.69108,0.0
2025-03-21_05:00:00,0.0,24.539497,51.425743,1017.18805,15.818476,101.53913,0.0
2025-03-21_06:00:00,0.0,23.635252,52.081734,1017.4323,17.369373,107.03566,0.0
2025-03-21_07:00:00,0.0,22.910616,51.392128,1018.21985,17.135284,106.74123,0.0
2025-03-21_08:00:00,0.0,22.021095,53.07157,1018.8214,17.023668,111.19565,0.0
2025-03-21_09:00:00,0.0,21.629087,52.54433,1019.17896,16.555998,112.846344,0.0
2025-03-21_10:00:00,0.0,21.568151,54.46247,1019.6532,16.310232,112.119,0.0
2025-03-21_11:00:00,0.0,23.533527,52.95812,1019.4779,16.67029,111.72812,0.0
2025-03-21_12:00:00,0.0,26.156763,51.11284,1019.1361,18.394165,101.20175,0.0
2025-03-21_13:00:00,0.0,28.554014,49.602463,1018.1193,18.782814,87.524536,0.0
2025-03-21_14:00:00,0.0,29.984167,46.989483,1017.30817,18.45893,73.807846,0.0
2025-03-21_15:00:00,0.0,31.003618,43.31523,1016.4237,15.840183,66.35652,0.0
2025-03-21_16:00:00,0.0,31.717014,39.931396,1015.5034,12.49297,64.94493,0.0
2025-03-21_17:00:00,9.921038690663408e-05,32.355797,37.34344,1014.4885,10.631987,67.11644,0.0
2025-03-21_18:00:00,0.0010041365462711838,32.861423,35.32007,1013.67957,7.7220116,62.636986,0.0
2025-03-21_19:00:00,0.012790187381597207,32.49166,36.158833,1013.70166,9.213012,188.35454,0.0
2025-03-21_20:00:00,0.08082562622894329,32.261566,37.215176,1013.83496,8.792002,233.71541,0.0
2025-03-21_21:00:00,0.0027904437156394124,31.926542,37.384205,1014.06165,5.970816,234.7886,0.0
2025-03-21_22:00:00,0.0008581631363995257,29.171192,42.98549,1014.91956,8.956941,253.92145,0.0
2025-03-21_23:00:00,0.00011986147001152858,28.429,44.642963,1015.58997,5.381074,133.26799,0.0
2025-03-22_00:00:00,0.0,27.406775,47.262474,1016.1981,9.47779,121.83823,0.0
2025-03-22_01:00:00,0.0,27.053505,47.37989,1016.1796,12.847237,119.24017,0.0
2025-03-22_02:00:00,0.0,26.524738,49.257446,1016.2732,16.165424,107.052155,0.0
2025-03-22_03:00:00,0.0,25.930319,57.883736,1016.62195,21.689228,91.699005,0.0
2025-03-22_04:00:00,2.496830461495847e-06,25.115595,65.5029,1016.8391,19.522547,84.02187,0.0
2025-03-22_05:00:00,0.0016310962864736211,24.824303,67.77724,1016.60767,19.127247,74.686966,0.0
2025-03-22_06:00:00,0.0012842640726375976,24.332445,70.29729,1016.6908,16.297514,61.517662,0.0
2025-03-22_07:00:00,0.0,23.340584,74.69678,1017.4751,10.761926,46.446423,0.0
2025-03-22_08:00:00,0.00017811369616538286,23.389275,74.72677,1017.82623,12.494223,77.814575,0.0
2025-03-22_09:00:00,0.0,23.05569,75.9886,1018.05676,12.2686825,29.80885,0.0
2025-03-22_10:00:00,0.0,24.399841,70.61787,1017.9249,13.831095,86.77356,0.0
2025-03-22_11:00:00,0.0,26.598423,64.07338,1017.65454,11.424023,137.01833,0.0
2025-03-22_12:00:00,0.0,28.911406,55.246178,1017.2978,13.015542,336.35242,0.0
2025-03-22_13:00:00,0.0,30.119333,51.22476,1016.452,13.580184,328.5935,0.0
2025-03-22_14:00:00,0.0,31.084122,47.304596,1015.4929,12.542031,310.4143,0.0
2025-03-22_15:00:00,0.03754469138075933,31.60174,43.703827,1014.39514,12.777787,256.1082,0.0
2025-03-22_16:00:00,0.5188624751754105,31.531918,43.22513,1013.5423,13.819702,187.19888,0.0
2025-03-22_17:00:00,0.21733089233748615,31.442879,44.29147,1012.78894,6.679027,205.66751,0.0
2025-03-22_18:00:00,0.4573222496546805,30.662163,48.09977,1012.5626,21.39902,102.85303,0.0
2025-03-22_19:00:00,0.1707383207976818,32.119606,42.06771,1011.4597,10.854123,115.37094,0.0
2025-03-22_20:00:00,0.0013319551944732666,32.21311,42.588963,1011.61096,11.098769,330.11285,0.0
2025-03-22_21:00:00,0.003418191336095333,31.41353,45.04362,1011.84454,10.997856,319.55304,0.0
2025-03-22_22:00:00,0.00630957679823041,29.036585,52.723736,1013.71484,9.448663,314.2354,0.0
2025-03-22_23:00:00,0.022638937924057245,28.236813,56.59971,1014.08655,10.118406,175.1542,0.0
2025-03-23_00:00:00,0.9349766857922077,27.870657,55.52521,1014.3385,6.738203,179.75714,0.0
