Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.214396,55.249874,1013.0105,8.650399,171.93332,0.0
2025-03-20_01:00:00,0.0,24.521988,61.31199,1013.23486,10.827367,144.28735,0.0
2025-03-20_02:00:00,0.0,23.81773,65.079285,1013.5498,11.000937,121.792336,0.0
2025-03-20_03:00:00,0.0,22.923143,70.687035,1013.76855,10.292236,103.04512,0.0
2025-03-20_04:00:00,0.0,22.198744,75.874504,1013.83575,9.577616,91.32475,0.0
2025-03-20_05:00:00,0.0,21.608692,80.58479,1014.0874,10.043438,92.183,0.0
2025-03-20_06:00:00,0.0,21.139011,83.15463,1014.3696,10.883117,108.35115,0.0
2025-03-20_07:00:00,0.0,20.640127,84.44308,1015.1682,11.117966,99.10214,0.0
2025-03-20_08:00:00,0.0,19.986311,86.53793,1015.92834,10.653303,97.47571,0.0
2025-03-20_09:00:00,0.0,19.240246,90.370926,1016.58234,9.670753,99.56125,0.0
2025-03-20_10:00:00,0.0,19.724531,88.109024,1017.09033,9.453472,99.6322,0.0
2025-03-20_11:00:00,0.0,22.196148,75.238815,1017.18695,14.3234825,102.229004,0.0
2025-03-20_12:00:00,0.0,24.157555,65.65013,1017.08923,15.423795,97.43404,0.0
2025-03-20_13:00:00,0.0,26.130278,57.335266,1016.3966,16.454649,98.43541,0.0
2025-03-20_14:00:00,0.0,28.301098,48.704586,1015.4894,16.327997,98.97314,0.0
2025-03-20_15:00:00,0.0,30.06907,41.643997,1014.49115,15.264548,101.99065,0.0
2025-03-20_16:00:00,0.0,31.356848,36.527603,1013.556,13.928467,108.52425,0.0
2025-03-20_17:00:00,0.0,32.267235,33.406204,1012.7592,12.89716,114.156624,0.0
2025-03-20_18:00:00,0.0,32.958168,30.55143,1012.0412,12.169196,120.89316,0.0
2025-03-20_19:00:00,0.0,33.37999,27.997152,1011.82916,12.029945,130.56729,0.0
2025-03-20_20:00:00,0.0,33.411415,25.699757,1011.82544,11.675634,135.4674,0.0
2025-03-20_21:00:00,0.0,32.742416,26.523365,1012.14636,9.926841,142.89476,0.0
2025-03-20_22:00:00,0.0,28.39085,35.112694,1013.02875,10.631655,153.41391,0.0
2025-03-20_23:00:00,0.0,27.392822,38.109177,1013.4867,11.969854,145.40332,0.0
2025-03-21_00:00:00,0.0,26.557756,37.211765,1013.88135,13.583748,133.19879,0.0
