Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.649054,54.10275,1013.88354,4.909421,202.7818,0.0
2025-03-20_01:00:00,0.0,22.666208,62.049454,1014.17255,5.312753,177.09729,0.0
2025-03-20_02:00:00,0.0,22.243294,62.94065,1014.155,5.985193,137.25914,0.0
2025-03-20_03:00:00,0.0,21.78982,65.09537,1014.32684,4.548454,125.81078,0.0
2025-03-20_04:00:00,0.0,21.136293,68.51822,1014.6455,5.7761602,102.45567,0.0
2025-03-20_05:00:00,0.0,19.976456,74.57567,1015.0002,8.125259,141.82307,0.0
2025-03-20_06:00:00,0.0,19.242504,86.68592,1015.3604,8.083382,120.30788,0.0
2025-03-20_07:00:00,0.0,19.088755,91.00841,1015.8729,8.445442,95.87135,0.0
2025-03-20_08:00:00,0.0,18.974491,92.655014,1016.5797,9.528345,82.42633,0.0
2025-03-20_09:00:00,0.0,18.841343,93.49149,1017.1023,10.473962,82.324165,0.0
2025-03-20_10:00:00,0.0,19.009445,93.73161,1017.69965,10.766122,82.41889,0.0
2025-03-20_11:00:00,0.0,22.298105,74.709366,1017.6985,19.620699,80.775665,0.0
2025-03-20_12:00:00,0.0,24.431269,63.58042,1017.6255,19.682013,80.98109,0.0
2025-03-20_13:00:00,0.0,26.500366,55.30424,1016.9684,19.068087,82.378746,0.0
2025-03-20_14:00:00,0.0,28.376413,48.597916,1016.15594,17.613329,85.78735,0.0
2025-03-20_15:00:00,0.0,29.993315,42.322205,1015.21436,16.384554,92.69158,0.0
2025-03-20_16:00:00,0.0,31.28506,36.13579,1014.34845,16.042524,101.647736,0.0
2025-03-20_17:00:00,0.0,32.15027,31.612793,1013.562,15.79253,108.63795,0.0
2025-03-20_18:00:00,0.0,32.6989,29.295788,1012.90204,14.936205,113.15518,0.0
2025-03-20_19:00:00,0.0,32.986725,27.559155,1012.7323,13.871315,116.73821,0.0
2025-03-20_20:00:00,0.0,32.914013,26.465994,1012.739,12.842411,114.12751,0.0
2025-03-20_21:00:00,0.0,32.15028,27.448402,1013.0276,10.238408,99.64604,0.0
2025-03-20_22:00:00,0.0,27.203035,34.7815,1013.7822,9.511433,83.85924,0.0
2025-03-20_23:00:00,0.0,26.136118,36.370277,1014.1885,11.197394,54.249718,0.0
2025-03-21_00:00:00,0.0,25.39511,36.853806,1014.4187,10.318629,46.50286,0.0
2025-03-21_01:00:00,0.0,24.3688,38.75126,1014.59906,11.865184,76.140076,0.0
2025-03-21_02:00:00,0.0,23.023272,49.539402,1014.8884,11.834748,104.33101,0.0
2025-03-21_03:00:00,0.0,22.124882,55.358047,1015.11084,11.828694,101.08618,0.0
2025-03-21_04:00:00,0.0,21.691854,63.64504,1015.14105,12.782792,100.117134,0.0
2025-03-21_05:00:00,0.0,20.683308,72.24689,1015.40643,11.566928,83.687,0.0
2025-03-21_06:00:00,0.0,20.062683,79.6145,1015.5233,11.316172,86.02259,0.0
2025-03-21_07:00:00,0.0,19.960793,81.61874,1016.104,12.2132225,82.20256,0.0
2025-03-21_08:00:00,0.0,19.715113,81.136246,1016.73987,12.577256,78.12659,0.0
2025-03-21_09:00:00,0.0,19.103329,83.118614,1017.3878,12.212612,74.52063,0.0
2025-03-21_10:00:00,0.0,20.67464,75.03278,1017.8798,15.51132,70.89024,0.0
2025-03-21_11:00:00,0.0,23.199165,63.39693,1017.85864,21.09455,75.98983,0.0
2025-03-21_12:00:00,0.0,25.426825,55.686447,1017.6727,20.922497,78.54518,0.0
2025-03-21_13:00:00,0.0,27.61191,48.746735,1016.71643,19.65979,81.90599,0.0
2025-03-21_14:00:00,0.0,29.727293,42.324615,1015.78314,17.182692,83.560135,0.0
2025-03-21_15:00:00,0.0,31.427778,37.661644,1014.6095,14.269403,85.764984,0.0
2025-03-21_16:00:00,0.0,32.75152,31.820162,1013.43726,9.368085,101.786446,0.0
2025-03-21_17:00:00,0.0,33.511047,28.868393,1012.4429,9.540373,138.5155,0.0
2025-03-21_18:00:00,1.4455154996539932e-05,33.646797,27.858332,1011.7429,11.239012,141.2067,0.0
2025-03-21_19:00:00,0.0,34.00627,26.548353,1011.6261,11.080496,145.27286,0.0
2025-03-21_20:00:00,0.0,33.909214,25.596088,1011.55835,11.229781,155.32147,0.0
2025-03-21_21:00:00,0.0,32.529854,27.345367,1011.9845,8.45405,148.0186,0.0
2025-03-21_22:00:00,0.0,28.689978,32.07814,1012.7075,10.8595915,125.1438,0.0
2025-03-21_23:00:00,0.0,27.719887,32.163002,1012.86316,11.445197,113.0591,0.0
2025-03-22_00:00:00,0.0,26.73845,34.738274,1013.26794,10.446909,101.91443,0.0
2025-03-22_01:00:00,0.0,25.686043,37.10215,1013.3552,10.703417,120.251205,0.0
2025-03-22_02:00:00,0.0,24.612352,41.700676,1013.44275,11.860211,116.09177,0.0
2025-03-22_03:00:00,0.0,25.126833,38.564568,1013.55853,16.555794,105.97739,0.0
2025-03-22_04:00:00,0.0,23.736698,44.43788,1013.77,13.536638,91.48601,0.0
2025-03-22_05:00:00,0.0,22.518394,48.940712,1013.9077,12.073185,83.19217,0.0
2025-03-22_06:00:00,0.0,22.086855,51.865173,1013.9961,12.375561,73.51315,0.0
2025-03-22_07:00:00,0.00036873790160996123,22.00963,49.976967,1014.6998,11.565531,54.463116,0.0
2025-03-22_08:00:00,4.0445089325658046e-05,21.977383,49.273674,1014.8959,9.844694,55.665554,0.0
2025-03-22_09:00:00,8.064526264206506e-05,21.308104,53.016384,1015.1366,11.897647,69.5177,0.0
2025-03-22_10:00:00,0.0,22.756609,52.79608,1015.4464,16.649647,64.59775,0.0
2025-03-22_11:00:00,0.0,24.868288,52.33939,1015.25745,19.074854,69.76061,0.0
2025-03-22_12:00:00,0.0,27.220861,49.231567,1014.96643,18.984701,66.53766,0.0
2025-03-22_13:00:00,0.0,30.09368,44.113033,1013.86914,17.048447,51.21579,0.0
2025-03-22_14:00:00,0.0,32.59601,39.90741,1012.53516,18.056791,40.15579,0.0
2025-03-22_15:00:00,0.0,34.108192,35.62689,1011.231,18.126501,35.97097,0.0
2025-03-22_16:00:00,0.0,34.890007,32.75979,1009.93634,15.40073,40.567642,0.0
2025-03-22_17:00:00,0.6559813418643898,33.70911,36.874756,1009.06433,12.953095,98.59644,0.0
2025-03-22_18:00:00,2.429173221811652,30.81349,48.957985,1008.7409,14.572704,183.86818,0.0
2025-03-22_19:00:00,0.2672034800052643,30.809938,51.07749,1008.70465,27.305851,130.43628,0.0
2025-03-22_20:00:00,0.311977032572031,31.251106,48.152298,1008.669,23.206972,90.68564,0.0
2025-03-22_21:00:00,0.03483733534812927,31.723972,44.390625,1008.9145,9.99696,110.93448,0.0
2025-03-22_22:00:00,0.3745897561311722,30.356771,43.715,1009.18677,9.968869,128.65189,0.0
2025-03-22_23:00:00,0.01828135922551155,28.926079,48.138836,1011.1323,13.3875675,115.595245,0.0
2025-03-23_00:00:00,0.2718777284026146,24.378582,75.481064,1013.91614,26.248312,237.17622,0.0
