Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.988827,56.55155,1009.79065,6.9101334,218.55255,0.0
2025-03-20_01:00:00,0.0,21.444777,67.70615,1009.8617,5.2963037,226.04489,0.0
2025-03-20_02:00:00,0.0,20.93138,70.54495,1010.1702,3.4168487,166.58391,0.0
2025-03-20_03:00:00,0.0,20.17852,72.158295,1010.16754,3.6313062,82.095825,0.0
2025-03-20_04:00:00,0.0,19.895628,73.568695,1010.59326,2.1922832,222.79283,0.0
2025-03-20_05:00:00,0.0,19.414772,75.18379,1010.5919,1.6469237,160.79074,0.0
2025-03-20_06:00:00,0.0,19.050621,75.89384,1010.3878,2.2265043,171.42038,0.0
2025-03-20_07:00:00,0.0,18.617168,76.47196,1010.85675,3.199782,109.924644,0.0
2025-03-20_08:00:00,0.0,18.11908,76.364685,1011.1706,5.8473463,116.13675,0.0
2025-03-20_09:00:00,0.0,18.035923,73.69775,1011.5826,7.617357,113.354996,0.0
2025-03-20_10:00:00,0.0,17.9997,74.19351,1011.90283,6.785938,80.14873,0.0
2025-03-20_11:00:00,0.0,22.873129,58.51781,1011.77893,4.7666655,55.452614,0.0
2025-03-20_12:00:00,0.0,26.628126,48.882156,1011.5616,5.461672,63.33157,0.0
2025-03-20_13:00:00,0.0,30.219702,40.898064,1010.9087,9.241638,59.043324,0.0
2025-03-20_14:00:00,0.0,32.302376,36.057343,1010.1792,11.951537,48.45125,0.0
2025-03-20_15:00:00,0.0,33.374054,32.227737,1009.45044,10.5476265,44.21306,0.0
2025-03-20_16:00:00,0.0,34.146297,30.113314,1008.7152,9.5295105,41.627632,0.0
2025-03-20_17:00:00,0.0,34.806335,28.810757,1007.9784,9.006303,40.644905,0.0
2025-03-20_18:00:00,0.0,35.308083,27.203495,1007.38666,9.417758,42.035347,0.0
2025-03-20_19:00:00,0.0,35.471817,26.257132,1007.2243,8.081668,43.44545,0.0
2025-03-20_20:00:00,0.0,35.482964,25.769331,1007.1541,6.870468,44.790657,0.0
