Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.203499,62.313007,996.1807,6.6352553,164.73874,0.0
2025-03-20_01:00:00,0.0,23.176949,67.99214,996.533,11.024023,184.01202,0.0
2025-03-20_02:00:00,0.0,23.227146,64.31647,995.9071,12.204766,186.24026,0.0
2025-03-20_03:00:00,0.0,23.353905,62.611866,996.35,12.194339,171.54895,0.0
2025-03-20_04:00:00,0.0,23.459589,61.65298,996.04333,12.236889,177.38849,0.0
2025-03-20_05:00:00,0.0,23.42882,60.294342,996.2093,12.81122,176.73776,0.0
2025-03-20_06:00:00,0.0,23.240652,58.877174,996.0745,13.341969,180.52086,0.0
2025-03-20_07:00:00,0.0,23.107496,58.106384,996.2608,13.273667,186.36682,0.0
2025-03-20_08:00:00,0.0,22.50336,59.04107,996.7648,12.188893,171.72052,0.0
2025-03-20_09:00:00,0.0,21.823334,60.58641,997.09546,11.430872,173.07666,0.0
2025-03-20_10:00:00,0.0,21.287401,62.384766,997.61523,11.135448,164.64767,0.0
2025-03-20_11:00:00,0.0,24.83678,54.9908,997.8944,12.134847,134.53967,0.0
2025-03-20_12:00:00,0.0,27.209475,51.77005,997.98193,12.546617,123.80486,0.0
2025-03-20_13:00:00,0.0,28.748648,49.302635,997.71576,14.674982,104.00871,0.0
2025-03-20_14:00:00,0.0,30.320503,44.768547,997.16614,12.894579,99.30327,0.0
2025-03-20_15:00:00,0.0,31.642738,39.918312,996.51874,12.760505,84.93545,0.0
2025-03-20_16:00:00,0.0,32.55606,37.084766,995.8748,10.963322,74.546364,0.0
2025-03-20_17:00:00,0.0,33.28584,34.670006,995.1814,8.419987,67.20192,0.0
2025-03-20_18:00:00,0.0,33.813805,33.272694,994.5681,6.132195,62.036034,0.0
2025-03-20_19:00:00,0.0,34.184895,31.87584,994.3189,4.598737,67.66528,0.0
2025-03-20_20:00:00,0.0,34.25099,31.209953,994.17413,4.3143454,95.42891,0.0
2025-03-20_21:00:00,0.0,33.792778,32.48541,994.2567,4.188778,102.56767,0.0
2025-03-20_22:00:00,0.0,29.321198,42.711403,994.6916,5.1706586,229.59943,0.0
2025-03-20_23:00:00,0.0,28.01256,45.77279,995.0511,6.0351443,320.53815,0.0
2025-03-21_00:00:00,0.0,27.12379,47.366806,995.29254,5.433956,221.35736,0.0
2025-03-21_01:00:00,0.0,26.277803,47.025585,995.03876,7.891556,193.03815,0.0
2025-03-21_02:00:00,0.0,25.933336,46.073547,995.0094,7.5169725,179.11353,0.0
2025-03-21_03:00:00,0.0,25.681805,46.491123,994.99316,7.4289937,175.98526,0.0
2025-03-21_04:00:00,0.0,24.980513,49.9494,995.1424,10.826458,132.22995,0.0
2025-03-21_05:00:00,0.0,25.457918,48.135864,995.08344,13.469162,143.17471,0.0
2025-03-21_06:00:00,0.0,25.985207,44.901825,994.98315,15.949594,138.12039,0.0
2025-03-21_07:00:00,0.0,25.693975,45.16277,995.4502,16.308796,132.08952,0.0
2025-03-21_08:00:00,0.0,24.816061,47.040222,995.9962,15.117815,135.34819,0.0
2025-03-21_09:00:00,0.0,24.303436,47.253662,996.4164,14.373315,154.35983,0.0
2025-03-21_10:00:00,0.0,23.79176,48.423912,996.98303,12.459687,160.07901,0.0
2025-03-21_11:00:00,0.0,27.135822,41.811455,997.31903,11.513368,136.06429,0.0
2025-03-21_12:00:00,0.0,28.61205,39.7146,997.5089,10.2591305,110.07301,0.0
2025-03-21_13:00:00,0.0,30.16754,37.692253,997.08795,10.517238,89.13346,0.0
2025-03-21_14:00:00,0.0,31.613117,37.790848,996.4232,11.185184,72.68812,0.0
2025-03-21_15:00:00,0.0,32.99016,37.9514,995.5673,11.357338,59.847694,0.0
2025-03-21_16:00:00,0.0,34.254776,34.593185,994.6566,10.794894,44.506905,0.0
2025-03-21_17:00:00,0.0,35.03688,32.022358,993.8144,9.205918,31.109081,0.0
2025-03-21_18:00:00,0.0,35.57242,29.647085,993.0903,7.8456097,25.359009,0.0
2025-03-21_19:00:00,0.0,35.82688,28.565018,992.88684,6.850328,44.671047,0.0
2025-03-21_20:00:00,0.0,35.76107,28.046001,992.7358,5.848987,71.742516,0.0
2025-03-21_21:00:00,0.0,35.142303,28.871723,992.89,5.958268,38.259113,0.0
2025-03-21_22:00:00,0.0,30.450024,37.350952,993.2583,6.098059,76.37019,0.0
2025-03-21_23:00:00,0.0,29.732313,38.17942,993.704,4.7337832,93.148605,0.0
2025-03-22_00:00:00,0.0,29.177645,39.50401,993.86816,4.399147,88.2543,0.0
2025-03-22_01:00:00,0.0,28.289154,41.33329,993.6115,6.6503916,132.96451,0.0
2025-03-22_02:00:00,0.0,27.523312,40.92717,993.6556,10.265565,154.95699,0.0
2025-03-22_03:00:00,0.0,27.44686,36.683495,993.6553,12.049095,143.6913,0.0
2025-03-22_04:00:00,0.00048101106108333624,27.356375,37.66102,994.06714,6.29964,158.65831,0.0
2025-03-22_05:00:00,0.0006783796852687374,26.625149,39.59957,993.9492,8.645713,129.43234,0.0
2025-03-22_06:00:00,0.005370139228034532,25.238327,45.055595,994.18945,10.265299,107.30821,0.0
2025-03-22_07:00:00,7.054978595988359e-06,24.501282,51.760635,994.4326,8.972053,119.88391,0.0
2025-03-22_08:00:00,0.0,23.988293,54.770504,994.9443,9.556555,96.61194,0.0
2025-03-22_09:00:00,0.0,22.92185,60.679836,995.51483,8.160624,112.73276,0.0
2025-03-22_10:00:00,0.0,24.330524,58.590675,995.6077,5.3192754,128.5812,0.0
2025-03-22_11:00:00,0.0,26.377771,54.743866,995.74817,3.568179,117.83034,0.0
2025-03-22_12:00:00,0.0,28.294205,54.116116,995.94147,8.60381,21.78907,0.0
2025-03-22_13:00:00,0.0,29.766665,57.97556,995.33167,13.040635,12.320535,0.0
2025-03-22_14:00:00,0.0,31.27424,57.526356,994.49695,15.731251,7.524064,0.0
2025-03-22_15:00:00,2.0671868696808815e-06,33.05401,51.553795,993.3783,17.822304,25.679665,0.0
2025-03-22_16:00:00,1.2314529158174992e-05,34.242916,45.87735,992.00586,22.167137,8.163321,0.0
2025-03-22_17:00:00,6.703921064854512e-05,34.801094,44.069477,991.00824,21.756786,70.92857,0.0
2025-03-22_18:00:00,2.3761464431881905,29.249943,68.85347,990.62024,19.974482,218.23322,0.0
2025-03-22_19:00:00,2.148805983364582,30.286251,64.61221,990.7887,14.116521,81.372025,0.0
2025-03-22_20:00:00,0.9020855836570263,31.307404,59.274292,990.2395,18.418793,48.869865,0.0
2025-03-22_21:00:00,0.051006875932216644,27.692093,77.0612,991.1487,20.942518,114.65897,0.0
2025-03-22_22:00:00,0.08429397642612457,25.467087,75.00526,991.47144,25.70506,154.6396,0.0
2025-03-22_23:00:00,4.786767482757568,23.688622,90.17921,993.4437,22.233797,190.00778,0.0
2025-03-23_00:00:00,0.6704720556735992,23.895359,87.16606,993.1348,20.235624,128.6342,0.0
