Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.125065,66.4133,1009.6504,6.409602,234.53308,0.0
2025-03-20_01:00:00,0.0,21.932377,71.46651,1009.66675,10.62872,238.69882,0.0
2025-03-20_02:00:00,0.0,21.906086,70.539856,1009.528,10.38652,228.95679,0.0
2025-03-20_03:00:00,0.0,21.277838,72.12982,1010.15173,10.143679,204.75153,0.0
2025-03-20_04:00:00,0.0,20.871103,72.27638,1009.9898,11.696593,218.18413,0.0
2025-03-20_05:00:00,0.0,20.711443,72.2482,1010.17004,12.021391,229.81479,0.0
2025-03-20_06:00:00,0.0,20.937418,70.46205,1009.9197,12.778268,231.66443,0.0
2025-03-20_07:00:00,0.0,20.60502,70.24393,1010.3839,12.076758,227.22632,0.0
2025-03-20_08:00:00,0.0,20.130108,71.159256,1010.86523,11.908112,216.99374,0.0
2025-03-20_09:00:00,0.0,19.211416,74.22951,1011.3616,10.847028,220.84363,0.0
2025-03-20_10:00:00,0.0,18.3057,78.78292,1012.0307,9.738386,200.49606,0.0
2025-03-20_11:00:00,0.0,21.795195,67.58818,1011.8513,6.0088177,226.20612,0.0
2025-03-20_12:00:00,0.0,24.778475,57.398075,1011.67236,5.091075,154.95422,0.0
2025-03-20_13:00:00,0.0,27.032965,51.9121,1011.10986,7.0205574,96.58437,0.0
2025-03-20_14:00:00,0.0,28.951193,48.139397,1010.4133,10.253662,77.16046,0.0
2025-03-20_15:00:00,0.0,30.40573,44.77268,1009.6736,11.99037,71.85114,0.0
2025-03-20_16:00:00,0.0,31.637123,39.727013,1008.85364,9.676928,63.876083,0.0
2025-03-20_17:00:00,0.0,32.45251,36.366608,1008.0889,6.55174,51.714237,0.0
2025-03-20_18:00:00,0.0,33.069077,33.528305,1007.4276,4.7695117,117.12926,0.0
2025-03-20_19:00:00,0.0,33.46823,31.280638,1007.1831,4.0113,187.56187,0.0
2025-03-20_20:00:00,0.0,33.51662,30.482483,1007.0326,3.6796517,175.1955,0.0
2025-03-20_21:00:00,0.0,33.10044,31.590252,1007.1559,3.178765,243.2496,0.0
2025-03-20_22:00:00,0.0,29.289959,38.63372,1007.7648,3.5955596,291.32233,0.0
2025-03-20_23:00:00,0.0,27.98167,41.39145,1008.13806,5.466707,246.30833,0.0
2025-03-21_00:00:00,0.0,26.917868,44.237648,1008.4995,6.412162,241.98862,0.0
2025-03-21_01:00:00,0.0,26.366732,45.36848,1008.23206,7.1444163,252.5946,0.0
2025-03-21_02:00:00,0.0,25.896263,46.65056,1008.19324,7.3366785,233.34717,0.0
2025-03-21_03:00:00,0.0,25.2015,48.000828,1008.47327,5.052872,150.1212,0.0
2025-03-21_04:00:00,0.0,23.907316,50.989815,1008.761,5.0249176,147.81403,0.0
2025-03-21_05:00:00,0.0,23.267416,51.67801,1008.90393,4.6526103,98.47368,0.0
2025-03-21_06:00:00,0.0,22.557898,52.675926,1009.0214,6.2576156,94.9074,0.0
2025-03-21_07:00:00,0.0,22.247707,53.600967,1009.6074,5.8569407,45.030933,0.0
2025-03-21_08:00:00,0.0,22.094389,54.34948,1010.0333,6.0476446,27.151905,0.0
2025-03-21_09:00:00,0.0,22.17255,53.169754,1010.4608,5.405643,130.56279,0.0
2025-03-21_10:00:00,0.0,22.208776,52.597595,1010.88226,3.5299137,118.140686,0.0
2025-03-21_11:00:00,0.0,25.44473,43.647945,1011.0148,3.2025874,103.13154,0.0
2025-03-21_12:00:00,0.0,27.004223,41.55284,1011.109,5.699115,82.77101,0.0
2025-03-21_13:00:00,0.0,28.83322,39.277596,1010.409,8.227072,65.68244,0.0
2025-03-21_14:00:00,0.0,30.756083,37.058746,1009.5404,9.983928,56.514557,0.0
2025-03-21_15:00:00,0.0,32.622314,34.156708,1008.4403,11.54094,46.139748,0.0
2025-03-21_16:00:00,0.0,33.89644,29.450361,1007.40173,8.853723,47.01587,0.0
2025-03-21_17:00:00,0.0,34.62189,26.51332,1006.55707,6.449305,53.775562,0.0
2025-03-21_18:00:00,0.0,35.03504,25.30544,1005.83435,5.7547045,88.917435,0.0
2025-03-21_19:00:00,0.0,35.25795,24.226772,1005.63293,5.720257,100.25987,0.0
2025-03-21_20:00:00,0.0,35.180485,23.212715,1005.55054,5.652945,130.19876,0.0
2025-03-21_21:00:00,0.0,34.399567,23.583958,1005.7246,4.929688,133.746,0.0
2025-03-21_22:00:00,0.0,30.242462,28.928015,1006.3884,4.3380985,137.40752,0.0
2025-03-21_23:00:00,0.0,29.432291,28.938675,1006.67114,4.1100926,117.731766,0.0
2025-03-22_00:00:00,0.0,28.618536,30.527702,1006.9911,3.6251328,116.50282,0.0
2025-03-22_01:00:00,0.0,27.368633,33.921345,1006.86487,4.222979,202.98914,0.0
2025-03-22_02:00:00,0.0,26.738003,35.168674,1007.04254,4.2160916,220.71587,0.0
2025-03-22_03:00:00,0.0,25.226074,41.45949,1007.4045,5.024302,57.762703,0.0
2025-03-22_04:00:00,0.0,25.06774,43.641273,1007.2053,4.8356676,47.70553,0.0
2025-03-22_05:00:00,0.0,24.279606,47.192394,1007.3161,7.3837805,57.421425,0.0
2025-03-22_06:00:00,0.0,24.362656,48.65865,1007.4526,10.096279,207.71652,0.0
2025-03-22_07:00:00,2.8045235410445457e-05,24.98486,51.870262,1008.11334,9.005707,35.40482,0.0
2025-03-22_08:00:00,1.0365660727984505e-05,23.450876,58.295418,1008.3401,7.8915224,27.242521,0.0
2025-03-22_09:00:00,0.0,22.730627,61.71999,1008.7035,9.193275,202.05103,0.0
2025-03-22_10:00:00,0.0,23.614725,61.607857,1008.7889,8.68106,240.12169,0.0
2025-03-22_11:00:00,0.0,25.847078,56.789543,1008.7232,8.034089,38.084293,0.0
