Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.322414,58.622,1012.6521,8.675597,132.84116,0.0
2025-03-20_01:00:00,0.0,22.94966,68.61739,1013.08057,8.182974,125.589355,0.0
2025-03-20_02:00:00,0.0,22.499393,71.15079,1013.89545,8.558229,137.9321,0.0
2025-03-20_03:00:00,0.0,22.054602,73.94732,1013.83466,8.948797,153.298,0.0
2025-03-20_04:00:00,0.0,21.676792,74.76318,1013.92755,8.214572,137.15604,0.0
2025-03-20_05:00:00,0.0,21.09305,76.88437,1013.99976,7.3353186,99.53182,0.0
2025-03-20_06:00:00,0.0,20.122887,82.70088,1014.2987,7.932673,74.915405,0.0
2025-03-20_07:00:00,0.0,19.517374,88.12047,1015.1664,10.522662,65.09498,0.0
2025-03-20_08:00:00,0.0,19.015259,91.53384,1015.72595,10.78113,64.29634,0.0
2025-03-20_09:00:00,0.0,18.381948,94.08507,1016.41187,9.223359,75.50178,0.0
2025-03-20_10:00:00,0.0,19.025877,93.0159,1016.8031,7.7471414,93.795105,0.0
2025-03-20_11:00:00,0.0,21.776989,77.387596,1016.8221,11.907661,103.95393,0.0
2025-03-20_12:00:00,0.0,24.484499,65.47091,1016.6228,13.094442,103.170364,0.0
2025-03-20_13:00:00,0.0,27.39935,53.986153,1015.68604,13.683593,98.89854,0.0
2025-03-20_14:00:00,0.0,29.387339,46.446693,1014.71643,13.210587,99.66086,0.0
2025-03-20_15:00:00,0.0,30.905418,40.411274,1013.7466,12.432381,107.36937,0.0
2025-03-20_16:00:00,0.0,32.107574,35.543842,1012.78564,12.278581,121.412865,0.0
2025-03-20_17:00:00,0.0,33.05816,31.67625,1011.92883,12.784601,133.53593,0.0
2025-03-20_18:00:00,0.0,33.706417,29.149807,1011.1907,13.36426,143.90793,0.0
2025-03-20_19:00:00,0.0,34.07009,26.82758,1011.0196,14.555102,152.48872,0.0
2025-03-20_20:00:00,0.0,33.917545,25.355816,1011.1677,14.37519,159.78534,0.0
2025-03-20_21:00:00,0.0,33.082954,25.82656,1011.51166,13.467142,173.11646,0.0
2025-03-20_22:00:00,0.0,28.40791,35.95014,1012.55273,11.691479,184.78424,0.0
2025-03-20_23:00:00,0.0,27.142073,40.16702,1013.1675,12.4702215,184.33777,0.0
2025-03-21_00:00:00,0.0,26.531752,40.39373,1013.66736,13.785643,170.15958,0.0
2025-03-21_01:00:00,0.0,24.990648,43.135185,1013.7767,12.949688,157.46881,0.0
2025-03-21_02:00:00,0.0,23.940151,47.014736,1013.8769,12.113492,148.15134,0.0
2025-03-21_03:00:00,0.0,23.573158,47.12279,1013.8998,12.426373,146.3795,0.0
2025-03-21_04:00:00,0.0,23.067791,48.885773,1014.11066,12.902216,148.25427,0.0
2025-03-21_05:00:00,0.0,22.242432,53.089516,1014.4009,12.24508,145.2186,0.0
2025-03-21_06:00:00,0.0,21.404945,57.77805,1014.6906,11.389112,136.04509,0.0
2025-03-21_07:00:00,0.0,20.22105,62.860123,1015.8469,7.4322114,86.02568,0.0
2025-03-21_08:00:00,0.0,19.746937,64.898575,1016.3888,9.543937,63.17959,0.0
2025-03-21_09:00:00,0.0,19.088146,71.74589,1016.90857,8.722495,76.76055,0.0
2025-03-21_10:00:00,0.0,20.583685,69.69375,1017.0829,10.162954,97.14772,0.0
2025-03-21_11:00:00,0.0,22.111702,66.77741,1017.1907,11.900707,105.89888,0.0
2025-03-21_12:00:00,0.0,24.552744,59.28555,1016.9103,12.047231,97.68332,0.0
2025-03-21_13:00:00,0.0,27.564667,50.153202,1015.7936,12.148592,97.71647,0.0
2025-03-21_14:00:00,0.0,30.400955,41.201202,1014.5993,11.823563,86.56892,0.0
2025-03-21_15:00:00,0.0,32.25804,35.09578,1013.42773,9.979371,77.710594,0.0
2025-03-21_16:00:00,0.0,33.456528,29.560017,1012.26807,6.9673557,97.688614,0.0
2025-03-21_17:00:00,0.0,34.36461,25.881542,1011.22473,8.602966,134.25043,0.0
2025-03-21_18:00:00,0.0,34.90212,23.864248,1010.33936,11.530108,154.85255,0.0
2025-03-21_19:00:00,0.0,35.089737,22.742016,1010.1395,12.868854,161.2197,0.0
2025-03-21_20:00:00,0.0,34.921223,22.628998,1010.2849,12.10059,163.95969,0.0
2025-03-21_21:00:00,0.0,33.388847,24.184193,1010.62286,11.624425,177.97519,0.0
2025-03-21_22:00:00,0.0,29.614492,26.463581,1011.5401,11.982925,190.44281,0.0
2025-03-21_23:00:00,0.0,28.611916,26.717773,1011.92883,12.6471615,188.83145,0.0
2025-03-22_00:00:00,0.0,28.213202,32.85202,1012.48663,15.81886,180.7667,0.0
2025-03-22_01:00:00,0.0,26.72848,36.02233,1012.79504,13.188138,142.45764,0.0
2025-03-22_02:00:00,0.0,26.36665,36.5529,1012.9838,8.403434,91.11164,0.0
2025-03-22_03:00:00,0.0,25.099636,38.182163,1013.23834,12.290324,59.64047,0.0
2025-03-22_04:00:00,0.0,24.548048,39.59528,1013.2506,11.434592,93.91464,0.0
2025-03-22_05:00:00,0.0,23.374178,42.620544,1013.3203,10.887194,113.66329,0.0
2025-03-22_06:00:00,0.0,22.266163,46.985764,1013.56274,8.535218,114.44749,0.0
2025-03-22_07:00:00,0.0,21.947468,50.443604,1014.03235,7.5521727,117.10942,0.0
2025-03-22_08:00:00,0.0,21.579546,54.054276,1014.5594,7.3196898,82.51794,0.0
2025-03-22_09:00:00,0.0,21.320099,59.554825,1014.95905,9.467784,57.643517,0.0
2025-03-22_10:00:00,0.0,22.675915,64.525024,1015.14954,12.804974,58.892097,0.0
2025-03-22_11:00:00,0.0,24.916903,59.865746,1015.05945,9.819329,54.554707,0.0
2025-03-22_12:00:00,0.0,27.694923,55.468765,1014.7555,11.265092,48.527115,0.0
2025-03-22_13:00:00,0.0,30.109772,50.013542,1013.6292,13.303281,49.903137,0.0
2025-03-22_14:00:00,0.0,32.02192,45.30169,1012.3728,14.246064,37.11683,0.0
2025-03-22_15:00:00,0.0,33.360165,41.12172,1011.0539,14.519924,27.623003,0.0
2025-03-22_16:00:00,0.0,34.387787,37.88996,1009.5143,12.599411,17.507477,0.0
2025-03-22_17:00:00,0.06585336505825268,34.867584,36.872765,1008.2066,13.2129545,200.37823,0.0
2025-03-22_18:00:00,2.6674846985843033,31.203205,50.678673,1008.18005,11.683583,168.29672,0.0
2025-03-22_19:00:00,0.055070817936211824,34.38801,39.97499,1007.38416,10.649698,89.24677,0.0
2025-03-22_20:00:00,0.304220893420279,30.598087,50.952072,1008.51965,37.915993,177.43591,0.0
2025-03-22_21:00:00,0.2602280043065548,29.352682,59.551025,1008.7119,14.472839,99.81001,0.0
2025-03-22_22:00:00,0.007680824026465416,27.86455,67.37902,1009.3679,9.953929,140.45047,0.0
2025-03-22_23:00:00,0.1141346599906683,27.51631,69.05968,1010.5994,8.0765085,118.538025,0.0
2025-03-23_00:00:00,0.02815951779484749,25.776157,76.809326,1011.43005,15.753828,103.1126,0.0
