Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.31531,52.9524,1015.1832,5.4863343,145.36554,0.0
2025-03-20_01:00:00,0.0,22.48066,61.145203,1015.4451,8.638642,156.54404,0.0
2025-03-20_02:00:00,0.0,21.555735,64.938736,1015.0345,8.8839,175.97821,0.0
2025-03-20_03:00:00,0.0,20.729439,67.265396,1015.9241,9.149386,182.33835,0.0
2025-03-20_04:00:00,0.0,20.050852,69.0453,1016.15906,10.321304,184.8148,0.0
2025-03-20_05:00:00,0.0,19.639542,71.13701,1016.2733,8.700768,177.51938,0.0
2025-03-20_06:00:00,0.0,19.796371,69.653725,1016.504,7.7883196,152.02248,0.0
2025-03-20_07:00:00,0.0,19.190525,71.210175,1017.07837,7.7408843,142.78284,0.0
2025-03-20_08:00:00,0.0,18.663553,73.11417,1017.6711,8.605754,139.88303,0.0
2025-03-20_09:00:00,0.0,18.421284,74.18739,1018.3041,9.970949,111.36047,0.0
2025-03-20_10:00:00,0.0,18.412226,76.74632,1018.7357,10.459888,98.81476,0.0
2025-03-20_11:00:00,0.0,22.614906,68.13815,1018.3694,15.799088,75.200615,0.0
2025-03-20_12:00:00,0.0,24.99137,61.57834,1018.14014,18.581217,61.914948,0.0
2025-03-20_13:00:00,0.0,26.712963,54.782593,1017.56506,16.992537,57.265358,0.0
2025-03-20_14:00:00,0.0,28.370642,48.75998,1016.73425,15.157462,56.66352,0.0
2025-03-20_15:00:00,0.0,29.856102,42.686577,1015.7952,13.543953,60.89525,0.0
2025-03-20_16:00:00,0.0,30.955797,37.37999,1014.86743,12.017436,65.55043,0.0
2025-03-20_17:00:00,0.0,31.563911,34.77715,1014.02893,10.7721405,74.10512,0.0
2025-03-20_18:00:00,0.010206207699319236,31.860327,34.03429,1013.448,13.0451565,85.6651,0.0
2025-03-20_19:00:00,0.008575763787575852,32.18354,32.39909,1013.26697,11.06037,95.02173,0.0
2025-03-20_20:00:00,8.051594704738818e-05,32.49225,30.78709,1013.1798,11.387667,95.166084,0.0
2025-03-20_21:00:00,4.1502971726004034e-05,31.935366,30.643684,1013.4562,11.594596,95.32785,0.0
2025-03-20_22:00:00,0.0,28.713192,34.65837,1014.31165,11.517944,98.477745,0.0
2025-03-20_23:00:00,0.0,27.754286,34.36808,1014.7146,13.188012,97.668335,0.0
2025-03-21_00:00:00,0.0,26.577677,33.01245,1015.1822,12.711528,94.63288,0.0
2025-03-21_01:00:00,0.0,25.912634,34.61608,1015.0867,12.642607,95.051834,0.0
2025-03-21_02:00:00,0.0,24.920614,39.53481,1015.1953,12.2904625,90.034744,0.0
2025-03-21_03:00:00,0.0,23.829472,43.62673,1015.3468,11.216304,88.51784,0.0
2025-03-21_04:00:00,0.0,23.722393,43.942513,1015.3779,13.461961,88.256195,0.0
2025-03-21_05:00:00,0.0,23.597775,43.896664,1015.59393,17.908024,84.22991,0.0
2025-03-21_06:00:00,0.0,22.586992,48.833782,1015.86707,16.630962,73.13797,0.0
2025-03-21_07:00:00,0.0,21.738747,53.758583,1016.5224,15.717024,66.952225,0.0
2025-03-21_08:00:00,0.0,21.17603,58.040344,1017.1007,16.530172,65.05766,0.0
2025-03-21_09:00:00,0.0,20.710821,62.801933,1017.6734,16.671864,67.48707,0.0
2025-03-21_10:00:00,0.0,20.806002,65.19094,1018.26526,17.388123,61.65007,0.0
2025-03-21_11:00:00,0.0,22.860218,59.96238,1018.5104,22.366787,55.768044,0.0
2025-03-21_12:00:00,0.0,25.606665,50.179413,1018.1607,22.418879,57.700684,0.0
2025-03-21_13:00:00,0.0,28.193052,42.118492,1017.19104,21.166067,54.92136,0.0
2025-03-21_14:00:00,0.0,30.277178,35.6708,1016.1248,18.943455,52.21366,0.0
2025-03-21_15:00:00,0.0,31.725164,30.555191,1014.94684,14.949582,46.68846,0.0
2025-03-21_16:00:00,0.0,32.522984,27.79965,1013.9226,10.0817,42.356796,0.0
2025-03-21_17:00:00,0.0,33.133385,25.858465,1012.92236,7.123239,43.711845,0.0
2025-03-21_18:00:00,0.0,33.540283,24.85749,1012.15283,5.8879585,77.44725,0.0
2025-03-21_19:00:00,0.0,33.86077,24.646877,1011.9703,7.8487186,81.86345,0.0
2025-03-21_20:00:00,2.392964597675018e-05,33.809883,25.110785,1011.97144,10.101854,106.97731,0.0
2025-03-21_21:00:00,6.405358362826519e-06,32.98874,27.259087,1012.13293,11.739717,109.43231,0.0
2025-03-21_22:00:00,0.0,29.619856,33.100025,1012.99,11.108638,101.99856,0.0
2025-03-21_23:00:00,0.0,28.42111,34.98019,1013.41516,11.156765,108.329636,0.0
2025-03-22_00:00:00,0.0,27.682295,33.16274,1013.9266,14.599453,108.09365,0.0
2025-03-22_01:00:00,0.0,26.748678,29.12981,1013.777,14.228188,98.85943,0.0
2025-03-22_02:00:00,0.0,26.468248,27.997044,1013.8179,13.876166,100.45812,0.0
2025-03-22_03:00:00,0.0,26.089209,28.501877,1013.9673,14.539245,101.02632,0.0
2025-03-22_04:00:00,0.0,25.29368,29.276669,1014.0843,17.398058,98.86987,0.0
2025-03-22_05:00:00,0.0,24.292961,31.968193,1014.3214,16.488165,91.21905,0.0
2025-03-22_06:00:00,0.0,23.605852,35.342796,1014.44006,13.965762,71.65039,0.0
2025-03-22_07:00:00,0.0,24.181751,34.517437,1014.7654,18.602314,55.69533,0.0
2025-03-22_08:00:00,0.0,22.81595,39.105858,1015.225,15.652606,55.967625,0.0
2025-03-22_09:00:00,0.0,22.978056,39.75463,1015.3739,19.006659,60.62744,0.0
2025-03-22_10:00:00,0.0,23.894339,38.936546,1015.31995,20.051212,59.018524,0.0
2025-03-22_11:00:00,0.0,26.121666,36.506638,1014.9641,20.557386,56.433426,0.0
2025-03-22_12:00:00,0.0,28.764446,32.556892,1014.57715,21.14012,48.69168,0.0
2025-03-22_13:00:00,0.0,30.472864,31.74097,1013.8711,20.90302,25.884315,0.0
2025-03-22_14:00:00,0.0,31.80844,32.14784,1012.8025,19.747585,20.559906,0.0
2025-03-22_15:00:00,0.0,32.963623,31.750515,1011.62366,20.506891,18.607254,0.0
2025-03-22_16:00:00,0.0,33.715733,30.512957,1010.47876,16.712135,20.22123,0.0
2025-03-22_17:00:00,0.0,34.11368,29.35645,1009.54645,14.284432,30.495346,0.0
2025-03-22_18:00:00,0.0,34.429245,27.373987,1008.53687,10.145285,44.339386,0.0
2025-03-22_19:00:00,0.0004951341543346643,34.60327,26.412807,1008.3866,6.3510747,66.7735,0.0
2025-03-22_20:00:00,0.12011155666550621,26.937256,60.115685,1011.4692,33.099117,236.38345,0.0
2025-03-22_21:00:00,0.44392253924161196,23.846552,73.28531,1013.6986,34.50969,225.42738,0.0
2025-03-22_22:00:00,1.7797933146357536,23.045837,82.40289,1015.1449,14.388997,243.80052,0.0
2025-03-22_23:00:00,0.09163480252027512,22.865269,79.256966,1014.6146,15.472231,182.22586,0.0
2025-03-23_00:00:00,0.10061212629079819,22.787691,73.22415,1015.3968,11.204033,180.2379,0.0
