Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.7163,64.96275,1004.89905,5.507064,153.09952,0.0
2025-03-20_01:00:00,0.0,23.085363,70.56734,1004.8097,9.260396,144.11823,0.0
2025-03-20_02:00:00,0.0,22.942183,69.517075,1004.94653,11.387141,147.3541,0.0
2025-03-20_03:00:00,0.0,22.7278,69.484604,1005.24567,11.836572,144.81299,0.0
2025-03-20_04:00:00,0.0,22.423782,70.034195,1005.304,10.997805,135.81747,0.0
2025-03-20_05:00:00,0.0,22.058577,70.68573,1005.2937,10.970942,147.43666,0.0
2025-03-20_06:00:00,0.0,21.536938,72.01511,1005.4409,10.66929,149.47577,0.0
2025-03-20_07:00:00,0.0,21.570917,71.22001,1006.0388,13.332835,142.31384,0.0
2025-03-20_08:00:00,0.0,21.238752,72.89184,1006.3349,12.877952,146.8309,0.0
2025-03-20_09:00:00,0.0,20.81461,75.43724,1006.79944,13.487197,148.60626,0.0
2025-03-20_10:00:00,0.0,20.636396,77.308685,1007.1182,13.711901,145.16528,0.0
2025-03-20_11:00:00,0.0,23.847097,67.44452,1006.8436,13.547569,130.7834,0.0
2025-03-20_12:00:00,0.0,26.670174,58.991486,1006.6023,11.0003195,114.77374,0.0
2025-03-20_13:00:00,0.0,29.01101,51.283714,1005.88904,12.24358,107.78347,0.0
2025-03-20_14:00:00,0.0,30.437662,46.42975,1005.27356,13.2219925,105.49716,0.0
2025-03-20_15:00:00,0.0,31.320549,43.395805,1004.57983,12.336576,111.99428,0.0
2025-03-20_16:00:00,0.00099385909686589,32.051502,40.983315,1003.7978,10.874369,120.06446,0.0
2025-03-20_17:00:00,0.11117546960122127,31.157022,44.902306,1003.42664,14.447219,128.28624,0.0
2025-03-20_18:00:00,0.06224830502287659,31.64562,44.03653,1003.0073,17.885128,80.59013,0.0
2025-03-20_19:00:00,0.001743123953929171,32.63566,38.561905,1002.4391,9.135178,202.19724,0.0
2025-03-20_20:00:00,5.117269392940216e-05,32.90112,36.56395,1002.4662,3.7385628,267.4635,0.0
2025-03-20_21:00:00,0.0,32.47322,37.811607,1002.6936,3.2850773,266.3,0.0
2025-03-20_22:00:00,0.0,29.068819,46.594933,1003.46326,4.7436047,189.96939,0.0
2025-03-20_23:00:00,0.0,27.946342,49.892002,1004.1549,15.076736,128.6937,0.0
2025-03-21_00:00:00,0.0007107242417987436,28.255901,46.63155,1004.3263,19.513397,142.09967,0.0
2025-03-21_01:00:00,0.006860683322884142,29.003254,43.00798,1003.94946,17.005562,144.3274,0.0
2025-03-21_02:00:00,0.3013534874335164,27.29065,51.93979,1004.2335,17.474638,137.162,0.0
2025-03-21_03:00:00,0.026364869336248375,26.666649,52.564728,1004.5027,17.225948,150.47845,0.0
2025-03-21_04:00:00,0.03791322204051539,25.502317,55.893585,1004.8788,10.012725,157.0242,0.0
2025-03-21_05:00:00,0.009892385802231729,24.636396,60.087074,1005.3406,9.914031,84.83245,0.0
2025-03-21_06:00:00,0.0019226778531447053,23.50017,65.602066,1005.3656,9.158563,89.49945,0.0
2025-03-21_07:00:00,0.0,23.199133,70.20752,1005.78894,5.426191,83.34755,0.0
2025-03-21_08:00:00,0.0,22.48012,72.34296,1006.21375,8.108889,133.59338,0.0
2025-03-21_09:00:00,0.0,21.958782,70.79969,1006.70917,11.067256,131.29156,0.0
2025-03-21_10:00:00,0.0,22.544556,65.145645,1007.0204,11.35357,124.732635,0.0
2025-03-21_11:00:00,0.0,24.906559,59.733265,1007.094,10.768464,115.293205,0.0
2025-03-21_12:00:00,0.0,27.62995,55.16204,1006.98914,12.259028,103.24711,0.0
2025-03-21_13:00:00,0.0,29.490278,50.05589,1006.1908,12.716977,88.29787,0.0
2025-03-21_14:00:00,0.0,30.968182,45.731716,1005.3251,14.000897,74.16008,0.0
2025-03-21_15:00:00,0.0,31.970144,43.064884,1004.3839,11.779624,78.8281,0.0
2025-03-21_16:00:00,0.0011607035994529724,32.8087,39.529922,1003.36597,9.281229,102.2151,0.0
2025-03-21_17:00:00,0.21351933316327631,32.968388,38.37227,1002.6147,6.17656,125.67601,0.0
2025-03-21_18:00:00,0.6999758929014206,32.093277,41.748306,1002.0963,9.566242,144.92747,0.0
2025-03-21_19:00:00,0.04246428981423378,33.352833,37.329987,1001.81775,6.708238,209.83069,0.0
2025-03-21_20:00:00,7.328018546104431e-05,33.53984,36.129395,1001.855,6.6001086,203.229,0.0
2025-03-21_21:00:00,0.0,32.814365,37.80905,1002.22205,5.874333,187.95937,0.0
2025-03-21_22:00:00,0.0,29.416447,45.663055,1002.9713,5.9771376,241.39478,0.0
2025-03-21_23:00:00,0.0,28.498135,47.336113,1003.20465,4.5818954,284.19275,0.0
2025-03-22_00:00:00,0.0,27.581556,49.751335,1003.8916,4.1262174,109.26541,0.0
2025-03-22_01:00:00,1.0788440704345703e-05,27.29607,49.8829,1003.7825,12.182883,143.39937,0.0
2025-03-22_02:00:00,9.199976921081543e-05,27.34408,50.82256,1003.83167,15.323019,119.07846,0.0
2025-03-22_03:00:00,5.412101745605469e-05,25.912828,65.31679,1004.67645,15.952701,81.69723,0.0
2025-03-22_04:00:00,0.0,24.737411,71.90179,1004.77106,12.4531355,82.43426,0.0
2025-03-22_05:00:00,0.0,23.942272,75.72139,1004.74854,10.296527,76.63971,0.0
2025-03-22_06:00:00,0.0,23.2101,78.95227,1004.8301,8.112795,79.62027,0.0
2025-03-22_07:00:00,0.0,22.911915,80.16971,1005.3726,6.255697,69.52979,0.0
2025-03-22_08:00:00,0.0,22.33045,83.28117,1005.7959,5.4755263,90.858536,0.0
2025-03-22_09:00:00,0.0,21.650928,86.71596,1006.1896,5.4406657,331.41833,0.0
2025-03-22_10:00:00,0.0,22.979355,81.106674,1006.2904,7.438428,313.89938,0.0
2025-03-22_11:00:00,0.0,24.468102,75.89176,1006.444,6.6582255,255.64589,0.0
2025-03-22_12:00:00,0.0,26.639744,68.271996,1006.27893,9.830132,337.16785,0.0
2025-03-22_13:00:00,0.0,28.574741,62.553577,1005.4198,13.028193,334.1828,0.0
2025-03-22_14:00:00,0.0,30.15001,58.051315,1004.4596,14.538297,324.1598,0.0
2025-03-22_15:00:00,0.0,31.400726,52.538933,1003.20935,14.300731,321.5581,0.0
2025-03-22_16:00:00,0.0,32.409973,47.10247,1002.00446,13.977042,322.5563,0.0
2025-03-22_17:00:00,0.0,33.174522,43.22098,1000.72015,14.283304,326.0418,0.0
2025-03-22_18:00:00,0.0,33.723007,40.356567,999.7588,14.646072,332.23993,0.0
2025-03-22_19:00:00,0.0,33.953484,39.481285,999.4331,13.796237,327.24292,0.0
2025-03-22_20:00:00,0.0,33.89628,39.249428,999.6463,13.003909,329.5909,0.0
2025-03-22_21:00:00,0.0,33.299698,41.031853,999.82495,12.357442,340.33722,0.0
2025-03-22_22:00:00,0.0004770234227180481,30.22267,50.63556,1001.0371,11.845646,322.5183,0.0
2025-03-22_23:00:00,0.0,28.203522,59.71724,1001.91754,5.693608,175.12733,0.0
2025-03-23_00:00:00,7.033348083496094e-05,27.893694,60.279068,1002.23596,4.7221355,193.23419,0.0
