Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.1153,57.379612,1007.7003,10.806392,142.7962,0.0
2025-03-20_01:00:00,0.0,23.517954,62.348476,1007.76526,9.913338,133.44254,0.0
2025-03-20_02:00:00,0.0,22.91552,64.37277,1008.01697,9.287202,130.48453,0.0
2025-03-20_03:00:00,0.0,22.741535,64.664474,1008.273,9.044143,113.71521,0.0
2025-03-20_04:00:00,0.0,22.431793,65.28192,1008.1432,9.941499,100.40828,0.0
2025-03-20_05:00:00,0.0,22.328714,64.54355,1008.14294,10.0906105,94.313,0.0
2025-03-20_06:00:00,0.0,22.235111,64.0008,1008.3373,10.867359,99.33144,0.0
2025-03-20_07:00:00,0.0,21.574636,66.28069,1009.0579,12.027683,116.47006,0.0
2025-03-20_08:00:00,0.0,20.845919,68.80005,1009.624,13.6246395,110.13458,0.0
2025-03-20_09:00:00,0.0,20.438957,71.673546,1009.88776,15.474703,91.368286,0.0
2025-03-20_10:00:00,0.0,20.568552,74.1059,1010.07336,16.423061,79.90451,0.0
2025-03-20_11:00:00,0.0,23.263353,65.675095,1009.832,17.805359,77.99925,0.0
2025-03-20_12:00:00,0.0,25.639065,59.098778,1009.574,19.831594,80.98324,0.0
2025-03-20_13:00:00,0.0,27.567993,52.80443,1008.9763,19.87167,84.42581,0.0
2025-03-20_14:00:00,0.0,29.00958,47.215614,1008.4066,17.151632,87.04991,0.0
2025-03-20_15:00:00,0.0,30.071983,41.50155,1007.72906,12.5678,90.90822,0.0
2025-03-20_16:00:00,0.0,30.915098,36.82892,1006.9574,9.410079,100.061646,0.0
2025-03-20_17:00:00,0.0,31.650053,33.831154,1006.16895,8.151998,110.58874,0.0
2025-03-20_18:00:00,0.0,32.250366,31.433556,1005.38556,7.5578246,121.510414,0.0
2025-03-20_19:00:00,0.0,32.681282,30.130352,1005.1384,8.658903,131.10217,0.0
2025-03-20_20:00:00,0.0,32.76822,29.386013,1005.1593,10.545026,132.91635,0.0
2025-03-20_21:00:00,2.1322439636151103e-06,32.45111,29.309822,1005.33484,9.591883,132.4899,0.0
2025-03-20_22:00:00,4.35169522461365e-06,30.818453,33.63849,1005.95575,10.087305,132.8423,0.0
2025-03-20_23:00:00,1.3503631635103375e-07,29.789318,36.51301,1006.54346,10.701947,122.11429,0.0
2025-03-21_00:00:00,5.12437645738828e-06,28.497438,39.25401,1007.1985,13.154523,106.92949,0.0
2025-03-21_01:00:00,0.00046720877435291186,28.400726,37.180904,1006.9107,14.760578,108.52366,0.0
2025-03-21_02:00:00,0.00018383271935817902,27.921234,37.559364,1006.95636,18.98772,106.644485,0.0
2025-03-21_03:00:00,0.0,26.94208,39.04611,1007.2804,20.203056,94.78092,0.0
2025-03-21_04:00:00,0.0,26.518095,39.12718,1007.424,20.33922,89.70622,0.0
2025-03-21_05:00:00,0.0,25.885462,39.293053,1007.5647,23.80528,84.91915,0.0
2025-03-21_06:00:00,0.0,25.469315,39.330452,1007.5821,25.224285,81.092415,0.0
2025-03-21_07:00:00,0.0,25.385355,39.113228,1008.1089,26.428797,81.087814,0.0
2025-03-21_08:00:00,0.0,24.978699,40.104805,1008.5698,26.595165,84.80727,0.0
2025-03-21_09:00:00,0.0,24.418861,42.24632,1009.0193,24.786034,83.38612,0.0
2025-03-21_10:00:00,0.0,24.3327,44.367844,1009.3909,24.536648,84.58966,0.0
2025-03-21_11:00:00,0.0,24.817875,45.150024,1009.62585,24.574007,83.8797,0.0
2025-03-21_12:00:00,0.0,26.459845,44.273594,1009.5939,23.099632,75.95642,0.0
2025-03-21_13:00:00,0.0,28.847593,41.25249,1008.68884,19.832676,70.84946,0.0
2025-03-21_14:00:00,0.0,30.42999,39.559822,1007.926,17.718548,61.677494,0.0
2025-03-21_15:00:00,0.0,31.451511,35.975815,1007.11194,14.057314,57.179356,0.0
2025-03-21_16:00:00,0.0,32.15722,33.74084,1006.1216,11.283149,64.58803,0.0
2025-03-21_17:00:00,0.0026954564350774035,32.606743,32.777336,1005.22974,9.292299,87.6791,0.0
2025-03-21_18:00:00,0.026144269483665994,32.343613,34.42289,1004.7075,11.033824,198.44505,0.0
2025-03-21_19:00:00,0.2136568726564292,31.56368,37.99517,1005.0194,13.882593,181.77945,0.0
2025-03-21_20:00:00,0.19959138811100274,31.57322,37.41062,1005.01495,8.784062,215.38097,0.0
2025-03-21_21:00:00,0.0049997600726783276,31.9985,35.522305,1004.95593,4.90438,54.062836,0.0
2025-03-21_22:00:00,2.5313347578048706e-06,30.707813,38.926468,1005.4897,6.008941,91.94833,0.0
2025-03-21_23:00:00,0.0,30.042368,40.38304,1005.92773,6.952744,113.075455,0.0
2025-03-22_00:00:00,0.00022645480930805206,29.407608,41.70269,1006.3405,10.015985,116.56462,0.0
2025-03-22_01:00:00,0.0,28.578762,42.816753,1006.39594,13.441885,91.52201,0.0
2025-03-22_02:00:00,0.0,28.273977,43.203606,1006.3853,16.957489,72.458115,0.0
2025-03-22_03:00:00,0.0,28.02524,43.68152,1006.4705,21.277445,74.44516,0.0
2025-03-22_04:00:00,0.00030628626700490713,27.343493,48.269756,1006.6526,25.684048,68.01988,0.0
2025-03-22_05:00:00,1.8476974219083786e-05,26.372738,56.78623,1006.5821,24.271984,63.15265,0.0
2025-03-22_06:00:00,0.0,26.286789,57.829308,1006.5056,22.296291,58.012066,0.0
2025-03-22_07:00:00,0.0,26.048357,56.85894,1006.86304,18.539331,48.154785,0.0
2025-03-22_08:00:00,0.0,25.177809,63.643692,1007.5668,15.29304,38.654076,0.0
2025-03-22_09:00:00,0.0,24.692804,67.24807,1007.9918,12.056633,116.55236,0.0
2025-03-22_10:00:00,0.0,25.393038,63.708344,1008.06836,13.874256,94.70572,0.0
2025-03-22_11:00:00,0.0,27.45089,54.988678,1007.8162,11.487927,346.0376,0.0
2025-03-22_12:00:00,0.0,29.49032,48.4902,1007.5087,13.088482,330.64633,0.0
2025-03-22_13:00:00,0.0,30.160105,49.113926,1006.9797,16.867134,331.63223,0.0
2025-03-22_14:00:00,0.0,30.849224,46.67433,1006.244,16.058395,329.9242,0.0
2025-03-22_15:00:00,0.0,31.695261,41.667137,1005.1199,15.200908,328.88342,0.0
2025-03-22_16:00:00,3.913138061761856e-05,32.517265,37.49405,1003.9132,12.447703,327.3252,0.0
2025-03-22_17:00:00,0.0002391503658145666,32.95156,37.80142,1002.7095,15.850446,295.2683,0.0
2025-03-22_18:00:00,0.026978962123394012,33.301888,36.395466,1001.7677,13.462593,273.60004,0.0
2025-03-22_19:00:00,0.06913680909201503,33.413544,36.927273,1001.7114,15.446743,219.38069,0.0
2025-03-22_20:00:00,0.013027196750044823,33.29149,36.286083,1001.7427,12.679211,187.80939,0.0
2025-03-22_21:00:00,0.07663122145459056,28.830873,52.440453,1003.5422,28.86975,59.641796,0.0
2025-03-22_22:00:00,0.2182387625798583,27.727915,55.52921,1005.1686,16.833622,207.92,0.0
2025-03-22_23:00:00,2.0537810437381268,23.861517,76.5595,1006.55786,22.902967,191.01466,0.0
2025-03-23_00:00:00,0.18087708950042725,23.581537,76.33912,1006.968,18.45952,173.96747,0.0
