Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.764791,61.296722,1008.184,3.2575152,243.93604,0.0
2025-03-20_01:00:00,0.0,21.586508,70.329636,1007.98975,7.13401,249.95837,0.0
2025-03-20_02:00:00,0.0,21.035456,73.01385,1008.19617,4.7958894,214.95088,0.0
2025-03-20_03:00:00,0.0,20.402578,75.88616,1008.2989,3.3097456,209.10666,0.0
2025-03-20_04:00:00,0.0,19.781914,78.10515,1008.8776,4.2740273,142.95468,0.0
2025-03-20_05:00:00,0.0,19.1169,80.053955,1008.83936,5.4786353,95.12662,0.0
2025-03-20_06:00:00,0.0,18.893326,78.70671,1008.7014,6.5876646,103.38318,0.0
2025-03-20_07:00:00,0.0,18.795969,75.977974,1008.9706,5.922158,96.58038,0.0
2025-03-20_08:00:00,0.0,18.497362,75.69715,1009.23035,6.953376,73.42929,0.0
2025-03-20_09:00:00,0.0,18.530289,74.416565,1009.54596,8.976505,88.12219,0.0
2025-03-20_10:00:00,0.0,18.371145,73.50468,1009.94556,10.220969,95.1354,0.0
2025-03-20_11:00:00,0.0,22.957565,58.21202,1009.80115,9.025949,80.26027,0.0
2025-03-20_12:00:00,0.0,26.611866,50.302685,1009.5375,11.792158,79.680435,0.0
2025-03-20_13:00:00,0.0,29.72991,41.70694,1008.9563,15.580017,77.79978,0.0
2025-03-20_14:00:00,0.0,31.262308,39.42202,1008.3788,16.661572,73.78827,0.0
2025-03-20_15:00:00,0.0,32.43557,35.603313,1007.6981,13.723472,70.71643,0.0
2025-03-20_16:00:00,0.0,33.28388,32.991302,1006.9866,9.808778,70.877914,0.0
2025-03-20_17:00:00,0.0,34.022346,31.02293,1006.2283,8.050095,76.86537,0.0
2025-03-20_18:00:00,0.0,34.546593,29.390095,1005.62256,7.2874646,80.667816,0.0
2025-03-20_19:00:00,0.0,34.86302,27.750523,1005.42017,6.514368,88.10989,0.0
2025-03-20_20:00:00,0.0,34.791077,26.837238,1005.3542,5.3829412,91.78821,0.0
2025-03-20_21:00:00,0.0,34.359833,27.57277,1005.43787,4.5468307,103.223015,0.0
2025-03-20_22:00:00,0.0,29.715374,35.021843,1005.91034,5.2563634,113.283676,0.0
2025-03-20_23:00:00,0.0,27.904066,37.651867,1006.2766,9.035612,83.29428,0.0
2025-03-21_00:00:00,0.0,26.704601,40.873398,1006.5204,12.197908,57.403442,0.0
2025-03-21_01:00:00,0.0,26.746563,40.453423,1006.2232,12.975575,56.818733,0.0
2025-03-21_02:00:00,0.0,26.180063,40.50216,1006.20917,12.792101,53.752823,0.0
2025-03-21_03:00:00,0.0,25.863708,41.562065,1006.2361,12.566898,49.719784,0.0
2025-03-21_04:00:00,0.0,25.400064,43.394924,1006.2977,12.604643,50.387638,0.0
2025-03-21_05:00:00,0.0039132052114609905,27.271826,39.013954,1006.2945,14.687395,69.82115,0.0
2025-03-21_06:00:00,0.0010507502092877985,25.820463,42.796646,1006.32306,15.707428,58.54457,0.0
2025-03-21_07:00:00,0.0,26.6087,39.4019,1006.6754,19.084723,50.59314,0.0
2025-03-21_08:00:00,0.0,26.437597,39.266727,1007.1033,19.869982,49.304604,0.0
2025-03-21_09:00:00,0.0,26.369919,38.3108,1007.563,20.699179,50.266235,0.0
2025-03-21_10:00:00,0.0,25.638634,38.749237,1008.22656,20.522642,57.4169,0.0
2025-03-21_11:00:00,0.0,27.860704,35.453056,1008.3878,23.576817,55.69275,0.0
2025-03-21_12:00:00,0.0,29.582193,33.6934,1008.53644,28.715052,57.794724,0.0
2025-03-21_13:00:00,0.0,31.412348,31.795696,1007.9971,28.145874,56.48131,0.0
2025-03-21_14:00:00,0.0,33.307007,29.684444,1007.201,26.072462,53.104134,0.0
2025-03-21_15:00:00,0.0,34.648804,27.315094,1006.3778,19.839817,46.055115,0.0
2025-03-21_16:00:00,0.0,35.342766,25.27671,1005.56335,13.7155,39.26128,0.0
2025-03-21_17:00:00,0.0,35.89383,23.93504,1004.7759,10.648353,33.06171,0.0
2025-03-21_18:00:00,0.0,36.287334,22.912277,1004.0414,8.077935,34.30265,0.0
2025-03-21_19:00:00,0.0,36.51491,22.203836,1003.8165,6.6855745,44.162914,0.0
2025-03-21_20:00:00,0.0,36.44478,22.03215,1003.70544,6.2577176,61.70594,0.0
2025-03-21_21:00:00,0.0,35.656433,23.311672,1003.7266,6.5692215,75.497894,0.0
2025-03-21_22:00:00,0.0,30.498919,31.23257,1004.36365,10.066944,88.619545,0.0
2025-03-21_23:00:00,0.0,29.520111,31.464615,1004.6585,12.88076,70.36046,0.0
2025-03-22_00:00:00,0.0,29.312147,28.193111,1004.92114,13.845523,53.25351,0.0
2025-03-22_01:00:00,0.0,28.724514,27.827877,1004.72095,13.636847,47.791443,0.0
2025-03-22_02:00:00,0.0,28.003563,28.67932,1004.49725,13.004088,49.04947,0.0
2025-03-22_03:00:00,9.911709639709443e-07,29.714369,26.673275,1004.5847,13.4593,59.279694,0.0
2025-03-22_04:00:00,0.005899981573747937,27.817993,32.26944,1004.6636,11.897685,51.160698,0.0
2025-03-22_05:00:00,0.008998685152619146,28.33568,33.983986,1004.7624,16.509207,71.53232,0.0
2025-03-22_06:00:00,0.013677475770236924,28.094833,38.96589,1004.7456,18.330967,62.58966,0.0
2025-03-22_07:00:00,0.0007181497057899833,28.521584,34.258682,1004.9319,21.95263,55.566208,0.0
2025-03-22_08:00:00,0.0004784916527569294,28.875525,32.970436,1005.2909,21.02929,39.451416,0.0
2025-03-22_09:00:00,0.00019130425062030554,27.527416,40.912086,1005.7011,14.955458,26.9259,0.0
2025-03-22_10:00:00,0.0,27.783628,46.261944,1005.7074,19.92754,36.372444,0.0
2025-03-22_11:00:00,0.0,29.6365,44.665863,1005.69556,22.454458,29.91742,0.0
2025-03-22_12:00:00,0.0,31.678738,42.09228,1005.6162,18.850725,142.54839,0.0
2025-03-22_13:00:00,0.0,32.89859,43.43702,1005.0985,21.2117,345.0498,0.0
2025-03-22_14:00:00,0.0,34.091564,42.08864,1004.088,21.952385,346.99023,0.0
2025-03-22_15:00:00,0.0009587376844137907,34.97325,40.228233,1002.9452,22.765131,342.74155,0.0
2025-03-22_16:00:00,0.049311930197291076,34.61798,40.834663,1002.09296,19.188192,272.42255,0.0
2025-03-22_17:00:00,5.982781782746315,22.526543,94.91141,1005.0133,29.60286,146.91437,0.0
2025-03-22_18:00:00,7.420609623193741,21.923035,95.92261,1005.2596,19.249104,119.27125,0.0
2025-03-22_19:00:00,6.615522623062134,21.854326,93.54239,1005.401,19.892696,129.00093,0.0
2025-03-22_20:00:00,3.0835622549057007,22.133686,92.84761,1005.0684,21.872318,89.43231,0.0
2025-03-22_21:00:00,2.7455508708953857,23.953835,87.65332,1004.3645,22.308527,75.01912,0.0
2025-03-22_22:00:00,0.07685422897338867,22.30906,90.99588,1005.23267,21.65915,82.10736,0.0
2025-03-22_23:00:00,0.003238081932067871,21.739063,91.646286,1005.49536,17.870228,77.26444,0.0
2025-03-23_00:00:00,0.0005534887313842773,22.592457,87.71251,1005.54297,20.472652,67.356224,0.0
