Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,21.372244,91.82688,1007.0996,4.7762628,165.81808,0.0
2025-03-20_01:00:00,0.0,21.22727,91.564896,1007.1643,3.436317,237.99673,0.0
2025-03-20_02:00:00,0.0,21.193687,90.17198,1006.94977,4.2733626,283.67847,0.0
2025-03-20_03:00:00,0.0,20.745867,92.78234,1007.33215,7.8777585,324.01343,0.0
2025-03-20_04:00:00,0.0,20.309597,94.068436,1007.18835,6.908116,308.0774,0.0
2025-03-20_05:00:00,0.0,20.362297,91.87512,1007.38007,5.433503,283.31866,0.0
2025-03-20_06:00:00,0.0,20.156595,91.442,1007.4834,4.445837,264.49005,0.0
2025-03-20_07:00:00,0.0,20.052698,90.59421,1007.9349,2.185595,254.26633,0.0
2025-03-20_08:00:00,0.0,19.6794,91.314705,1008.3983,2.7398908,193.60187,0.0
2025-03-20_09:00:00,0.0,19.256535,92.680504,1008.8142,3.6648695,127.91679,0.0
2025-03-20_10:00:00,0.0,19.87826,94.48515,1009.1366,4.3829107,121.37194,0.0
2025-03-20_11:00:00,0.0,22.488644,83.356186,1008.943,5.568099,120.50374,0.0
2025-03-20_12:00:00,0.0,24.761244,73.369095,1008.78925,8.6718445,115.414,0.0
2025-03-20_13:00:00,0.0,26.71656,64.54669,1008.0532,9.824318,109.941605,0.0
2025-03-20_14:00:00,0.0,28.526062,56.440468,1007.1304,10.107098,112.51375,0.0
2025-03-20_15:00:00,0.0,30.05529,49.208595,1006.19434,10.15651,115.70588,0.0
2025-03-20_16:00:00,0.0,31.205708,44.20424,1005.309,9.572564,120.85623,0.0
2025-03-20_17:00:00,0.0,32.04837,40.851143,1004.3637,8.944997,126.494736,0.0
2025-03-20_18:00:00,0.0,32.640137,39.132866,1003.54297,7.8277354,135.88312,0.0
2025-03-20_19:00:00,3.114443097729236e-05,33.01055,37.77565,1003.24677,7.414391,135.03867,0.0
2025-03-20_20:00:00,0.07975848335627234,32.119167,41.33581,1003.81805,14.201024,176.63792,0.0
2025-03-20_21:00:00,0.325630517792888,27.940434,58.215683,1005.30853,13.191733,117.422874,0.0
2025-03-20_22:00:00,0.022376458102371544,25.540976,69.01405,1006.3613,8.493429,62.625546,0.0
2025-03-20_23:00:00,0.0083674379857257,25.76472,66.09268,1006.767,9.206023,82.25732,0.0
