Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.504856,78.72736,1009.5961,6.8492556,234.02095,0.0
2025-03-20_01:00:00,0.002876226688385941,21.019522,84.67099,1010.3656,5.9357667,136.82518,0.0
2025-03-20_02:00:00,0.001021177726215683,21.117254,84.87979,1009.9918,6.407239,180.84084,0.0
2025-03-20_03:00:00,0.0007792220712872222,20.880253,85.54884,1010.36755,6.0317993,267.24402,0.0
2025-03-20_04:00:00,7.531461596954614e-05,20.365713,87.06468,1010.42993,3.274162,216.70439,0.0
2025-03-20_05:00:00,0.0,20.282307,86.203705,1010.46545,2.4049528,141.1757,0.0
2025-03-20_06:00:00,0.0,20.08514,85.73929,1010.4612,2.8932626,124.183395,0.0
2025-03-20_07:00:00,0.0,19.853634,85.44932,1010.9291,3.3219728,123.311325,0.0
2025-03-20_08:00:00,0.0,19.689384,84.81639,1011.40924,2.817566,136.67876,0.0
2025-03-20_09:00:00,0.0,19.406124,84.16864,1011.7256,4.8544893,130.73361,0.0
2025-03-20_10:00:00,0.0,19.612604,85.495575,1012.09534,7.1100473,117.89151,0.0
2025-03-20_11:00:00,0.0,23.24018,70.11972,1011.3141,8.6321,113.83616,0.0
2025-03-20_12:00:00,0.0,25.216316,61.1839,1010.9669,11.721083,98.89754,0.0
2025-03-20_13:00:00,0.0,26.512083,56.063972,1010.32245,12.8843355,97.60358,0.0
2025-03-20_14:00:00,0.0,27.674524,51.483353,1009.53845,13.386747,98.37952,0.0
2025-03-20_15:00:00,0.0,28.688456,47.652657,1008.72205,12.011836,100.36217,0.0
2025-03-20_16:00:00,0.0,29.509342,44.263397,1007.81177,9.164681,106.542946,0.0
2025-03-20_17:00:00,0.0011426728688093135,29.942091,44.199944,1006.993,13.085224,94.13154,0.0
2025-03-20_18:00:00,0.30008853265462676,28.350483,52.188225,1007.3533,15.246522,150.5597,0.0
2025-03-20_19:00:00,8.07876456156373,24.038235,69.109276,1009.5835,24.233955,149.04037,0.0
2025-03-20_20:00:00,0.9321436248719692,28.028437,50.66417,1007.5361,7.7412276,136.21178,0.0
2025-03-20_21:00:00,1.8298625946044922e-05,27.075396,59.533897,1008.0789,12.819582,157.18945,0.0
2025-03-20_22:00:00,0.0,25.194351,62.72161,1008.91956,8.038995,150.90697,0.0
2025-03-20_23:00:00,0.011499390006065369,24.668737,58.328857,1009.76544,7.8745155,136.2982,0.0
2025-03-21_00:00:00,0.5349734835326672,23.166117,76.83589,1010.6554,10.672696,80.00116,0.0
2025-03-21_01:00:00,0.36829904094338417,20.926344,83.76374,1011.4199,17.884514,40.474953,0.0
2025-03-21_02:00:00,0.0009001791477203369,20.753216,84.51029,1011.15125,10.955901,38.215633,0.0
2025-03-21_03:00:00,0.00041919201612472534,20.678158,80.30329,1010.8948,8.958852,103.745026,0.0
2025-03-21_04:00:00,0.0,20.585485,77.63482,1010.5939,9.484126,246.19638,0.0
2025-03-21_05:00:00,0.0,20.171154,80.830505,1010.6773,9.453011,201.9885,0.0
2025-03-21_06:00:00,0.0,19.702469,83.54898,1010.54193,8.545406,198.24747,0.0
2025-03-21_07:00:00,0.0,19.606625,82.417816,1011.1802,6.978079,197.3844,0.0
2025-03-21_08:00:00,0.0,19.812662,79.02029,1011.55524,5.4358573,97.621216,0.0
2025-03-21_09:00:00,0.0,19.749704,78.147675,1012.07825,7.358086,77.24585,0.0
2025-03-21_10:00:00,0.0,20.737719,77.28894,1012.3592,8.560427,79.48474,0.0
2025-03-21_11:00:00,0.0,22.74315,70.4175,1012.2053,11.421379,73.19298,0.0
2025-03-21_12:00:00,0.0,24.496458,65.63524,1012.00793,13.80789,85.78721,0.0
2025-03-21_13:00:00,0.0,25.899029,61.46112,1011.0903,12.761728,79.254715,0.0
2025-03-21_14:00:00,0.0,27.351395,55.992893,1010.01733,9.042027,68.01289,0.0
2025-03-21_15:00:00,0.0,28.602911,51.993908,1008.8949,6.4444084,56.073906,0.0
2025-03-21_16:00:00,0.0,29.67006,47.97496,1007.7158,4.9598217,51.433956,0.0
2025-03-21_17:00:00,0.003533005714416504,30.345505,45.054985,1006.58655,4.2929645,105.53282,0.0
2025-03-21_18:00:00,0.2763184830546379,30.448309,45.416504,1006.0044,7.419771,180.6672,0.0
2025-03-21_19:00:00,4.379590712487698,25.3915,69.89745,1008.47144,21.547163,295.68307,0.0
2025-03-21_20:00:00,4.690862648189068,26.594643,54.798344,1007.9928,8.798403,123.67551,0.0
2025-03-21_21:00:00,0.004422396421432495,27.13883,56.02968,1008.33374,9.459388,49.231422,0.0
2025-03-21_22:00:00,0.0,25.058117,68.76068,1008.26404,4.874194,233.46793,0.0
2025-03-21_23:00:00,0.011048667132854462,24.609898,69.89294,1009.99365,16.434448,63.095604,0.0
2025-03-22_00:00:00,0.024104006588459015,22.299171,89.11681,1011.1763,21.221899,62.72936,0.0
2025-03-22_01:00:00,5.2809715270996094e-05,22.083023,85.88548,1010.65845,16.110008,34.913532,0.0
2025-03-22_02:00:00,0.0,21.567871,85.36543,1010.5568,8.536463,28.471867,0.0
2025-03-22_03:00:00,0.0,21.487896,81.38338,1010.41345,7.4170637,82.313446,0.0
2025-03-22_04:00:00,0.0,21.254744,80.04087,1010.47424,8.526395,15.440295,0.0
2025-03-22_05:00:00,0.0,20.778555,79.31328,1010.6339,11.0595255,30.801178,0.0
2025-03-22_06:00:00,0.0,20.680132,79.619514,1010.3883,11.51121,159.66553,0.0
2025-03-22_07:00:00,0.0,20.56464,84.05144,1010.8992,11.387375,284.756,0.0
2025-03-22_08:00:00,0.0,20.56513,87.599365,1011.2397,12.141267,303.7821,0.0
2025-03-22_09:00:00,0.0,20.367521,90.63993,1011.5973,12.087768,304.51294,0.0
