Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.614859,62.926865,1010.7302,4.389404,156.53775,0.0
2025-03-20_01:00:00,0.0,23.695412,71.69763,1010.6933,4.570083,169.10597,0.0
2025-03-20_02:00:00,0.0,23.262331,73.648605,1010.9351,2.634329,170.51422,0.0
2025-03-20_03:00:00,0.0,22.517563,76.207306,1011.3616,3.959115,126.99196,0.0
2025-03-20_04:00:00,0.0,21.723745,79.56226,1011.5053,5.1505136,69.28318,0.0
2025-03-20_05:00:00,0.0,21.176744,82.37314,1011.5167,6.1293955,41.920288,0.0
2025-03-20_06:00:00,0.0,20.915243,82.95,1011.5874,6.933165,37.69822,0.0
2025-03-20_07:00:00,0.0,20.683273,81.75339,1012.1367,7.6828833,50.75733,0.0
2025-03-20_08:00:00,0.0,20.325445,80.79941,1012.4839,7.6619663,67.302826,0.0
2025-03-20_09:00:00,0.0,19.391748,84.18104,1013.2728,9.019746,98.55217,0.0
2025-03-20_10:00:00,0.0,19.39213,83.25922,1013.4831,4.836339,116.44174,0.0
2025-03-20_11:00:00,0.0,23.46864,66.668045,1013.1006,4.018035,109.94025,0.0
2025-03-20_12:00:00,0.0,26.212286,58.121185,1012.82886,5.8886766,93.11118,0.0
2025-03-20_13:00:00,0.0,28.875147,51.690735,1012.1107,9.574549,91.28683,0.0
2025-03-20_14:00:00,0.0,31.27855,44.653614,1011.2904,8.93153,87.22922,0.0
2025-03-20_15:00:00,0.0,32.697067,38.39409,1010.46173,6.7951303,98.60589,0.0
2025-03-20_16:00:00,0.0,33.667747,34.77511,1009.60657,7.3160806,119.214066,0.0
2025-03-20_17:00:00,0.0,34.24743,32.121426,1008.90295,7.109235,117.344376,0.0
2025-03-20_18:00:00,0.0,34.83322,30.085524,1008.17944,5.668114,113.35686,0.0
2025-03-20_19:00:00,0.0,35.223038,28.387772,1007.9515,6.124947,146.66702,0.0
2025-03-20_20:00:00,7.210781404864974e-06,35.225197,28.089005,1007.93896,6.9186597,153.35896,0.0
2025-03-20_21:00:00,5.742617759096902e-06,34.714836,29.46457,1008.1366,5.7465434,138.51816,0.0
2025-03-20_22:00:00,0.0,30.823874,38.847107,1008.93976,8.854421,139.62848,0.0
2025-03-20_23:00:00,0.0,29.227282,43.00621,1009.5653,7.950143,118.90917,0.0
2025-03-21_00:00:00,0.0,28.452951,45.25151,1009.9911,6.473987,77.96544,0.0
2025-03-21_01:00:00,0.0,27.193233,47.96814,1010.0648,8.040252,89.0889,0.0
2025-03-21_02:00:00,0.0,26.331959,52.27871,1010.178,9.104581,87.35066,0.0
2025-03-21_03:00:00,0.0,25.897179,54.28791,1010.32117,9.915305,75.035,0.0
2025-03-21_04:00:00,2.017240831264644e-06,25.395906,54.798317,1010.6508,10.375607,63.09491,0.0
2025-03-21_05:00:00,4.454122318975351e-05,25.28553,56.8572,1010.5545,10.9170265,49.959373,0.0
2025-03-21_06:00:00,0.0008574834646424279,25.179262,57.394394,1010.5255,11.851985,38.348236,0.0
2025-03-21_07:00:00,0.0003705671942952904,24.475796,58.75358,1011.20654,11.068837,41.933468,0.0
2025-03-21_08:00:00,0.0,23.476358,61.688843,1011.9219,10.615825,41.78836,0.0
2025-03-21_09:00:00,3.6802957765758038e-06,22.87276,62.92257,1012.2608,9.729909,83.77072,0.0
2025-03-21_10:00:00,4.450963388080709e-06,23.486868,56.305634,1012.5592,10.811934,79.90106,0.0
2025-03-21_11:00:00,0.0,25.81888,47.268974,1012.62744,12.8787775,85.064766,0.0
