Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.206873,49.717392,1014.136,7.183999,175.70244,0.0
2025-03-20_01:00:00,0.0,21.87841,52.62532,1014.06177,11.895752,179.78854,0.0
2025-03-20_02:00:00,0.0,21.264748,55.254242,1014.06995,12.694147,159.6637,0.0
2025-03-20_03:00:00,0.0,20.750097,59.021454,1014.40814,11.539765,140.47966,0.0
2025-03-20_04:00:00,0.0,20.086061,62.15699,1014.81494,10.94197,127.17788,0.0
2025-03-20_05:00:00,0.0,19.541971,63.818172,1014.9233,10.8587055,131.4912,0.0
2025-03-20_06:00:00,0.0,19.22595,63.771843,1015.0442,11.837542,134.79065,0.0
2025-03-20_07:00:00,0.0,18.819868,63.76705,1015.4674,11.576678,132.46243,0.0
2025-03-20_08:00:00,0.0,18.63394,62.763454,1015.9584,11.13883,131.47513,0.0
2025-03-20_09:00:00,0.0,17.702097,68.540794,1016.66956,10.315984,103.28856,0.0
2025-03-20_10:00:00,0.0,17.115118,72.17552,1017.4147,11.783473,89.62917,0.0
2025-03-20_11:00:00,0.0,21.554771,55.67293,1016.7384,12.022043,80.54495,0.0
2025-03-20_12:00:00,0.0,25.22593,46.247055,1016.1914,17.306921,69.17656,0.0
2025-03-20_13:00:00,0.0,26.724356,50.315582,1015.6533,19.243073,57.35692,0.0
2025-03-20_14:00:00,0.0,28.176523,47.94248,1014.9415,18.283392,50.377815,0.0
2025-03-20_15:00:00,0.0,29.482439,41.909145,1014.1532,15.589376,46.6755,0.0
2025-03-20_16:00:00,0.0,30.377384,37.650852,1013.3677,12.881983,43.896133,0.0
2025-03-20_17:00:00,0.0,31.195005,33.993546,1012.53687,9.826682,45.428726,0.0
2025-03-20_18:00:00,0.0,31.78804,31.51081,1011.82086,9.08161,49.21984,0.0
2025-03-20_19:00:00,0.027270093891161196,31.472645,31.63597,1011.854,12.346938,127.00415,0.0
2025-03-20_20:00:00,0.0010579692971077748,31.977667,30.478916,1011.6063,8.236532,101.13919,0.0
2025-03-20_21:00:00,5.6358519941568375e-05,31.680695,29.963577,1011.7233,9.508761,78.033966,0.0
2025-03-20_22:00:00,0.0,28.074146,35.9153,1012.59656,10.94796,90.8845,0.0
2025-03-20_23:00:00,0.0,27.176336,39.395447,1013.0057,13.639926,92.2862,0.0
