Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.507412,56.740677,1009.9584,4.7575135,204.34778,0.0
2025-03-20_01:00:00,0.0,25.335161,61.394188,1010.14087,9.981745,202.31754,0.0
2025-03-20_02:00:00,0.0,26.310268,56.314228,1009.9767,12.938715,196.96014,0.0
2025-03-20_03:00:00,0.0,25.597702,60.681168,1010.18835,11.527205,178.51997,0.0
2025-03-20_04:00:00,0.0,24.751474,65.27411,1010.36536,8.1346445,210.58652,0.0
2025-03-20_05:00:00,0.0,24.247406,67.022606,1010.4779,9.248708,233.84238,0.0
2025-03-20_06:00:00,0.0,23.850094,68.55909,1010.59314,10.202375,222.97372,0.0
2025-03-20_07:00:00,0.0,23.07905,73.04732,1011.1486,7.059392,172.77888,0.0
2025-03-20_08:00:00,0.0,22.611742,76.13379,1011.57635,5.464308,180.93988,0.0
2025-03-20_09:00:00,0.0,21.932673,80.17361,1011.85205,7.942061,216.00078,0.0
2025-03-20_10:00:00,0.0,21.911835,80.0863,1012.1614,6.613711,181.57352,0.0
2025-03-20_11:00:00,0.0,24.96152,68.12976,1012.3437,4.3975644,113.20004,0.0
2025-03-20_12:00:00,0.0,27.264507,60.69106,1012.3628,3.0042534,79.46369,0.0
2025-03-20_13:00:00,0.0,29.74391,52.07132,1011.7859,4.127043,111.00299,0.0
2025-03-20_14:00:00,0.0,31.764132,45.041206,1011.0395,6.640299,103.6701,0.0
2025-03-20_15:00:00,0.0,33.058567,40.726135,1010.349,9.647775,97.838234,0.0
2025-03-20_16:00:00,0.0,33.89672,38.497017,1009.67993,9.135294,95.95273,0.0
2025-03-20_17:00:00,0.0,34.656937,36.47915,1009.0084,8.004141,92.909164,0.0
2025-03-20_18:00:00,0.0,35.239025,34.72708,1008.3731,6.757293,95.012405,0.0
2025-03-20_19:00:00,0.0,35.59041,33.833942,1008.0888,5.7925076,94.79506,0.0
2025-03-20_20:00:00,0.0,35.634277,33.677086,1007.9636,4.79311,85.855606,0.0
2025-03-20_21:00:00,0.0,35.259865,34.47536,1008.00165,4.4688106,78.77234,0.0
2025-03-20_22:00:00,0.0,31.693806,42.44394,1008.2742,3.9755702,94.694786,0.0
2025-03-20_23:00:00,0.0,30.569965,44.661865,1008.552,4.425143,129.74797,0.0
2025-03-21_00:00:00,0.0,29.43481,47.284683,1008.8236,7.758572,153.99585,0.0
2025-03-21_01:00:00,0.0,29.101252,47.107513,1008.60986,9.307136,152.20105,0.0
2025-03-21_02:00:00,0.0,28.975845,46.654015,1008.6533,10.956917,150.21155,0.0
