Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,20.890268,88.245964,1007.9311,3.4256167,126.00872,0.0
2025-03-20_01:00:00,0.0,20.577028,90.62106,1007.7608,5.8469324,52.04005,0.0
2025-03-20_02:00:00,0.0,20.48526,90.05432,1007.86847,7.2306285,52.886078,0.0
2025-03-20_03:00:00,8.43859512921578e-05,20.464355,89.56732,1008.076,8.359781,50.9321,0.0
2025-03-20_04:00:00,0.0,20.107653,91.10657,1007.9803,5.8910527,63.56361,0.0
2025-03-20_05:00:00,0.0,19.850348,90.97858,1007.94794,6.538076,75.575905,0.0
2025-03-20_06:00:00,0.0,19.56782,91.26605,1008.0464,8.0020075,80.61796,0.0
2025-03-20_07:00:00,0.0,19.426382,91.435936,1008.5369,9.090888,77.27212,0.0
2025-03-20_08:00:00,0.0,19.317987,90.93637,1008.8488,9.145105,78.32348,0.0
2025-03-20_09:00:00,0.0,19.184828,90.34814,1009.12604,9.278066,85.552216,0.0
2025-03-20_10:00:00,0.0,19.63942,89.214355,1009.38446,9.377865,87.431465,0.0
2025-03-20_11:00:00,0.0,23.458288,73.78466,1008.6479,7.7365937,88.07151,0.0
2025-03-20_12:00:00,0.0,26.316948,62.30461,1008.1534,10.12308,100.26706,0.0
2025-03-20_13:00:00,0.0,27.99045,54.61264,1007.409,11.892675,92.15253,0.0
2025-03-20_14:00:00,0.0,29.097458,50.587162,1006.7195,11.148596,89.13669,0.0
2025-03-20_15:00:00,0.0,29.981674,47.464966,1005.9947,8.749912,88.250374,0.0
2025-03-20_16:00:00,0.0,30.668436,45.123444,1005.25665,6.0392447,86.80844,0.0
2025-03-20_17:00:00,0.02374968398112287,30.94889,45.032932,1004.51166,9.082664,87.767296,0.0
2025-03-20_18:00:00,0.4155837578388552,30.231384,48.72472,1004.3816,8.761536,186.29482,0.0
2025-03-20_19:00:00,0.5092507638037205,30.294207,48.928165,1004.32446,9.651512,148.87688,0.0
2025-03-20_20:00:00,0.033711232244968414,29.89598,50.329777,1004.61676,13.299252,227.95598,0.0
2025-03-20_21:00:00,0.0565079382310311,28.497248,56.386448,1005.1592,6.4483876,188.75099,0.0
2025-03-20_22:00:00,0.005338340997695923,26.160189,65.27589,1006.2635,7.5022173,63.66969,0.0
2025-03-20_23:00:00,0.01474267803132534,23.77324,76.05845,1007.8384,19.630957,34.383793,0.0
2025-03-21_00:00:00,0.0,23.369812,63.764313,1007.66095,12.620949,44.101913,0.0
2025-03-21_01:00:00,0.00047709420323371887,22.599386,68.1645,1007.9379,7.9602547,50.217194,0.0
2025-03-21_02:00:00,0.006931455805897713,22.41124,71.59474,1008.2187,9.982747,43.43378,0.0
2025-03-21_03:00:00,0.0017000964532295864,21.501348,77.148224,1008.07446,8.755325,39.8568,0.0
2025-03-21_04:00:00,0.0,21.12725,78.98274,1008.0994,12.062402,57.807354,0.0
2025-03-21_05:00:00,0.0,20.760735,82.06725,1007.91235,11.378584,65.86109,0.0
2025-03-21_06:00:00,0.0,20.584951,84.704475,1007.81915,11.388641,54.141937,0.0
2025-03-21_07:00:00,0.0,20.12364,88.46099,1008.4062,9.469416,34.054512,0.0
2025-03-21_08:00:00,0.0,20.028946,88.44181,1008.69165,10.145102,14.819812,0.0
2025-03-21_09:00:00,0.0,19.554422,90.76541,1009.20685,9.464084,75.24444,0.0
2025-03-21_10:00:00,0.0,20.54569,87.719505,1009.6119,8.390185,54.319767,0.0
2025-03-21_11:00:00,0.0,23.284546,76.340904,1009.40405,8.481589,65.912415,0.0
2025-03-21_12:00:00,0.0,26.110525,65.17608,1009.0119,7.6449237,55.81703,0.0
2025-03-21_13:00:00,0.0,27.644442,59.079258,1008.1093,5.319515,37.894535,0.0
2025-03-21_14:00:00,0.0,28.67479,55.915283,1007.21686,4.7986417,42.39501,0.0
2025-03-21_15:00:00,1.241763432820638e-08,29.397186,53.718582,1006.3113,3.8718204,62.149097,0.0
2025-03-21_16:00:00,0.004787970334291458,30.225935,50.82667,1005.3415,3.2290065,136.5083,0.0
2025-03-21_17:00:00,0.9341805018484592,28.834326,57.89783,1004.801,11.496481,234.51912,0.0
2025-03-21_18:00:00,0.02094205468893051,30.386482,50.322903,1004.2617,12.081434,127.758064,0.0
2025-03-21_19:00:00,0.008166377743085226,29.45473,53.030273,1004.6138,16.028837,96.64292,0.0
2025-03-21_20:00:00,0.004734445363283157,29.567162,45.946533,1004.7231,14.494963,20.445639,0.0
2025-03-21_21:00:00,0.0039191221197446184,28.626808,52.25737,1005.2717,9.509493,13.395625,0.0
2025-03-21_22:00:00,0.0,26.30024,60.769226,1005.7685,8.686359,101.87613,0.0
2025-03-21_23:00:00,0.0,25.00057,67.21017,1006.8305,9.0703745,21.024458,0.0
2025-03-22_00:00:00,0.0,24.787271,61.10118,1007.28644,13.169383,44.318222,0.0
2025-03-22_01:00:00,0.0,24.12111,67.88079,1007.3645,16.21806,62.598675,0.0
2025-03-22_02:00:00,0.0,23.11715,75.77017,1007.32446,13.002054,49.798565,0.0
2025-03-22_03:00:00,0.0,22.797403,76.085945,1007.34064,12.952745,41.761593,0.0
2025-03-22_04:00:00,0.0,22.037458,80.433716,1007.5532,9.446423,51.11861,0.0
2025-03-22_05:00:00,0.0,21.567411,84.2756,1007.5733,9.081749,52.920486,0.0
2025-03-22_06:00:00,0.0,21.537888,87.308105,1007.48883,10.654015,43.452274,0.0
2025-03-22_07:00:00,0.0,21.323404,89.56305,1008.0118,10.813246,40.448933,0.0
2025-03-22_08:00:00,0.0,21.11104,90.69735,1008.4643,10.79994,40.61858,0.0
2025-03-22_09:00:00,0.0,20.829092,91.82075,1008.7991,10.46561,33.533333,0.0
2025-03-22_10:00:00,0.0,22.206335,85.819855,1008.8513,13.06447,27.67987,0.0
2025-03-22_11:00:00,0.0,24.544989,77.53829,1008.5201,11.528981,14.585803,0.0
2025-03-22_12:00:00,0.0,27.188204,67.46744,1008.01495,11.724499,152.09358,0.0
2025-03-22_13:00:00,0.0,28.967743,57.40833,1007.02606,10.472752,348.61063,0.0
2025-03-22_14:00:00,0.0,29.77159,52.87915,1006.0618,7.3523054,322.19943,0.0
2025-03-22_15:00:00,0.08496665457884471,30.312012,50.28159,1004.87604,8.140244,229.19165,0.0
2025-03-22_16:00:00,0.5893132537603378,31.499773,47.645893,1003.7971,9.961996,255.71283,0.0
2025-03-22_17:00:00,0.0036617803076903024,31.382109,46.858963,1002.71704,9.419354,303.49976,0.0
2025-03-22_18:00:00,0.5591341430942217,31.168716,47.1947,1001.8975,11.699646,254.46303,0.0
2025-03-22_19:00:00,0.3817587768038114,30.37516,48.752277,1002.1066,13.8016405,173.63672,0.0
2025-03-22_20:00:00,0.008405335247516632,31.22494,46.289703,1001.94293,14.647432,278.95407,0.0
2025-03-22_21:00:00,0.0015001247326533,30.451431,49.85641,1002.539,10.635323,344.1085,0.0
2025-03-22_22:00:00,0.0,27.648623,56.944458,1003.3964,13.165417,331.42816,0.0
