Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.967619,66.38383,1007.8393,5.5,145.76088,0.0
2025-03-20_01:00:00,0.0,24.659027,76.552765,1007.6081,6.2620506,149.96844,0.0
2025-03-20_02:00:00,0.0,24.256285,78.2588,1008.19965,4.8313527,144.24904,0.0
2025-03-20_03:00:00,0.0,23.452627,81.50111,1008.2657,7.021569,110.15316,0.0
2025-03-20_04:00:00,0.0,22.922539,83.51416,1008.9715,8.46092,115.70645,0.0
2025-03-20_05:00:00,0.0,22.313965,85.15008,1008.9219,6.6578627,123.89915,0.0
2025-03-20_06:00:00,0.0,21.599115,87.87781,1009.09076,7.156604,155.65987,0.0
2025-03-20_07:00:00,0.0,21.243216,88.28364,1009.5676,7.60143,139.24615,0.0
2025-03-20_08:00:00,0.0,20.666193,91.03833,1009.86285,7.0141144,131.25777,0.0
2025-03-20_09:00:00,0.0,20.176407,93.99697,1010.2507,7.595911,136.6569,0.0
2025-03-20_10:00:00,0.0,19.919088,95.391235,1010.52374,7.154716,142.96681,0.0
2025-03-20_11:00:00,0.0,22.984617,81.51626,1010.6499,9.531295,138.43077,0.0
2025-03-20_12:00:00,0.0,26.089668,65.438545,1010.47186,10.740125,128.20268,0.0
2025-03-20_13:00:00,0.0,28.875671,54.244167,1009.7141,10.788151,120.785774,0.0
2025-03-20_14:00:00,0.0,31.048262,46.976902,1008.90234,10.906283,117.18994,0.0
2025-03-20_15:00:00,0.0,32.60961,41.973343,1008.0949,9.76621,116.004906,0.0
2025-03-20_16:00:00,0.0,33.675335,38.785797,1007.3173,9.047063,118.277245,0.0
2025-03-20_17:00:00,0.0,34.491093,36.655445,1006.5291,8.857442,128.87534,0.0
2025-03-20_18:00:00,0.0,35.06223,34.64793,1005.80133,8.143729,137.24846,0.0
2025-03-20_19:00:00,0.0,35.452084,32.893345,1005.5816,6.785219,144.68214,0.0
2025-03-20_20:00:00,0.0,35.5211,31.531982,1005.5086,7.431771,156.31468,0.0
2025-03-20_21:00:00,0.0002951481046693516,35.097458,31.571022,1005.6677,7.466549,158.03357,0.0
2025-03-20_22:00:00,0.0,31.176826,40.794468,1006.3885,8.897295,164.47841,0.0
2025-03-20_23:00:00,0.0,30.058664,44.22601,1006.84454,9.653162,179.39119,0.0
2025-03-21_00:00:00,0.0,29.176384,45.481415,1007.2632,9.969992,188.49156,0.0
2025-03-21_01:00:00,0.0,28.418417,46.965916,1007.2102,10.271624,171.81325,0.0
2025-03-21_02:00:00,0.0,27.468546,50.52849,1007.6464,11.684244,125.58914,0.0
2025-03-21_03:00:00,0.0,26.178099,59.26102,1007.8362,9.452628,120.65142,0.0
2025-03-21_04:00:00,0.0,25.26011,66.87368,1008.11224,7.565721,109.14655,0.0
2025-03-21_05:00:00,0.0,24.800817,72.39254,1007.96094,5.119801,169.83478,0.0
2025-03-21_06:00:00,0.0,24.503883,71.875145,1007.98224,8.1801815,182.55586,0.0
2025-03-21_07:00:00,0.0,24.053823,75.231865,1008.9494,12.113711,123.28875,0.0
2025-03-21_08:00:00,0.0,22.61218,85.07141,1009.4803,8.778485,127.390205,0.0
2025-03-21_09:00:00,0.0,21.869967,86.95688,1010.01855,8.835096,140.40617,0.0
2025-03-21_10:00:00,0.0,22.401075,85.78711,1010.25543,6.2707124,137.82735,0.0
2025-03-21_11:00:00,0.0,24.906122,74.36727,1010.41156,7.331737,128.27968,0.0
2025-03-21_12:00:00,0.0,27.77369,63.79161,1010.33154,6.7794147,109.29325,0.0
2025-03-21_13:00:00,0.0,30.149973,56.11893,1009.48566,5.6689987,96.69797,0.0
2025-03-21_14:00:00,0.0,32.122005,48.984222,1008.55145,4.557664,97.10678,0.0
2025-03-21_15:00:00,0.0,33.55239,42.862366,1007.6341,5.4833174,96.73153,0.0
2025-03-21_16:00:00,0.0,34.661243,37.596706,1006.66815,5.8809595,100.616486,0.0
2025-03-21_17:00:00,0.0,35.566204,33.634327,1005.71826,6.159598,116.553246,0.0
2025-03-21_18:00:00,0.0022738911478275745,35.952606,32.62186,1004.8244,7.750328,150.88048,0.0
2025-03-21_19:00:00,0.34014391687621054,34.80632,35.92471,1005.0854,13.840155,125.86031,0.0
2025-03-21_20:00:00,0.3040258932354239,34.62425,36.87222,1005.2459,15.388166,117.805916,0.0
2025-03-21_21:00:00,0.001090049239185949,34.18613,37.136364,1005.31055,13.082104,123.65276,0.0
2025-03-21_22:00:00,0.0,31.168005,44.637424,1006.1126,10.29506,82.3784,0.0
2025-03-21_23:00:00,0.0,29.273987,53.43671,1006.779,14.005978,49.693207,0.0
2025-03-22_00:00:00,0.0,28.47603,58.889393,1007.071,9.684471,54.167484,0.0
2025-03-22_01:00:00,0.0,28.075998,60.411724,1007.2195,9.278946,257.7887,0.0
2025-03-22_02:00:00,0.0,28.05606,58.695858,1007.34155,9.994968,282.47998,0.0
2025-03-22_03:00:00,0.0,26.796701,65.306,1007.34814,9.451836,293.68988,0.0
2025-03-22_04:00:00,0.0,25.950357,70.31675,1007.4375,9.017676,317.39902,0.0
2025-03-22_05:00:00,0.0,25.479822,72.00816,1007.4775,6.780728,318.15915,0.0
2025-03-22_06:00:00,0.0,24.960371,73.234215,1007.7239,6.783406,86.97599,0.0
2025-03-22_07:00:00,0.0,23.546158,80.58939,1008.614,7.3522763,97.91128,0.0
2025-03-22_08:00:00,0.0,23.090952,84.26002,1009.02057,5.4979715,120.68524,0.0
2025-03-22_09:00:00,0.0,22.785345,85.97873,1009.4839,5.573716,151.44897,0.0
2025-03-22_10:00:00,0.0,24.038061,80.03952,1009.68036,7.1956763,156.98804,0.0
2025-03-22_11:00:00,0.0,25.450836,75.71611,1009.8247,4.6621647,141.8495,0.0
2025-03-22_12:00:00,0.0,28.201517,65.69427,1009.63654,5.116132,84.76634,0.0
2025-03-22_13:00:00,0.0,30.95244,56.079548,1008.66376,8.12923,123.94076,0.0
2025-03-22_14:00:00,0.0,32.910404,48.024445,1007.52814,13.260662,308.9267,0.0
2025-03-22_15:00:00,0.0,33.77936,44.66948,1006.47894,12.943277,336.93768,0.0
2025-03-22_16:00:00,0.0002880580723285675,34.485977,41.734753,1005.1911,10.779469,276.89246,0.0
2025-03-22_17:00:00,1.4427848590615515,32.430138,47.823376,1004.8789,15.459476,176.8698,0.0
2025-03-22_18:00:00,0.011731237483521303,34.512615,40.973648,1003.8142,12.820488,126.64294,0.0
2025-03-22_19:00:00,0.0017149188400556643,35.465458,37.66847,1002.96704,14.094934,98.18564,0.0
2025-03-22_20:00:00,0.18536335354050001,33.911278,43.18962,1003.71136,20.363487,162.09999,0.0
2025-03-22_21:00:00,0.08628649947543938,34.124607,41.15732,1003.4432,10.168131,13.430542,0.0
2025-03-22_22:00:00,9.74008192618688e-06,31.116096,50.288773,1004.10205,9.068159,40.960983,0.0
2025-03-22_23:00:00,5.174179871877035e-05,30.29051,51.203526,1005.03827,13.3523035,313.90677,0.0
2025-03-23_00:00:00,2.7251119414965313e-05,29.984507,51.72495,1005.1181,16.040483,334.21814,0.0
