Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.118868,52.10504,1017.1776,8.595873,141.25125,0.0
2025-03-20_01:00:00,0.0,22.111387,60.69841,1017.56116,10.4155445,156.62901,0.0
2025-03-20_02:00:00,0.0,22.834011,59.467667,1017.0855,14.428729,150.39548,0.0
2025-03-20_03:00:00,0.0,22.559017,60.22815,1017.63354,14.002552,140.90947,0.0
2025-03-20_04:00:00,0.0,21.863873,63.193756,1017.93134,13.720425,134.64343,0.0
2025-03-20_05:00:00,0.0,21.651218,65.39641,1017.82166,14.106426,142.43817,0.0
2025-03-20_06:00:00,0.0,20.893145,69.2428,1018.1384,14.595002,135.67505,0.0
2025-03-20_07:00:00,0.0,20.550789,71.03674,1018.7955,13.804401,111.68538,0.0
2025-03-20_08:00:00,0.0,20.181593,73.79473,1019.5399,12.486643,101.78105,0.0
2025-03-20_09:00:00,0.0,19.513659,81.71921,1020.088,11.915676,104.081154,0.0
2025-03-20_10:00:00,0.0,19.334097,86.65039,1020.77625,11.732527,107.59447,0.0
2025-03-20_11:00:00,0.0,22.913069,71.61186,1020.61255,17.061125,90.95097,0.0
2025-03-20_12:00:00,0.0,25.051212,61.318523,1020.5145,18.665249,78.27385,0.0
2025-03-20_13:00:00,0.0,27.039484,53.857628,1019.8485,17.108683,74.41999,0.0
2025-03-20_14:00:00,0.0,29.003376,46.962566,1018.9377,15.436721,73.26938,0.0
2025-03-20_15:00:00,0.0,30.65885,40.050312,1017.8977,14.082057,75.042694,0.0
2025-03-20_16:00:00,0.0,31.827805,34.321087,1016.9281,13.019627,82.238556,0.0
2025-03-20_17:00:00,0.0,32.662846,31.08252,1016.0525,12.582093,90.19571,0.0
2025-03-20_18:00:00,0.0,33.275417,28.8681,1015.33887,12.463047,93.55726,0.0
2025-03-20_19:00:00,0.0,33.342957,28.224415,1015.23004,13.804262,90.90898,0.0
2025-03-20_20:00:00,8.338427505805157e-06,33.011673,28.17106,1015.3331,13.728081,90.05965,0.0
2025-03-20_21:00:00,3.377986612207451e-06,32.54795,27.426682,1015.6605,14.031105,98.65835,0.0
2025-03-20_22:00:00,0.0,28.373854,32.680992,1016.69794,12.370847,104.75654,0.0
2025-03-20_23:00:00,0.0,27.88714,31.529366,1017.0769,14.72309,105.86095,0.0
2025-03-21_00:00:00,0.0,26.340694,35.287445,1017.5473,13.509004,99.69333,0.0
2025-03-21_01:00:00,0.0,25.382732,37.7919,1017.41693,13.22988,96.36552,0.0
2025-03-21_02:00:00,0.0,24.255209,40.196243,1017.5282,12.891948,85.548744,0.0
2025-03-21_03:00:00,0.0,23.815899,40.88993,1017.59326,14.23713,93.4162,0.0
2025-03-21_04:00:00,0.0,23.541025,41.54871,1018.00323,16.972782,100.17541,0.0
2025-03-21_05:00:00,0.0,22.869442,47.837868,1018.2068,17.695185,97.994965,0.0
2025-03-21_06:00:00,0.0,22.324291,55.338455,1018.23816,19.436552,93.49583,0.0
2025-03-21_07:00:00,0.0,21.868778,61.749626,1018.8488,19.648705,91.44499,0.0
2025-03-21_08:00:00,0.0,21.845827,65.01724,1019.33575,20.863638,89.529854,0.0
2025-03-21_09:00:00,0.0,21.269304,68.08879,1019.96814,20.352104,88.26901,0.0
2025-03-21_10:00:00,0.0,21.991476,63.742783,1020.49536,23.447927,76.85463,0.0
2025-03-21_11:00:00,0.0,24.11205,55.61936,1020.4624,25.601625,76.6566,0.0
2025-03-21_12:00:00,0.0,26.539656,48.1008,1020.22003,23.771992,76.61692,0.0
2025-03-21_13:00:00,0.0,28.849009,41.74649,1019.36676,21.092701,70.89004,0.0
2025-03-21_14:00:00,0.0,30.742529,37.200287,1018.36444,19.107573,66.05061,0.0
2025-03-21_15:00:00,0.0,32.324585,32.032574,1017.1564,14.7523985,62.26821,0.0
2025-03-21_16:00:00,0.0,33.203285,28.49731,1016.0582,9.834558,51.655052,0.0
2025-03-21_17:00:00,0.0,33.961605,25.935787,1015.00757,7.199148,44.42249,0.0
2025-03-21_18:00:00,0.0,34.52344,24.094193,1014.15936,6.0626855,54.419716,0.0
2025-03-21_19:00:00,0.0,34.861496,23.364742,1014.00037,8.460126,80.91474,0.0
2025-03-21_20:00:00,4.446709863259457e-05,34.490646,24.06948,1014.00696,10.454101,130.61998,0.0
2025-03-21_21:00:00,0.0,33.761547,25.518513,1014.3198,13.067062,132.53734,0.0
2025-03-21_22:00:00,0.0,30.314552,30.554356,1015.1299,15.516228,135.45787,0.0
2025-03-21_23:00:00,0.0,28.883476,30.483154,1015.74255,16.7694,124.63809,0.0
2025-03-22_00:00:00,0.0,27.808384,29.151455,1016.1566,15.231963,124.73269,0.0
2025-03-22_01:00:00,0.0,27.132006,26.870262,1016.0541,15.059138,117.303635,0.0
2025-03-22_02:00:00,0.0,26.566633,28.502659,1016.0928,14.935244,111.51001,0.0
2025-03-22_03:00:00,0.0,25.510365,30.810352,1016.3623,15.671757,114.46378,0.0
2025-03-22_04:00:00,0.0,25.20076,32.473442,1016.36633,18.18944,109.75055,0.0
2025-03-22_05:00:00,0.0,25.089787,33.95556,1016.3884,20.550406,99.42563,0.0
2025-03-22_06:00:00,0.0,24.959679,35.584236,1016.72955,20.910748,79.9836,0.0
2025-03-22_07:00:00,5.326843074726639e-05,24.836657,35.79331,1017.2504,18.482454,67.35274,0.0
2025-03-22_08:00:00,0.0,23.485167,39.527683,1017.64185,16.477488,68.56023,0.0
2025-03-22_09:00:00,0.0,23.34013,40.591408,1017.74176,16.833014,73.42998,0.0
2025-03-22_10:00:00,0.0,24.450535,39.80877,1017.6847,21.526817,73.42171,0.0
2025-03-22_11:00:00,0.0,26.522284,37.455116,1017.50555,23.305708,71.68412,0.0
2025-03-22_12:00:00,0.0,29.069021,34.806522,1017.0791,21.476112,64.3907,0.0
2025-03-22_13:00:00,0.0,31.136908,33.465485,1016.1443,20.430712,54.293083,0.0
2025-03-22_14:00:00,0.0,32.839546,34.364532,1015.1466,20.484314,31.87768,0.0
2025-03-22_15:00:00,0.0,34.09083,31.713299,1013.8815,19.475796,24.456335,0.0
2025-03-22_16:00:00,0.0,34.89041,29.714287,1012.53687,17.445765,22.951462,0.0
2025-03-22_17:00:00,0.0,35.45404,28.976976,1011.6271,13.950822,26.164818,0.0
2025-03-22_18:00:00,0.0010811005486175418,35.464867,28.752092,1010.50854,13.333407,86.41342,0.0
2025-03-22_19:00:00,0.24838113268515372,34.725937,30.861305,1010.4629,10.526409,194.02133,0.0
2025-03-22_20:00:00,0.016908564470213605,34.883415,30.178225,1010.7135,5.6177316,203.4443,0.0
2025-03-22_21:00:00,1.1668517040088773,30.95782,41.814888,1012.242,19.589176,150.86029,0.0
2025-03-22_22:00:00,4.574099153280258,23.815042,75.35232,1016.4166,37.863834,237.00537,0.0
2025-03-22_23:00:00,3.120150551199913,23.830572,71.27749,1017.04193,27.633924,190.22241,0.0
2025-03-23_00:00:00,1.0655723959207535,22.98351,73.13876,1017.2113,20.805975,190.4573,0.0
