Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.917683,60.241165,1017.5473,5.236509,175.4587,0.0
2025-03-20_01:00:00,0.0,22.346954,70.32173,1017.54047,6.820146,189.38548,0.0
2025-03-20_02:00:00,0.0,21.560633,72.82814,1017.68713,5.6934075,201.54773,0.0
2025-03-20_03:00:00,0.0,20.882057,74.38008,1018.31226,6.7252493,220.50345,0.0
2025-03-20_04:00:00,0.0,20.92073,72.55702,1018.09143,6.65498,202.02975,0.0
2025-03-20_05:00:00,0.0,21.137644,71.03059,1018.06213,5.121276,193.74435,0.0
2025-03-20_06:00:00,0.0,20.474566,73.6785,1018.33167,7.177299,161.87308,0.0
2025-03-20_07:00:00,0.0,20.016771,75.68567,1019.194,10.219696,112.644936,0.0
2025-03-20_08:00:00,0.0,19.439877,78.73024,1019.4822,7.3349996,114.73311,0.0
2025-03-20_09:00:00,0.0,19.306494,79.65636,1019.88464,10.427151,118.60627,0.0
2025-03-20_10:00:00,0.0,19.657087,77.640945,1020.1832,12.426475,128.45935,0.0
2025-03-20_11:00:00,0.0,23.34385,62.4364,1019.96497,14.182441,127.706696,0.0
2025-03-20_12:00:00,0.0,26.265553,54.98066,1019.6885,13.382952,120.92371,0.0
2025-03-20_13:00:00,0.0,28.871521,49.005142,1018.96094,12.115852,109.14034,0.0
2025-03-20_14:00:00,0.0,31.218327,43.311806,1018.1113,10.937642,92.447655,0.0
2025-03-20_15:00:00,0.0,32.91814,36.45978,1017.1309,7.978043,83.25731,0.0
2025-03-20_16:00:00,0.0,34.041515,32.34021,1016.19446,6.793405,95.13776,0.0
2025-03-20_17:00:00,0.0,34.841183,29.801695,1015.34064,7.5255704,103.34476,0.0
2025-03-20_18:00:00,6.197973902999365e-06,35.076275,27.89357,1014.7067,6.424585,96.75488,0.0
2025-03-20_19:00:00,0.0011046387512578804,35.519268,26.905006,1014.48425,7.174822,71.40816,0.0
2025-03-20_20:00:00,0.0011909608183486853,35.4684,26.571243,1014.4386,6.882214,128.78152,0.0
2025-03-20_21:00:00,0.0,35.086052,27.01241,1014.6468,5.10803,134.8948,0.0
2025-03-20_22:00:00,1.512976126605281e-07,31.635483,33.451202,1015.3586,8.231611,152.98798,0.0
2025-03-20_23:00:00,8.721343874640297e-06,29.480556,37.794724,1016.0609,8.239619,145.94357,0.0
2025-03-21_00:00:00,1.7342581486445852e-06,29.222792,38.308884,1016.4807,6.023322,157.11401,0.0
2025-03-21_01:00:00,4.669353074859828e-06,27.620096,41.314995,1016.6157,6.748453,94.6008,0.0
2025-03-21_02:00:00,0.0017092553025577217,27.121536,42.79079,1016.6028,6.980569,108.471016,0.0
2025-03-21_03:00:00,0.0,25.766882,45.866074,1016.84766,9.097506,121.11048,0.0
2025-03-21_04:00:00,6.37187622487545e-06,25.545536,46.066135,1016.9297,11.029345,127.499916,0.0
2025-03-21_05:00:00,0.0013389687755989144,25.00183,47.795364,1017.3856,4.7550364,145.2688,0.0
2025-03-21_06:00:00,0.010579990981796072,25.170565,45.3099,1017.4156,6.4189,137.26083,0.0
2025-03-21_07:00:00,0.0006383094369084574,24.131716,44.983807,1018.0754,8.120316,138.89902,0.0
2025-03-21_08:00:00,4.986176281818189e-05,23.454737,44.578392,1018.5489,10.728675,133.992,0.0
2025-03-21_09:00:00,0.0,23.104973,45.676773,1018.9725,11.874558,132.58583,0.0
2025-03-21_10:00:00,0.0,23.206898,47.254772,1019.40955,10.637914,138.92639,0.0
2025-03-21_11:00:00,0.0,26.812206,39.004913,1019.27423,12.885474,116.748184,0.0
2025-03-21_12:00:00,0.0,28.900732,36.500954,1019.1045,14.07297,100.138504,0.0
2025-03-21_13:00:00,0.0,31.304361,34.17859,1018.295,12.852606,83.328674,0.0
2025-03-21_14:00:00,0.0,33.511963,31.658703,1017.2901,10.422335,51.08118,0.0
2025-03-21_15:00:00,0.0,34.679573,30.14864,1016.2372,9.095219,25.842949,0.0
2025-03-21_16:00:00,0.0,35.13721,29.089392,1015.27094,7.2978563,87.05693,0.0
2025-03-21_17:00:00,0.08444228763755746,34.813896,30.454388,1014.67365,11.994579,240.12076,0.0
2025-03-21_18:00:00,0.0498424704928766,35.62828,28.509768,1013.8788,9.720504,95.14024,0.0
2025-03-21_19:00:00,0.0,36.034904,27.386082,1013.6664,7.7137027,116.456345,0.0
2025-03-21_20:00:00,8.032293408177793e-07,35.952827,27.47395,1013.60425,7.9927654,115.96037,0.0
2025-03-21_21:00:00,0.0006459278592956252,35.163273,29.0233,1013.9469,10.804273,63.490944,0.0
2025-03-21_22:00:00,0.008728481843718328,31.505388,35.79688,1014.58527,9.234579,84.42713,0.0
2025-03-21_23:00:00,9.616876195650548e-05,31.415304,36.400078,1014.9812,10.999456,30.63763,0.0
2025-03-22_00:00:00,0.00016255537047982216,30.990658,38.59619,1015.29944,9.382176,64.5667,0.0
2025-03-22_01:00:00,0.0017566742899361998,29.928,41.493355,1015.36475,10.399714,116.33355,0.0
2025-03-22_02:00:00,0.00528503094392363,28.252134,45.4731,1015.62256,8.622331,105.46528,0.0
2025-03-22_03:00:00,0.003653091727755964,26.740154,50.695015,1015.8407,9.080503,91.457504,0.0
2025-03-22_04:00:00,0.0,25.993826,53.22139,1015.90814,8.913999,106.65279,0.0
2025-03-22_05:00:00,0.0,25.609922,53.20641,1016.1021,11.006552,128.67798,0.0
2025-03-22_06:00:00,0.0,25.551455,52.42515,1016.1951,9.418024,127.69354,0.0
2025-03-22_07:00:00,0.0,24.71878,56.855606,1016.9695,4.9436173,118.10029,0.0
2025-03-22_08:00:00,0.0,24.331903,61.863014,1017.13385,6.0987473,79.6968,0.0
2025-03-22_09:00:00,0.0,23.612843,65.65579,1017.6495,7.4583106,91.04223,0.0
2025-03-22_10:00:00,0.0,25.07353,62.1363,1017.73285,9.112624,89.76079,0.0
2025-03-22_11:00:00,0.0,26.873404,59.052185,1017.6754,8.8092375,48.017567,0.0
2025-03-22_12:00:00,0.0,29.749365,53.244553,1017.29285,7.5953627,25.857622,0.0
2025-03-22_13:00:00,0.0,31.980156,48.87516,1016.52686,12.867321,346.60455,0.0
2025-03-22_14:00:00,0.0,33.279396,44.988464,1015.5016,17.011782,337.04105,0.0
2025-03-22_15:00:00,0.0,34.314545,40.04832,1014.44183,15.804949,338.35413,0.0
2025-03-22_16:00:00,5.302119825500995e-05,35.21556,36.874084,1013.163,15.472691,336.0896,0.0
2025-03-22_17:00:00,0.004839232045924291,35.13295,37.155033,1012.26025,16.793633,219.49442,0.0
2025-03-22_18:00:00,0.0012345670838840306,36.058746,35.028385,1010.94495,16.805765,182.17966,0.0
2025-03-22_19:00:00,0.46789844188606367,34.477444,41.341545,1011.4238,17.468878,59.359486,0.0
2025-03-22_20:00:00,0.003879340540152043,35.144264,37.510574,1011.24066,9.85939,67.27347,0.0
2025-03-22_21:00:00,7.896970272064209,26.930214,59.54837,1014.8415,24.843695,202.29861,0.0
2025-03-22_22:00:00,2.142631411552429,24.678518,81.07897,1014.501,24.1126,176.47183,0.0
2025-03-22_23:00:00,0.10157328844070435,25.135176,77.34229,1016.0504,22.058222,80.088974,0.0
2025-03-23_00:00:00,0.13297781348228455,24.819551,83.43787,1016.21857,19.773735,140.69904,0.0
