Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.733028,50.715557,1038.9569,7.707077,113.58989,0.0
2025-03-20_01:00:00,0.0,22.723171,57.973404,1039.2621,5.344236,99.22267,0.0
2025-03-20_02:00:00,0.0,21.841757,61.36302,1039.4635,5.0636916,172.97447,0.0
2025-03-20_03:00:00,0.0,21.2802,63.997814,1040.0771,4.7684493,211.63733,0.0
2025-03-20_04:00:00,0.0,20.999454,65.57736,1040.2112,5.1530466,200.57304,0.0
2025-03-20_05:00:00,0.0,20.449762,68.47792,1040.5232,7.5237513,168.74164,0.0
2025-03-20_06:00:00,0.0,20.667332,68.11635,1040.3741,10.119922,185.70828,0.0
2025-03-20_07:00:00,0.0,19.992783,71.17948,1041.1244,9.891079,181.43959,0.0
2025-03-20_08:00:00,0.0,19.436995,72.99539,1042.0259,9.855179,155.41171,0.0
2025-03-20_09:00:00,0.0,19.11712,74.53318,1042.505,9.875613,141.64905,0.0
2025-03-20_10:00:00,0.0,18.90242,76.43623,1043.0996,9.642195,129.3139,0.0
2025-03-20_11:00:00,0.0,22.751526,65.63139,1042.6929,10.635208,102.999374,0.0
2025-03-20_12:00:00,0.0,25.225367,60.2985,1042.358,15.190668,83.49927,0.0
2025-03-20_13:00:00,0.0,27.194513,54.453884,1041.5276,15.185483,78.92746,0.0
2025-03-20_14:00:00,0.0,29.168877,48.070366,1040.5164,14.292216,77.87389,0.0
2025-03-20_15:00:00,0.0,30.871391,41.59446,1039.364,13.132828,79.96866,0.0
2025-03-20_16:00:00,0.0,32.185886,34.42542,1038.2343,11.767559,81.50159,0.0
2025-03-20_17:00:00,0.0,33.054237,30.581959,1037.2817,10.88766,85.22548,0.0
2025-03-20_18:00:00,0.0,33.719887,26.842743,1036.5038,10.053111,86.32296,0.0
2025-03-20_19:00:00,0.0,34.166008,24.24335,1036.2231,8.694273,79.643555,0.0
2025-03-20_20:00:00,0.0,34.236465,24.488052,1036.126,9.203531,74.82335,0.0
2025-03-20_21:00:00,0.0,33.469627,26.767612,1036.4921,12.05744,94.81569,0.0
2025-03-20_22:00:00,0.0,30.018682,34.30046,1037.561,10.371075,97.83951,0.0
2025-03-20_23:00:00,0.0,29.37199,35.511402,1038.062,13.083057,101.32937,0.0
2025-03-21_00:00:00,0.0,28.758512,33.334404,1038.4458,14.891387,103.84312,0.0
2025-03-21_01:00:00,0.0,26.864115,34.96019,1038.6292,12.123204,103.11924,0.0
2025-03-21_02:00:00,0.0,25.444777,37.75522,1038.9324,10.937993,102.03198,0.0
2025-03-21_03:00:00,0.0,24.24188,40.732033,1039.1946,9.839498,97.91692,0.0
2025-03-21_04:00:00,0.0,23.869606,42.05462,1039.2692,10.573562,103.171295,0.0
2025-03-21_05:00:00,0.0,23.664692,41.364826,1039.731,13.437696,105.37093,0.0
2025-03-21_06:00:00,0.0,22.181744,46.95317,1040.1228,11.50967,107.86638,0.0
