Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.77446,50.176033,1014.2571,7.7230124,112.85128,0.0
2025-03-20_01:00:00,0.0,22.800535,57.62529,1014.5383,6.551106,148.12852,0.0
2025-03-20_02:00:00,0.0,21.50489,62.96549,1014.6863,7.026736,179.76524,0.0
2025-03-20_03:00:00,0.0,21.258718,64.19343,1015.14435,4.20176,244.33517,0.0
2025-03-20_04:00:00,0.0,21.280731,64.29697,1015.3042,2.4191132,207.28923,0.0
2025-03-20_05:00:00,0.0,20.325062,68.65127,1015.73895,6.5258102,168.21878,0.0
2025-03-20_06:00:00,0.0,19.972183,70.906425,1015.8087,7.857346,171.77954,0.0
2025-03-20_07:00:00,0.0,19.67824,71.90531,1016.1913,8.569171,173.02718,0.0
2025-03-20_08:00:00,0.0,19.076632,74.42503,1016.9902,8.796952,146.9606,0.0
2025-03-20_09:00:00,0.0,18.657742,75.720795,1017.48596,9.034002,125.296524,0.0
2025-03-20_10:00:00,0.0,18.516346,76.508995,1018.0001,9.0470915,113.83476,0.0
2025-03-20_11:00:00,0.0,22.595844,66.30194,1017.74036,12.831492,88.67287,0.0
2025-03-20_12:00:00,0.0,24.778057,61.31067,1017.6218,16.248547,75.841324,0.0
2025-03-20_13:00:00,0.0,26.552517,55.219696,1016.97894,16.112568,70.52748,0.0
2025-03-20_14:00:00,0.0,28.300886,49.453354,1016.18896,14.756063,71.28902,0.0
2025-03-20_15:00:00,0.0,30.00336,42.799194,1015.1941,13.976947,72.48506,0.0
2025-03-20_16:00:00,0.0,31.234966,35.384285,1014.2479,12.253412,73.15086,0.0
2025-03-20_17:00:00,0.0,32.077103,31.939404,1013.35974,10.547115,77.45648,0.0
2025-03-20_18:00:00,0.0,32.74673,29.414055,1012.6214,10.115926,79.20406,0.0
2025-03-20_19:00:00,0.0,33.211098,26.829304,1012.35986,9.007106,76.820114,0.0
2025-03-20_20:00:00,0.0,33.290062,26.37931,1012.2995,9.668451,88.8953,0.0
2025-03-20_21:00:00,0.0,32.68455,28.598154,1012.55554,13.524018,98.30192,0.0
2025-03-20_22:00:00,0.0,29.896624,34.714134,1013.3621,11.764774,110.00821,0.0
2025-03-20_23:00:00,0.0,28.833284,36.606777,1013.7645,11.907164,98.983185,0.0
2025-03-21_00:00:00,0.0,27.86255,37.660583,1014.30945,12.702815,107.36459,0.0
2025-03-21_01:00:00,0.0,26.62793,36.996704,1014.28406,12.940377,104.359,0.0
2025-03-21_02:00:00,0.0,26.007147,35.806908,1014.2205,12.952108,101.673904,0.0
2025-03-21_03:00:00,0.0,25.295559,36.61147,1014.399,12.663497,90.07922,0.0
2025-03-21_04:00:00,0.0,24.086723,40.20044,1014.60223,11.239505,86.178314,0.0
2025-03-21_05:00:00,0.0,23.828167,40.76095,1014.92444,15.195871,98.30548,0.0
