Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.281023,52.03685,1016.4958,7.600987,183.27866,0.0
2025-03-20_01:00:00,0.0,20.418255,62.86706,1016.5786,7.1523013,202.39166,0.0
2025-03-20_02:00:00,0.0,19.687113,65.859474,1016.67346,7.9480677,207.05121,0.0
2025-03-20_03:00:00,0.0,18.909782,67.93161,1017.0199,7.946628,190.96521,0.0
2025-03-20_04:00:00,0.0,18.579556,69.42268,1017.26624,7.6297865,175.65445,0.0
2025-03-20_05:00:00,0.0,18.224115,74.698074,1017.2087,9.205653,168.02518,0.0
2025-03-20_06:00:00,0.0,17.667494,80.135765,1017.43524,9.894623,168.47003,0.0
2025-03-20_07:00:00,0.0,16.956734,85.29498,1018.4114,8.663994,101.02111,0.0
2025-03-20_08:00:00,0.0,17.181,81.71143,1018.843,5.190365,96.53522,0.0
2025-03-20_09:00:00,0.0,16.536865,86.39297,1019.6349,8.957287,77.6022,0.0
2025-03-20_10:00:00,0.0,17.523142,87.23623,1020.117,10.913355,46.380447,0.0
2025-03-20_11:00:00,0.0,22.30737,69.19298,1019.84973,17.109276,43.695236,0.0
2025-03-20_12:00:00,0.0,24.994692,58.378586,1019.6498,21.47431,45.211033,0.0
2025-03-20_13:00:00,0.0,26.916466,50.17659,1019.03815,21.875586,41.871365,0.0
2025-03-20_14:00:00,0.0,28.696043,43.87081,1018.28894,20.791262,39.696907,0.0
2025-03-20_15:00:00,0.0,30.223953,39.140907,1017.4578,18.269072,39.646557,0.0
2025-03-20_16:00:00,0.0,31.409086,34.87436,1016.5913,14.877171,40.989716,0.0
2025-03-20_17:00:00,0.0,32.328114,30.087082,1015.81726,12.353113,42.265945,0.0
2025-03-20_18:00:00,0.0,33.007538,26.132917,1015.10614,10.089125,44.78494,0.0
2025-03-20_19:00:00,0.0,33.453354,23.723465,1014.83923,8.66879,47.415787,0.0
2025-03-20_20:00:00,0.0,33.448822,24.031273,1014.77106,9.105034,43.22713,0.0
2025-03-20_21:00:00,0.0,32.796402,26.127459,1014.9127,8.324779,64.44412,0.0
2025-03-20_22:00:00,0.0,27.726322,37.242554,1015.86346,9.338579,97.80571,0.0
2025-03-20_23:00:00,0.0,26.63631,42.270508,1016.2512,11.155935,106.23748,0.0
2025-03-21_00:00:00,0.0,26.07712,44.244537,1016.57007,10.619019,126.31587,0.0
2025-03-21_01:00:00,0.0,25.213022,47.466103,1016.65125,12.13599,106.55644,0.0
2025-03-21_02:00:00,0.0,25.67662,42.371685,1016.51904,15.627275,86.56909,0.0
2025-03-21_03:00:00,7.94177763054904e-05,24.176065,46.558464,1016.7962,12.304507,43.6904,0.0
2025-03-21_04:00:00,8.422875907854177e-08,23.878983,45.970062,1016.8528,15.4018545,41.560764,0.0
2025-03-21_05:00:00,0.0,23.751028,46.910446,1016.952,16.826502,40.457176,0.0
2025-03-21_06:00:00,0.0,22.624311,53.465454,1017.00684,15.83687,39.6188,0.0
2025-03-21_07:00:00,0.0,21.452816,61.00122,1017.6422,13.607754,46.463196,0.0
2025-03-21_08:00:00,0.0,20.483047,66.70218,1018.40857,12.340416,51.3311,0.0
2025-03-21_09:00:00,0.0,19.957771,70.17139,1019.0701,12.55427,49.071198,0.0
2025-03-21_10:00:00,0.0,20.857737,69.09862,1019.4514,13.832817,49.086582,0.0
2025-03-21_11:00:00,0.0,23.679192,59.053642,1019.5784,19.095245,46.098675,0.0
2025-03-21_12:00:00,0.0,25.927336,50.52956,1019.53894,20.49543,44.43297,0.0
2025-03-21_13:00:00,0.0,27.976307,42.477882,1018.9062,22.795141,40.389214,0.0
