Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.805233,76.33973,1007.3806,8.728751,182.74393,0.0
2025-03-20_01:00:00,0.0,23.018806,79.56653,1007.3787,8.107832,117.31512,0.0
2025-03-20_02:00:00,0.0,22.551424,81.637955,1007.7201,7.8387713,95.072,0.0
2025-03-20_03:00:00,0.001123078042837733,22.106646,82.90187,1007.8274,7.788733,92.26033,0.0
2025-03-20_04:00:00,0.0015045573600218631,22.080978,81.10028,1007.98517,7.7938304,116.4763,0.0
2025-03-20_05:00:00,0.0,21.818996,81.22395,1007.7406,7.606569,108.869156,0.0
2025-03-20_06:00:00,0.0,21.34541,82.04457,1007.9032,7.3602223,115.20668,0.0
2025-03-20_07:00:00,0.0,20.905874,83.3105,1008.52826,6.9279404,106.72016,0.0
2025-03-20_08:00:00,0.0,20.65349,82.985245,1008.9149,6.8230605,124.62923,0.0
2025-03-20_09:00:00,0.0,20.545124,82.05464,1009.1178,7.3942056,126.256424,0.0
2025-03-20_10:00:00,0.0,20.963322,80.60049,1009.36316,7.6458883,130.64075,0.0
2025-03-20_11:00:00,0.0,24.650232,67.47545,1009.0058,5.0005903,86.96434,0.0
2025-03-20_12:00:00,0.0,27.20749,60.216385,1008.8033,5.360232,96.96917,0.0
2025-03-20_13:00:00,0.0,29.517622,51.997616,1008.03613,8.118599,86.65165,0.0
2025-03-20_14:00:00,0.0,30.957079,47.42665,1007.3433,8.655528,84.67714,0.0
2025-03-20_15:00:00,0.0,31.994726,44.21411,1006.55176,6.8194695,90.79854,0.0
2025-03-20_16:00:00,0.0,32.804684,42.120064,1005.7948,6.1079516,98.240906,0.0
2025-03-20_17:00:00,0.031122673070058227,33.101475,41.187237,1005.0493,8.158336,107.34572,0.0
2025-03-20_18:00:00,0.3330493856483372,32.83513,42.985775,1004.7344,10.616199,178.89496,0.0
2025-03-20_19:00:00,0.0041337566945003346,33.473114,40.356346,1004.3968,8.489636,176.03339,0.0
2025-03-20_20:00:00,6.317859515547752e-07,33.533943,39.57527,1004.32764,7.119909,201.85931,0.0
2025-03-20_21:00:00,0.008228058577515185,32.66474,42.723293,1004.9368,8.883363,159.005,0.0
2025-03-20_22:00:00,0.019378377859538887,29.245153,50.960487,1005.5593,9.326028,115.96736,0.0
2025-03-20_23:00:00,0.00701034686062485,28.69816,53.87159,1006.55444,20.008821,139.38092,0.0
2025-03-21_00:00:00,0.18403047160245478,28.301731,51.381767,1007.03723,15.811015,107.916565,0.0
2025-03-21_01:00:00,0.23515672283247113,26.173439,67.4545,1007.51166,13.788896,48.18556,0.0
