Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.830296,51.761696,1014.35144,8.493187,129.79749,0.0
2025-03-20_01:00:00,0.0,22.57501,60.683697,1014.7205,8.799774,146.90656,0.0
2025-03-20_02:00:00,0.0,22.317421,62.635345,1014.14087,8.272377,165.27766,0.0
2025-03-20_03:00:00,0.0,22.018023,63.754112,1014.93225,6.147476,137.20714,0.0
2025-03-20_04:00:00,0.0,21.722637,63.981514,1014.9499,5.4379945,176.34715,0.0
2025-03-20_05:00:00,0.0,21.23481,66.09213,1015.41974,2.2252572,204.10703,0.0
2025-03-20_06:00:00,0.0,20.068197,69.96237,1015.63196,6.845441,209.66544,0.0
2025-03-20_07:00:00,0.0,19.42758,72.2074,1016.2092,6.717827,186.73987,0.0
2025-03-20_08:00:00,0.0,19.215597,72.698875,1016.96545,5.745773,128.4493,0.0
2025-03-20_09:00:00,0.0,18.737625,76.58141,1017.40674,6.8154936,127.98329,0.0
2025-03-20_10:00:00,0.0,18.661072,81.95976,1018.05286,7.7197237,100.06568,0.0
2025-03-20_11:00:00,0.0,22.884262,70.22447,1017.84564,12.690245,84.1533,0.0
2025-03-20_12:00:00,0.0,25.37637,60.965355,1017.70557,16.340189,72.8532,0.0
2025-03-20_13:00:00,0.0,27.458952,52.96956,1017.04663,16.624865,66.69801,0.0
2025-03-20_14:00:00,0.0,29.209908,46.778442,1016.2306,15.100033,63.441566,0.0
2025-03-20_15:00:00,0.0,30.754416,41.02862,1015.2506,13.090422,64.10103,0.0
2025-03-20_16:00:00,0.0,32.017662,34.929375,1014.2588,11.409131,65.2278,0.0
2025-03-20_17:00:00,0.0,32.946877,31.673756,1013.3314,10.784967,69.62776,0.0
2025-03-20_18:00:00,0.0005679568453160755,33.413834,29.481773,1012.6589,10.7172165,87.82699,0.0
2025-03-20_19:00:00,0.0010831381805473939,33.37046,29.129282,1012.57086,14.17382,77.28046,0.0
2025-03-20_20:00:00,0.0,33.685413,27.601616,1012.45667,9.395031,76.438614,0.0
2025-03-20_21:00:00,0.0,32.772827,28.93278,1012.7838,11.538609,72.58665,0.0
2025-03-20_22:00:00,0.0,29.989998,33.836693,1013.5264,10.821023,96.634514,0.0
2025-03-20_23:00:00,0.0,28.23207,36.45073,1014.05707,12.9398155,117.38134,0.0
2025-03-21_00:00:00,0.0,27.174976,36.23579,1014.4824,13.45497,114.19649,0.0
2025-03-21_01:00:00,0.0,25.980608,37.40508,1014.46356,12.046707,101.50598,0.0
2025-03-21_02:00:00,0.0,24.90835,38.947186,1014.48987,11.125696,100.591064,0.0
2025-03-21_03:00:00,0.0,23.817429,41.30905,1014.6638,11.059948,104.53819,0.0
2025-03-21_04:00:00,0.0,23.779482,41.577374,1014.81213,13.56823,105.361084,0.0
2025-03-21_05:00:00,0.0,23.109606,45.053177,1015.157,15.102654,96.01769,0.0
2025-03-21_06:00:00,0.0,21.895779,51.801723,1015.36835,13.433791,84.03514,0.0
2025-03-21_07:00:00,0.0,20.872864,58.5272,1016.089,11.446248,74.7549,0.0
2025-03-21_08:00:00,0.0,20.365,65.02431,1016.6482,11.414379,75.87093,0.0
2025-03-21_09:00:00,0.0,19.854622,70.84869,1017.2686,11.40005,77.21309,0.0
2025-03-21_10:00:00,0.0,20.706074,69.55058,1017.9673,12.309447,56.995224,0.0
2025-03-21_11:00:00,0.0,23.848936,57.25033,1017.9054,17.29918,69.87663,0.0
2025-03-21_12:00:00,0.0,26.772686,47.318066,1017.54895,20.822403,67.92995,0.0
2025-03-21_13:00:00,0.0,29.130423,40.766483,1016.6436,19.599348,64.22714,0.0
2025-03-21_14:00:00,0.0,31.208382,34.99367,1015.57605,18.539888,61.291008,0.0
2025-03-21_15:00:00,0.0,32.69038,30.857119,1014.41016,15.790817,55.93212,0.0
2025-03-21_16:00:00,0.0,33.53722,28.00609,1013.3334,10.295119,50.835083,0.0
2025-03-21_17:00:00,0.0,34.286427,25.398151,1012.292,7.261491,49.416576,0.0
2025-03-21_18:00:00,0.0,34.832268,23.692198,1011.495,5.993099,55.260292,0.0
2025-03-21_19:00:00,0.0,35.20159,22.06983,1011.2919,5.4120817,88.86099,0.0
2025-03-21_20:00:00,0.0,35.237465,21.231514,1011.2035,5.6704807,139.77069,0.0
2025-03-21_21:00:00,0.0,34.627907,22.237078,1011.3893,6.962089,130.89952,0.0
