Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.084702,53.978638,1012.6353,10.067286,144.77109,0.0
2025-03-20_01:00:00,0.0,21.726944,63.74727,1013.001,10.066862,170.45486,0.0
2025-03-20_02:00:00,0.0,21.38864,65.59099,1012.599,11.042284,154.92355,0.0
2025-03-20_03:00:00,0.0,21.08078,65.986305,1013.40717,10.810404,143.50607,0.0
2025-03-20_04:00:00,0.0,20.643833,67.12611,1013.618,11.570888,126.212425,0.0
2025-03-20_05:00:00,0.0,20.160856,69.08244,1013.5991,10.896069,136.17633,0.0
2025-03-20_06:00:00,0.0,19.469877,72.281715,1013.8523,10.87419,136.36487,0.0
2025-03-20_07:00:00,0.0,18.97087,75.44427,1014.47296,10.992766,116.34888,0.0
2025-03-20_08:00:00,0.0,18.335184,82.99135,1015.2867,10.112413,98.64936,0.0
2025-03-20_09:00:00,0.0,18.13062,85.83292,1015.78345,10.604054,107.28913,0.0
2025-03-20_10:00:00,0.0,18.555275,87.74333,1016.3827,11.844569,106.15938,0.0
2025-03-20_11:00:00,0.0,22.00012,75.16611,1016.2412,15.752942,94.01661,0.0
2025-03-20_12:00:00,0.0,24.69393,63.026382,1016.0172,18.217344,78.29136,0.0
2025-03-20_13:00:00,0.0,26.875307,54.03122,1015.32654,17.743946,73.66228,0.0
2025-03-20_14:00:00,0.0,28.67689,47.725307,1014.4916,15.997302,73.013214,0.0
2025-03-20_15:00:00,0.0,30.311005,40.916817,1013.4918,14.250304,79.59837,0.0
2025-03-20_16:00:00,0.0,31.464758,35.192986,1012.57056,13.709837,89.31711,0.0
2025-03-20_17:00:00,0.0,32.29162,31.71893,1011.7183,13.776925,96.49794,0.0
2025-03-20_18:00:00,0.0,32.87385,29.306784,1011.03345,13.544289,104.30777,0.0
2025-03-20_19:00:00,0.0,33.228447,27.203028,1010.84326,14.419646,113.561844,0.0
2025-03-20_20:00:00,0.0,33.131523,25.755184,1010.8745,14.279241,114.41284,0.0
2025-03-20_21:00:00,0.0,32.451004,25.813072,1011.1809,14.242351,116.5176,0.0
2025-03-20_22:00:00,0.0,27.797865,34.162895,1012.26355,12.599946,118.572815,0.0
2025-03-20_23:00:00,0.0,26.428398,36.768723,1012.8126,12.730983,104.720406,0.0
2025-03-21_00:00:00,0.0,24.888666,38.824135,1013.26495,11.741982,89.14121,0.0
2025-03-21_01:00:00,0.0,24.216486,39.813705,1013.10254,11.353364,80.42021,0.0
2025-03-21_02:00:00,0.0,23.55183,41.570423,1013.1016,11.777076,80.47388,0.0
2025-03-21_03:00:00,0.0,22.73936,44.18244,1013.36646,13.141037,107.16907,0.0
2025-03-21_04:00:00,0.0,21.971334,47.154682,1013.7167,13.629383,105.21761,0.0
2025-03-21_05:00:00,0.0,21.32529,51.413982,1013.9228,14.009089,99.62033,0.0
2025-03-21_06:00:00,0.0,20.495554,57.926598,1014.0255,14.06886,94.576996,0.0
2025-03-21_07:00:00,0.0,20.0278,65.00439,1014.60547,13.64888,91.6268,0.0
2025-03-21_08:00:00,0.0,19.67926,70.91841,1015.1327,14.264453,95.13359,0.0
2025-03-21_09:00:00,0.0,19.3475,75.063255,1015.7252,14.669585,90.5545,0.0
2025-03-21_10:00:00,0.0,20.48904,71.20558,1016.2013,16.983614,80.90306,0.0
2025-03-21_11:00:00,0.0,23.765509,57.11953,1016.0744,22.011986,77.602806,0.0
2025-03-21_12:00:00,0.0,26.33617,48.62306,1015.8168,21.88298,76.13542,0.0
2025-03-21_13:00:00,0.0,28.681181,41.832855,1014.93134,19.713524,73.589516,0.0
2025-03-21_14:00:00,0.0,30.56108,36.508995,1013.9425,17.830631,71.30115,0.0
2025-03-21_15:00:00,0.0,31.971338,32.04663,1012.78955,14.801148,68.82892,0.0
2025-03-21_16:00:00,0.0,32.897675,28.592777,1011.6593,9.476131,75.38909,0.0
2025-03-21_17:00:00,0.0,33.352642,27.172924,1010.6838,8.664487,84.986984,0.0
2025-03-21_18:00:00,0.0,33.737793,26.277721,1009.9929,9.453041,107.501495,0.0
2025-03-21_19:00:00,0.0,34.313972,24.722553,1009.74457,10.78917,123.586716,0.0
2025-03-21_20:00:00,2.6654795419744914e-06,34.21744,24.844028,1009.73474,13.411073,115.565475,0.0
2025-03-21_21:00:00,0.0,33.25843,26.301207,1010.07666,13.37283,118.53894,0.0
2025-03-21_22:00:00,0.0,29.324871,32.743523,1010.84906,13.95483,124.90047,0.0
2025-03-21_23:00:00,0.0,27.980766,32.48959,1011.3655,15.281073,122.30676,0.0
2025-03-22_00:00:00,0.0,26.374508,31.587831,1011.97235,13.16997,114.1814,0.0
2025-03-22_01:00:00,0.0,25.34812,29.720577,1011.7479,12.442549,113.076294,0.0
2025-03-22_02:00:00,0.0,24.454538,31.801003,1011.9994,11.570312,104.71594,0.0
2025-03-22_03:00:00,0.0,23.865065,34.17579,1012.13947,13.028351,115.39102,0.0
2025-03-22_04:00:00,0.0,23.414038,35.01503,1012.2585,14.543425,114.98863,0.0
