Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.249859,66.305756,1012.75244,4.7884116,223.64432,0.0
2025-03-20_01:00:00,0.0,22.503748,76.038376,1012.8065,5.698941,187.85841,0.0
2025-03-20_02:00:00,0.0,21.727655,76.79477,1012.8906,8.096181,193.26733,0.0
2025-03-20_03:00:00,0.0,20.985937,76.71612,1013.15936,8.056337,180.60733,0.0
2025-03-20_04:00:00,0.0,20.664278,73.84578,1013.29126,8.592792,187.81522,0.0
2025-03-20_05:00:00,0.0,20.424477,72.49041,1013.2347,8.576904,159.72458,0.0
2025-03-20_06:00:00,0.0,20.098673,71.07618,1013.1644,7.88577,169.6992,0.0
2025-03-20_07:00:00,0.0,19.909716,68.88899,1013.7565,7.83356,163.76108,0.0
2025-03-20_08:00:00,0.0,19.67486,68.39215,1014.21747,10.240137,143.2568,0.0
2025-03-20_09:00:00,0.0,19.72707,68.80044,1014.53314,8.0140295,128.85504,0.0
2025-03-20_10:00:00,0.0,19.345297,70.80647,1014.9301,8.433737,116.10469,0.0
2025-03-20_11:00:00,0.0,23.373892,60.37799,1014.8029,9.48704,114.28696,0.0
2025-03-20_12:00:00,0.0,26.781734,53.067467,1014.5292,12.114567,102.12134,0.0
2025-03-20_13:00:00,0.0,29.245363,48.30509,1013.9617,12.641803,78.484184,0.0
2025-03-20_14:00:00,0.0,31.020128,43.384438,1013.3162,12.6946745,67.00178,0.0
2025-03-20_15:00:00,0.0,32.206688,38.70966,1012.5775,9.985279,62.406006,0.0
2025-03-20_16:00:00,0.0,33.095673,35.373806,1011.7681,6.9385295,67.5448,0.0
2025-03-20_17:00:00,0.0,33.779964,32.41976,1011.00476,5.187361,93.96629,0.0
2025-03-20_18:00:00,0.0,34.25267,30.801453,1010.3624,4.939386,152.07172,0.0
2025-03-20_19:00:00,0.0,34.547394,29.659449,1010.1554,4.304901,188.28113,0.0
