Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.901737,52.36344,1017.27246,7.8444414,163.62595,0.0
2025-03-20_01:00:00,0.0,20.825716,63.292976,1017.4699,7.806517,166.87604,0.0
2025-03-20_02:00:00,0.0,19.981422,66.448,1017.38196,7.1059475,166.6063,0.0
2025-03-20_03:00:00,0.0,19.370573,68.481735,1017.74963,6.2645416,168.08008,0.0
2025-03-20_04:00:00,0.0,18.757719,70.02978,1018.0864,5.6963034,154.78741,0.0
2025-03-20_05:00:00,0.0,18.090996,71.17291,1018.1771,6.777988,159.31052,0.0
2025-03-20_06:00:00,0.0,17.631548,72.19495,1018.37115,7.16189,165.57462,0.0
2025-03-20_07:00:00,0.0,17.150368,74.4707,1019.0146,7.7544584,133.98409,0.0
2025-03-20_08:00:00,0.0,16.511248,82.76567,1019.69214,6.6203365,108.24798,0.0
2025-03-20_09:00:00,0.0,16.231709,87.04932,1020.34357,8.446411,95.75574,0.0
2025-03-20_10:00:00,0.0,16.525494,86.391594,1020.9875,8.909107,71.68335,0.0
2025-03-20_11:00:00,0.0,22.464941,66.14183,1020.56635,14.538355,50.943443,0.0
2025-03-20_12:00:00,0.0,24.953648,58.778313,1020.3838,19.473507,48.13086,0.0
2025-03-20_13:00:00,0.0,26.990458,51.79726,1019.7361,18.380333,43.56608,0.0
2025-03-20_14:00:00,0.0,28.788202,46.400627,1018.9452,17.150612,39.505577,0.0
2025-03-20_15:00:00,0.0,30.304972,41.88882,1018.09204,14.914428,39.197514,0.0
2025-03-20_16:00:00,0.0,31.476608,36.951218,1017.20715,12.133129,41.130512,0.0
2025-03-20_17:00:00,0.0,32.31733,32.914032,1016.4523,10.6548605,45.08154,0.0
2025-03-20_18:00:00,0.0,32.915474,29.951685,1015.7732,9.361934,52.23326,0.0
2025-03-20_19:00:00,0.0,33.281624,27.911728,1015.55164,9.171925,58.530922,0.0
2025-03-20_20:00:00,0.0,33.298286,26.20439,1015.50104,9.922269,63.36412,0.0
2025-03-20_21:00:00,0.0,32.680145,25.041883,1015.67017,8.55243,71.9402,0.0
2025-03-20_22:00:00,0.0,27.788345,30.938705,1016.473,9.636079,66.850494,0.0
2025-03-20_23:00:00,0.0,26.815443,31.765472,1016.8418,9.023442,75.95984,0.0
2025-03-21_00:00:00,0.0,25.450432,41.555153,1017.375,11.269236,116.30156,0.0
2025-03-21_01:00:00,0.0,24.237316,49.339184,1017.371,9.949564,117.48819,0.0
2025-03-21_02:00:00,0.0,23.881231,50.593872,1017.39453,9.946908,98.101494,0.0
2025-03-21_03:00:00,0.0,24.89253,45.72184,1017.30634,15.56174,76.69665,0.0
2025-03-21_04:00:00,0.0,25.509142,42.214012,1017.2292,18.425758,54.163246,0.0
2025-03-21_05:00:00,0.0,23.661646,46.543015,1017.6011,15.06373,49.172306,0.0
2025-03-21_06:00:00,0.0,23.77291,48.872246,1017.4354,18.00586,57.387123,0.0
2025-03-21_07:00:00,0.0,23.021313,51.844887,1017.9676,16.802992,53.97679,0.0
2025-03-21_08:00:00,0.0,22.108051,55.520855,1018.6683,16.322723,52.802208,0.0
2025-03-21_09:00:00,0.0,20.950005,61.05757,1019.44836,15.352639,68.4939,0.0
2025-03-21_10:00:00,0.0,21.061783,64.986984,1020.0087,15.381927,70.560936,0.0
2025-03-21_11:00:00,0.0,23.811459,57.52303,1020.08984,22.10501,52.895393,0.0
2025-03-21_12:00:00,0.0,26.020794,50.799076,1020.11237,21.686852,50.81639,0.0
2025-03-21_13:00:00,0.0,28.064856,44.04435,1019.52496,21.870773,43.748093,0.0
2025-03-21_14:00:00,0.0,29.970743,37.893276,1018.6202,18.10815,42.573105,0.0
2025-03-21_15:00:00,0.0,31.750015,31.019901,1017.5548,16.106441,45.537186,0.0
2025-03-21_16:00:00,0.0,32.77407,25.507225,1016.5415,11.854742,45.982117,0.0
2025-03-21_17:00:00,0.0,33.42336,22.999992,1015.6504,8.204781,47.93788,0.0
2025-03-21_18:00:00,0.0,33.913387,21.43248,1014.8648,6.2465467,80.32124,0.0
2025-03-21_19:00:00,0.0,34.21743,20.375383,1014.6499,6.08047,93.28204,0.0
2025-03-21_20:00:00,0.0,34.143623,20.093124,1014.5477,6.5548825,81.28902,0.0
2025-03-21_21:00:00,0.0,32.814507,21.565004,1014.75354,6.512855,90.91086,0.0
2025-03-21_22:00:00,0.0,28.556921,22.215338,1015.5886,12.207132,89.93579,0.0
2025-03-21_23:00:00,0.0,27.187471,22.382977,1015.8749,10.193438,100.05855,0.0
2025-03-22_00:00:00,0.0,25.298183,31.357647,1016.51044,12.836252,129.85667,0.0
