Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.49034,71.62303,1010.69495,5.803005,95.00331,0.0
2025-03-20_01:00:00,0.00014282426764111733,23.496847,71.15224,1010.85754,7.6679583,64.005226,0.0
2025-03-20_02:00:00,2.7554047846933827e-05,22.889431,73.67922,1011.1598,7.5184712,61.537018,0.0
2025-03-20_03:00:00,0.001135540840550675,22.97948,74.66514,1011.3495,8.343609,73.27318,0.0
2025-03-20_04:00:00,0.0,21.588755,82.168594,1011.34393,7.2375507,145.6613,0.0
2025-03-20_05:00:00,0.0,20.861475,87.607956,1011.7506,6.557818,108.20867,0.0
2025-03-20_06:00:00,0.0,20.460962,89.26812,1011.9159,7.277929,42.76336,0.0
2025-03-20_07:00:00,0.0,20.183674,89.08847,1012.4625,7.71715,70.99779,0.0
2025-03-20_08:00:00,0.0,19.979574,90.05203,1012.906,9.792139,86.42645,0.0
2025-03-20_09:00:00,0.0,19.543552,92.931854,1013.34576,10.397335,92.83238,0.0
2025-03-20_10:00:00,0.0,20.204094,89.154564,1013.72174,10.378471,97.98688,0.0
2025-03-20_11:00:00,0.0,23.19103,74.90058,1013.38806,10.369628,96.51653,0.0
2025-03-20_12:00:00,0.0,25.772705,63.90705,1013.0719,11.301219,97.0749,0.0
2025-03-20_13:00:00,0.0,27.921572,55.25962,1012.2461,11.554428,97.8569,0.0
2025-03-20_14:00:00,0.0,29.580774,48.529274,1011.36365,11.836797,105.55772,0.0
2025-03-20_15:00:00,0.0,30.806438,43.825073,1010.4862,11.330588,115.71951,0.0
2025-03-20_16:00:00,0.0,31.789972,40.217945,1009.5758,10.543255,125.32048,0.0
2025-03-20_17:00:00,6.317277438938618e-07,32.187,37.858135,1008.7573,9.923765,135.95761,0.0
2025-03-20_18:00:00,0.480342284760809,31.80533,39.792805,1008.4364,13.098659,113.69605,0.0
2025-03-20_19:00:00,0.13699639558035415,32.49704,37.27423,1007.95123,12.195083,104.48413,0.0
2025-03-20_20:00:00,0.06214317792910151,32.81996,34.547234,1008.1793,8.643063,94.60794,0.0
2025-03-20_21:00:00,0.32102628523716703,31.10323,40.54323,1009.0314,8.127141,102.16364,0.0
2025-03-20_22:00:00,0.14098632225068286,26.756754,58.309006,1010.38983,10.595781,274.9082,0.0
2025-03-20_23:00:00,0.005728637333959341,25.846703,61.29517,1010.6512,5.4712043,283.18353,0.0
2025-03-21_00:00:00,0.0,26.053202,58.012917,1011.05273,9.142919,53.035313,0.0
2025-03-21_01:00:00,0.0,25.28581,65.89668,1011.11694,11.533072,29.015697,0.0
