Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.633884,51.12001,1014.4362,6.872,110.546036,0.0
2025-03-20_01:00:00,0.0,22.77175,57.64955,1014.4923,5.3323402,88.90185,0.0
2025-03-20_02:00:00,0.0,21.808317,61.323143,1014.85645,5.179141,193.80252,0.0
2025-03-20_03:00:00,0.0,21.139725,63.619087,1015.287,6.546144,219.50613,0.0
2025-03-20_04:00:00,0.0,21.039253,64.14323,1015.3173,6.0014367,187.81009,0.0
2025-03-20_05:00:00,0.0,20.70524,66.42528,1015.63025,9.501396,150.82957,0.0
2025-03-20_06:00:00,0.0,20.274462,68.94541,1015.6851,10.701053,177.15497,0.0
2025-03-20_07:00:00,0.0,20.209244,69.25889,1016.0515,11.008293,170.24335,0.0
2025-03-20_08:00:00,0.0,20.261002,68.84401,1016.757,12.611569,146.8805,0.0
2025-03-20_09:00:00,0.0,19.766722,71.22657,1017.26483,12.186047,133.5848,0.0
2025-03-20_10:00:00,0.0,19.32501,73.850586,1017.87506,11.196457,124.3226,0.0
2025-03-20_11:00:00,0.0,22.953949,63.294716,1017.77563,13.094719,99.84475,0.0
2025-03-20_12:00:00,0.0,25.190798,58.949272,1017.6658,16.385221,83.49143,0.0
2025-03-20_13:00:00,0.0,26.984156,53.64287,1017.0372,16.833961,76.903076,0.0
2025-03-20_14:00:00,0.0,28.825176,47.951042,1016.2233,15.558433,76.527405,0.0
2025-03-20_15:00:00,0.0,30.60606,40.927254,1015.18616,14.553559,79.474976,0.0
2025-03-20_16:00:00,0.0,31.849764,33.594288,1014.20386,12.62975,82.07135,0.0
2025-03-20_17:00:00,0.0,32.71671,30.453848,1013.3144,11.577784,88.25334,0.0
2025-03-20_18:00:00,0.0,33.41267,27.728283,1012.58075,11.58093,91.28876,0.0
2025-03-20_19:00:00,0.0,33.860497,24.481182,1012.3614,10.314778,92.56228,0.0
2025-03-20_20:00:00,0.0,33.96459,22.848309,1012.3209,10.183687,90.909195,0.0
2025-03-20_21:00:00,0.0,33.44342,24.454185,1012.5245,9.758838,93.57305,0.0
2025-03-20_22:00:00,0.0,30.548628,32.07447,1013.2821,11.54238,109.80743,0.0
2025-03-20_23:00:00,0.0,29.336355,35.679832,1013.7757,12.286235,104.52557,0.0
2025-03-21_00:00:00,0.0,28.089174,37.484917,1014.2389,13.167913,104.041046,0.0
2025-03-21_01:00:00,0.0,26.902166,36.874954,1014.1987,13.139308,118.53677,0.0
2025-03-21_02:00:00,0.0,25.759258,36.919117,1014.32776,12.212258,111.17264,0.0
2025-03-21_03:00:00,0.0,25.00207,37.63433,1014.4694,12.56024,106.93719,0.0
2025-03-21_04:00:00,0.0,24.172485,40.25453,1014.578,11.470406,108.16414,0.0
2025-03-21_05:00:00,0.0,24.15525,40.62676,1014.9138,18.1708,115.55328,0.0
2025-03-21_06:00:00,0.0,22.957743,43.604652,1015.202,15.737613,109.01459,0.0
2025-03-21_07:00:00,0.0,21.982775,49.502472,1015.9337,14.2788105,102.29977,0.0
2025-03-21_08:00:00,0.0,20.974262,56.446655,1016.6105,12.078046,96.445435,0.0
2025-03-21_09:00:00,0.0,20.003408,62.825996,1017.40314,10.027913,91.98552,0.0
2025-03-21_10:00:00,0.0,20.79387,62.910244,1017.944,13.344782,80.43527,0.0
2025-03-21_11:00:00,0.0,23.66696,55.380234,1017.77313,20.483551,79.07066,0.0
2025-03-21_12:00:00,0.0,25.992535,48.63888,1017.57043,22.023968,75.20401,0.0
2025-03-21_13:00:00,0.0,28.439735,42.10499,1016.6614,19.870007,71.397064,0.0
2025-03-21_14:00:00,0.0,30.562586,37.18927,1015.63245,18.44365,70.0009,0.0
2025-03-21_15:00:00,0.0,32.29413,32.764297,1014.38556,16.32205,67.56083,0.0
2025-03-21_16:00:00,0.0,33.367836,28.79189,1013.21094,11.209836,63.241287,0.0
2025-03-21_17:00:00,0.0,34.157036,26.718193,1012.1426,9.484454,69.34241,0.0
2025-03-21_18:00:00,0.0,34.80501,24.903456,1011.2582,8.0983515,75.428696,0.0
2025-03-21_19:00:00,0.0,35.257538,23.763405,1011.0373,8.211049,83.98387,0.0
2025-03-21_20:00:00,0.0,35.2724,23.574795,1010.8858,9.588535,98.64778,0.0
2025-03-21_21:00:00,0.0,34.522232,24.39699,1011.1435,10.480853,100.82257,0.0
2025-03-21_22:00:00,9.5951571893238e-05,31.174152,28.818497,1011.83765,10.759878,118.90347,0.0
2025-03-21_23:00:00,0.0,30.274565,28.865152,1012.3961,11.797153,120.89049,0.0
2025-03-22_00:00:00,0.0,29.560116,32.289364,1012.897,15.990624,115.382706,0.0
2025-03-22_01:00:00,0.0,28.08981,33.074715,1012.8827,14.469246,115.41051,0.0
2025-03-22_02:00:00,0.0,27.397211,31.757465,1013.0639,13.8999,111.53114,0.0
2025-03-22_03:00:00,8.920246727939229e-07,27.10475,28.931206,1013.08887,13.759866,109.51692,0.0
2025-03-22_04:00:00,0.0012207020108405686,25.732784,30.185453,1013.47675,12.809459,111.1992,0.0
2025-03-22_05:00:00,3.47712921211496e-06,24.438095,32.526787,1013.71265,9.626056,109.98703,0.0
2025-03-22_06:00:00,0.0,23.811302,34.372894,1013.94354,12.144498,109.64494,0.0
2025-03-22_07:00:00,0.0,22.53165,38.19522,1014.54486,9.860225,98.3427,0.0
2025-03-22_08:00:00,0.0,22.810099,40.082516,1014.5233,12.716923,98.88566,0.0
2025-03-22_09:00:00,0.0,22.308914,43.882034,1014.7681,12.335202,98.665016,0.0
2025-03-22_10:00:00,0.0,23.66259,40.988358,1014.7657,14.21603,95.99965,0.0
2025-03-22_11:00:00,0.0,25.72363,37.330868,1014.7953,13.803764,56.759544,0.0
2025-03-22_12:00:00,0.0,27.70975,36.019135,1014.8734,11.579196,29.606007,0.0
2025-03-22_13:00:00,0.0,30.068945,37.45926,1013.79565,13.70671,34.458466,0.0
2025-03-22_14:00:00,0.0,32.1672,35.789505,1012.5093,15.863233,31.061367,0.0
2025-03-22_15:00:00,0.0,33.773384,33.903698,1011.0713,17.131466,27.322754,0.0
2025-03-22_16:00:00,0.0,34.907166,30.828575,1009.68066,15.709664,26.673573,0.0
2025-03-22_17:00:00,0.0,35.727863,27.689167,1008.50806,13.647783,29.11396,0.0
2025-03-22_18:00:00,1.8750197341432795e-05,35.9756,25.977327,1007.6783,9.951723,33.997246,0.0
2025-03-22_19:00:00,0.035364988328183244,35.63244,26.57351,1007.30176,11.714999,118.28206,0.0
2025-03-22_20:00:00,0.2339416855102172,33.00891,34.717583,1008.66125,19.240034,301.9096,0.0
2025-03-22_21:00:00,1.7275333842262626,25.320637,74.39135,1012.0187,40.271828,227.9981,0.0
2025-03-22_22:00:00,1.8153469413518906,24.095093,78.07518,1013.5555,18.290731,253.62814,0.0
2025-03-22_23:00:00,0.9520568251609802,24.131468,77.27847,1013.90027,11.84788,197.90178,0.0
2025-03-23_00:00:00,1.54827181994915,23.924498,81.46445,1014.17175,19.961946,164.72702,0.0
