Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.661001,54.171803,1013.6824,6.3060193,188.41415,0.0
2025-03-20_01:00:00,0.0,21.38493,61.501923,1013.84924,9.474924,186.4216,0.0
2025-03-20_02:00:00,0.0,20.873346,61.429695,1013.8573,9.810767,166.45227,0.0
2025-03-20_03:00:00,0.0,20.179111,63.496197,1014.08246,9.931649,169.9809,0.0
2025-03-20_04:00:00,0.0,19.93183,64.69227,1014.1767,10.820309,181.81694,0.0
2025-03-20_05:00:00,0.0,18.823484,69.61192,1014.4803,8.654456,187.17679,0.0
2025-03-20_06:00:00,0.0,18.09467,73.01822,1014.9324,6.2605977,157.64647,0.0
2025-03-20_07:00:00,0.0,17.76959,79.98126,1015.5157,5.2314544,135.83203,0.0
2025-03-20_08:00:00,0.0,17.766829,81.284515,1016.18353,6.952359,85.5511,0.0
2025-03-20_09:00:00,0.0,17.496317,85.276405,1016.93396,9.999295,52.1786,0.0
2025-03-20_10:00:00,0.0,18.074604,83.87303,1017.45483,12.675166,56.872097,0.0
2025-03-20_11:00:00,0.0,22.021244,69.911156,1017.3612,19.62993,56.4521,0.0
2025-03-20_12:00:00,0.0,23.97194,61.820114,1017.27954,20.788544,53.51401,0.0
2025-03-20_13:00:00,0.0,26.056852,54.084896,1016.6488,19.364153,50.37482,0.0
2025-03-20_14:00:00,0.0,27.94807,48.402103,1015.8379,16.901566,46.070744,0.0
2025-03-20_15:00:00,0.0,29.590345,43.524757,1014.975,14.321643,45.48935,0.0
2025-03-20_16:00:00,0.0,30.876743,38.66085,1014.105,12.044018,52.83369,0.0
2025-03-20_17:00:00,0.0,31.76988,34.538353,1013.2981,9.949822,66.67545,0.0
2025-03-20_18:00:00,0.0,32.415134,30.898788,1012.6062,8.983814,86.79529,0.0
2025-03-20_19:00:00,0.0,32.84285,27.034702,1012.37994,7.6699076,101.64517,0.0
2025-03-20_20:00:00,0.0,32.91887,24.799488,1012.251,4.898951,104.41603,0.0
2025-03-20_21:00:00,0.0,32.42714,26.93258,1012.3742,3.3141313,95.53906,0.0
2025-03-20_22:00:00,0.0,28.538939,34.55008,1013.0261,4.665534,218.32004,0.0
2025-03-20_23:00:00,0.0,26.93649,39.93221,1013.55005,8.114046,140.35907,0.0
2025-03-21_00:00:00,0.0,25.574116,45.953487,1013.98145,8.463776,132.12082,0.0
2025-03-21_01:00:00,0.0,25.71542,46.50431,1013.9596,9.582198,115.97508,0.0
2025-03-21_02:00:00,0.0,25.776043,45.369675,1014.1578,14.77268,87.313255,0.0
2025-03-21_03:00:00,0.0,24.88575,42.609726,1014.2267,14.016923,72.80774,0.0
2025-03-21_04:00:00,0.0,22.555094,49.305496,1014.65967,11.2336,65.714005,0.0
2025-03-21_05:00:00,0.0,21.634275,55.44545,1014.7239,11.29816,68.732414,0.0
2025-03-21_06:00:00,0.0,21.147493,60.543655,1014.6368,11.871384,66.55861,0.0
2025-03-21_07:00:00,0.0,20.126308,64.35978,1015.30505,11.246138,56.73591,0.0
2025-03-21_08:00:00,0.0,19.139769,69.53462,1016.06665,10.996556,60.34807,0.0
2025-03-21_09:00:00,0.0,18.59386,76.2872,1016.7491,11.795043,57.791016,0.0
2025-03-21_10:00:00,0.0,19.62184,75.71491,1017.1674,14.076481,55.700027,0.0
2025-03-21_11:00:00,0.0,22.311882,64.96354,1017.3263,20.38093,54.402767,0.0
2025-03-21_12:00:00,0.0,24.47521,56.396435,1017.3188,20.203949,51.459152,0.0
2025-03-21_13:00:00,0.0,26.716225,48.465878,1016.6116,18.546448,44.725952,0.0
2025-03-21_14:00:00,0.0,28.969542,41.217102,1015.5876,16.694862,44.84467,0.0
2025-03-21_15:00:00,0.0,30.977053,33.9996,1014.44275,14.4690695,52.51368,0.0
2025-03-21_16:00:00,0.0,32.22633,27.395863,1013.3881,10.358928,67.57208,0.0
2025-03-21_17:00:00,0.0,32.924034,24.49179,1012.468,8.417607,88.72264,0.0
2025-03-21_18:00:00,0.0,33.36831,22.91637,1011.745,8.542883,108.24461,0.0
2025-03-21_19:00:00,0.0,33.648804,20.83553,1011.5763,7.5729446,127.98442,0.0
2025-03-21_20:00:00,0.0,33.595295,18.874344,1011.54663,6.679036,153.39943,0.0
2025-03-21_21:00:00,0.0,31.745283,19.30238,1011.73975,4.6369495,172.35867,0.0
2025-03-21_22:00:00,0.0,28.207558,22.417309,1012.4198,4.387734,175.78989,0.0
2025-03-21_23:00:00,0.0,27.358545,22.942123,1012.5569,4.1544247,163.88522,0.0
2025-03-22_00:00:00,0.0,25.57537,26.069897,1013.18317,9.364893,144.17813,0.0
2025-03-22_01:00:00,0.0,24.376984,35.513268,1013.29785,13.644659,116.95912,0.0
2025-03-22_02:00:00,0.0,23.990948,32.88864,1013.42065,13.354608,100.03966,0.0
2025-03-22_03:00:00,0.0,22.929512,35.76878,1013.39056,13.727137,84.47205,0.0
2025-03-22_04:00:00,0.0,22.597416,39.86196,1013.5814,14.471912,78.27528,0.0
2025-03-22_05:00:00,0.0,21.877062,42.94567,1013.3532,13.339935,77.470116,0.0
2025-03-22_06:00:00,0.0,20.64175,47.529037,1013.4938,11.565398,60.32073,0.0
2025-03-22_07:00:00,0.0,20.060349,48.490795,1013.7562,11.510303,55.39329,0.0
