Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.724787,50.998688,1013.28314,8.197331,186.21152,0.0
2025-03-20_01:00:00,0.0,22.956831,58.735847,1013.79224,10.786865,165.12634,0.0
2025-03-20_02:00:00,0.0,23.03951,59.428383,1013.35114,12.259071,155.4046,0.0
2025-03-20_03:00:00,0.0,22.556517,62.855972,1013.94556,11.375228,146.17635,0.0
2025-03-20_04:00:00,0.0,21.529802,67.43422,1014.2185,10.4727545,153.7155,0.0
2025-03-20_05:00:00,0.0,21.000425,70.50672,1014.1693,10.983508,153.17749,0.0
2025-03-20_06:00:00,0.0,20.551077,71.36664,1014.6191,11.273286,129.38054,0.0
2025-03-20_07:00:00,0.0,19.939764,75.20274,1015.3063,10.471475,112.68331,0.0
2025-03-20_08:00:00,0.0,19.321123,82.80393,1016.0499,9.971712,110.873474,0.0
2025-03-20_09:00:00,0.0,19.062834,87.356995,1016.5994,11.0768175,106.65317,0.0
2025-03-20_10:00:00,0.0,19.206835,90.636826,1017.1564,11.364827,105.523346,0.0
2025-03-20_11:00:00,0.0,22.337433,75.620316,1017.1763,17.874155,87.03197,0.0
2025-03-20_12:00:00,0.0,24.324177,65.60574,1017.0978,18.107304,82.344345,0.0
2025-03-20_13:00:00,0.0,26.634516,56.05791,1016.3726,17.300356,79.87334,0.0
2025-03-20_14:00:00,0.0,28.612478,48.870697,1015.509,15.770681,81.81157,0.0
2025-03-20_15:00:00,0.0,30.227665,42.488434,1014.54266,14.109763,86.62379,0.0
2025-03-20_16:00:00,0.0,31.460009,36.46973,1013.6125,13.102305,99.197136,0.0
2025-03-20_17:00:00,0.0,32.279846,33.173332,1012.787,13.501814,110.99592,0.0
2025-03-20_18:00:00,0.0,32.84646,30.809908,1012.13525,14.856664,116.06689,0.0
2025-03-20_19:00:00,0.0,33.123367,28.438719,1011.9968,15.447141,119.33936,0.0
2025-03-20_20:00:00,0.0,33.04139,26.632645,1012.0188,14.638592,118.93909,0.0
2025-03-20_21:00:00,0.0,32.355896,26.459011,1012.35583,13.320049,118.4343,0.0
2025-03-20_22:00:00,0.0,27.760414,33.370064,1013.2875,12.140743,113.27995,0.0
2025-03-20_23:00:00,0.0,26.249104,37.010414,1013.7481,11.702238,100.99905,0.0
2025-03-21_00:00:00,0.0,25.364214,39.276077,1014.04376,11.21225,93.48192,0.0
2025-03-21_01:00:00,0.0,24.412045,40.37561,1013.98083,10.614398,80.95157,0.0
2025-03-21_02:00:00,0.0,23.961002,40.23943,1013.93005,10.290948,95.99365,0.0
2025-03-21_03:00:00,0.0,24.49441,39.902943,1014.1317,17.912321,112.34776,0.0
2025-03-21_04:00:00,0.0,23.194351,46.55861,1014.412,15.842736,111.26011,0.0
2025-03-21_05:00:00,0.0,22.219994,55.047905,1014.6223,15.92273,100.65913,0.0
2025-03-21_06:00:00,0.0,21.809082,62.50283,1014.65015,16.98627,97.48986,0.0
2025-03-21_07:00:00,0.0,21.468527,67.64522,1015.2618,16.802645,96.35584,0.0
2025-03-21_08:00:00,0.0,20.85987,72.333496,1015.8876,16.093714,94.16951,0.0
2025-03-21_09:00:00,0.0,20.555906,73.41806,1016.52606,16.63319,91.27521,0.0
2025-03-21_10:00:00,0.0,21.325016,69.14544,1017.1483,17.940653,81.56674,0.0
2025-03-21_11:00:00,0.0,23.446321,60.46701,1017.2189,20.87968,76.381,0.0
2025-03-21_12:00:00,0.0,25.746279,52.918705,1016.99817,20.505869,78.103455,0.0
2025-03-21_13:00:00,0.0,28.006636,46.385197,1016.1113,18.987709,78.43938,0.0
2025-03-21_14:00:00,0.0,30.108192,40.525787,1015.0968,17.53154,75.35536,0.0
2025-03-21_15:00:00,0.0,31.750288,36.003826,1013.87537,14.766649,75.293434,0.0
2025-03-21_16:00:00,0.0,32.90505,30.438442,1012.7304,8.768946,84.08423,0.0
2025-03-21_17:00:00,0.0,33.62708,27.437517,1011.7112,7.094348,112.67702,0.0
2025-03-21_18:00:00,0.0,34.13752,26.165773,1010.90826,8.51234,111.78771,0.0
2025-03-21_19:00:00,0.0,34.36286,25.969654,1010.8151,9.579286,112.032936,0.0
2025-03-21_20:00:00,0.0,34.197014,26.208422,1010.7665,11.231932,116.721725,0.0
2025-03-21_21:00:00,0.0,33.19993,28.114017,1011.08923,9.957776,126.03635,0.0
2025-03-21_22:00:00,0.0,29.696304,29.6756,1011.8851,13.712724,139.7492,0.0
2025-03-21_23:00:00,0.0,28.794847,25.334408,1012.14026,14.965471,150.77365,0.0
2025-03-22_00:00:00,0.0,27.51174,27.300709,1012.62463,13.196804,138.06644,0.0
2025-03-22_01:00:00,0.0,26.729927,28.97176,1012.6289,13.114239,122.30281,0.0
2025-03-22_02:00:00,0.0,26.57864,29.007992,1012.5586,16.183517,127.391495,0.0
2025-03-22_03:00:00,0.0,25.694012,32.17402,1012.68085,16.996313,119.370865,0.0
2025-03-22_04:00:00,0.0,25.374235,34.38666,1012.8513,20.114408,104.13176,0.0
2025-03-22_05:00:00,0.0,24.9712,36.83208,1012.94714,18.390093,96.18065,0.0
2025-03-22_06:00:00,0.0,23.792166,41.100002,1013.379,16.130493,83.25473,0.0
2025-03-22_07:00:00,0.0,22.66546,44.694344,1014.17426,13.869202,70.78221,0.0
2025-03-22_08:00:00,0.0,21.63713,46.985268,1014.3777,11.068795,77.66156,0.0
2025-03-22_09:00:00,0.0,21.446356,47.53759,1014.598,10.899496,80.31412,0.0
2025-03-22_10:00:00,0.0,23.758932,43.344757,1014.5554,15.582103,82.18178,0.0
2025-03-22_11:00:00,0.0,25.398232,43.851948,1014.45447,18.628742,73.83981,0.0
2025-03-22_12:00:00,0.0,27.809525,41.92385,1014.04614,18.850384,65.17445,0.0
2025-03-22_13:00:00,0.0,30.364166,37.832977,1013.00354,18.047213,53.800915,0.0
2025-03-22_14:00:00,0.0,32.520782,36.002113,1011.8001,18.902187,40.58996,0.0
2025-03-22_15:00:00,0.0,34.147392,33.96739,1010.39087,20.319977,26.417591,0.0
2025-03-22_16:00:00,0.0,34.912613,31.674988,1009.21826,17.55577,21.190193,0.0
2025-03-22_17:00:00,0.0008613525883447437,35.40414,30.59787,1007.8747,14.911726,22.389376,0.0
2025-03-22_18:00:00,0.014387277840825163,35.44477,30.89685,1007.1339,12.797764,43.049294,0.0
2025-03-22_19:00:00,0.07436269387142147,34.96981,31.931305,1006.9636,11.665361,70.84013,0.0
2025-03-22_20:00:00,0.0022643831907771528,34.426178,34.11502,1007.46985,13.454223,87.6945,0.0
2025-03-22_21:00:00,0.0010681217245291919,31.505383,43.367874,1008.2842,17.02018,122.894035,0.0
2025-03-22_22:00:00,0.010492455316125415,29.771736,48.64051,1008.98724,8.894865,138.44704,0.0
