Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.033592,54.11653,1017.99365,6.8272295,181.76361,0.0
2025-03-20_01:00:00,0.0,20.35213,63.231556,1018.0707,10.129336,207.85085,0.0
2025-03-20_02:00:00,0.0,19.813633,64.30402,1018.06824,10.978865,213.97552,0.0
2025-03-20_03:00:00,0.0,18.932468,66.66891,1018.4306,9.562977,195.62402,0.0
2025-03-20_04:00:00,0.0,18.528803,68.93758,1018.7949,8.023456,170.36429,0.0
2025-03-20_05:00:00,0.0,18.263462,72.096825,1018.7118,9.501537,166.81052,0.0
2025-03-20_06:00:00,0.0,17.595114,76.96912,1018.9686,9.897813,169.53256,0.0
2025-03-20_07:00:00,0.0,16.989506,83.24503,1019.75244,10.139559,143.24423,0.0
2025-03-20_08:00:00,0.0,16.765419,83.70132,1020.3191,8.205152,121.46867,0.0
2025-03-20_09:00:00,0.0,16.620245,87.55965,1021.01556,10.304944,99.8273,0.0
2025-03-20_10:00:00,0.0,16.917486,87.11682,1021.6696,10.363671,71.6412,0.0
2025-03-20_11:00:00,0.0,21.946808,68.59523,1021.35364,13.788398,44.427593,0.0
2025-03-20_12:00:00,0.0,24.937603,58.80023,1021.10254,19.383955,43.536713,0.0
2025-03-20_13:00:00,0.0,27.182648,49.748146,1020.36523,20.000616,40.267998,0.0
2025-03-20_14:00:00,0.0,28.913141,44.035336,1019.5951,19.118464,37.912346,0.0
2025-03-20_15:00:00,0.0,30.403425,39.354103,1018.739,16.803408,36.75396,0.0
2025-03-20_16:00:00,0.0,31.550022,34.86619,1017.86145,13.180019,38.53853,0.0
2025-03-20_17:00:00,0.0,32.45687,30.363592,1017.0856,10.804617,44.432987,0.0
2025-03-20_18:00:00,0.0,33.060944,27.2058,1016.4053,8.69398,53.923397,0.0
2025-03-20_19:00:00,0.0,33.47029,24.7878,1016.14594,8.091192,65.44507,0.0
2025-03-20_20:00:00,0.0,33.454926,23.605518,1016.1086,8.960288,83.88402,0.0
2025-03-20_21:00:00,0.0,32.47532,26.74429,1016.34875,11.433281,104.69963,0.0
2025-03-20_22:00:00,0.0,27.483784,39.43995,1017.3259,11.604127,138.70966,0.0
2025-03-20_23:00:00,0.0,25.862164,44.263405,1017.8251,11.231758,135.02338,0.0
2025-03-21_00:00:00,0.0,25.313616,46.030373,1018.08,11.041037,125.32509,0.0
2025-03-21_01:00:00,0.0,25.147543,46.482605,1017.9601,11.639762,109.702965,0.0
2025-03-21_02:00:00,0.0,24.288366,48.961773,1018.0404,11.993189,93.55136,0.0
2025-03-21_03:00:00,0.0,23.886202,46.372494,1018.1792,12.970466,56.196114,0.0
2025-03-21_04:00:00,0.0,23.597147,47.421,1018.18774,13.423011,38.352585,0.0
2025-03-21_05:00:00,0.0,22.80193,48.684975,1018.45776,13.691013,41.893856,0.0
2025-03-21_06:00:00,0.0,21.835466,54.84762,1018.5298,12.375524,56.889477,0.0
2025-03-21_07:00:00,0.0,21.185001,58.78521,1019.1369,12.300095,75.73366,0.0
2025-03-21_08:00:00,0.0,20.994516,62.103523,1019.72186,13.505211,78.87363,0.0
2025-03-21_09:00:00,0.0,20.150629,67.80055,1020.4287,13.059664,77.442085,0.0
2025-03-21_10:00:00,0.0,20.863234,67.26446,1020.8822,13.049476,72.79083,0.0
2025-03-21_11:00:00,0.0,23.626577,58.313236,1020.97253,16.180317,55.945343,0.0
2025-03-21_12:00:00,0.0,26.2991,48.910294,1020.8818,18.398254,49.111206,0.0
2025-03-21_13:00:00,0.0,28.450203,41.08204,1020.1309,18.736088,45.033653,0.0
2025-03-21_14:00:00,0.0,30.081572,35.496754,1019.3281,19.106573,42.96959,0.0
2025-03-21_15:00:00,0.0,31.629375,30.084057,1018.2789,16.69534,43.282364,0.0
2025-03-21_16:00:00,0.0,32.656834,25.103409,1017.2713,12.578925,46.04853,0.0
2025-03-21_17:00:00,0.0,33.398834,21.87841,1016.3752,9.222937,50.740032,0.0
2025-03-21_18:00:00,0.0,33.944374,19.699223,1015.52234,6.327785,63.743156,0.0
2025-03-21_19:00:00,0.0,34.325912,18.07583,1015.2705,5.474947,69.04362,0.0
2025-03-21_20:00:00,0.0,34.30654,16.93142,1015.1841,6.662473,73.46736,0.0
2025-03-21_21:00:00,0.0,32.402378,17.873499,1015.54517,5.4442797,85.8758,0.0
2025-03-21_22:00:00,0.0,27.107544,26.181458,1016.58167,10.405299,122.218994,0.0
2025-03-21_23:00:00,0.0,25.782022,31.986265,1017.0571,13.085756,131.03496,0.0
2025-03-22_00:00:00,0.0,24.958162,33.02797,1017.3816,13.113269,114.06641,0.0
2025-03-22_01:00:00,0.0,26.52192,26.103973,1017.0397,16.97171,108.74881,0.0
2025-03-22_02:00:00,0.0,24.284636,31.416706,1017.1821,14.011278,97.118996,0.0
2025-03-22_03:00:00,0.0,22.677757,37.893925,1017.33734,12.779169,77.9624,0.0
2025-03-22_04:00:00,0.0,22.170189,38.288216,1017.4921,14.153152,69.25954,0.0
2025-03-22_05:00:00,0.0,21.788422,40.09021,1017.4047,14.231173,68.98648,0.0
2025-03-22_06:00:00,0.0,20.982914,43.117535,1017.45,12.496387,76.30539,0.0
2025-03-22_07:00:00,0.0,20.828499,44.8183,1017.71277,12.286217,80.227005,0.0
2025-03-22_08:00:00,0.0,20.383516,47.319313,1018.17505,12.879747,86.40304,0.0
2025-03-22_09:00:00,0.0,19.427961,54.3732,1018.7748,12.767701,80.15076,0.0
2025-03-22_10:00:00,0.0,21.201464,49.20317,1019.12946,14.604795,65.04722,0.0
2025-03-22_11:00:00,0.0,24.145102,40.669178,1018.8243,17.077274,60.479294,0.0
2025-03-22_12:00:00,0.0,26.73254,37.969276,1018.4723,19.761435,52.05172,0.0
2025-03-22_13:00:00,0.0,28.706108,37.58892,1017.5248,20.908464,52.994698,0.0
2025-03-22_14:00:00,0.0,30.331459,36.80665,1016.45184,20.34841,52.491005,0.0
2025-03-22_15:00:00,0.0,32.3899,32.72574,1015.23254,18.624256,54.287205,0.0
2025-03-22_16:00:00,0.0,34.31001,28.182629,1013.9132,14.772354,51.602264,0.0
2025-03-22_17:00:00,0.0,35.22097,25.484463,1012.9739,10.718011,47.087097,0.0
2025-03-22_18:00:00,1.8340494108315397e-05,35.108704,24.75876,1011.86993,9.531215,83.80245,0.0
2025-03-22_19:00:00,0.0035232071604696102,34.744785,24.874084,1011.9899,14.047896,138.52261,0.0
2025-03-22_20:00:00,0.011168097058543935,29.86482,38.590164,1013.31036,17.481466,223.96426,0.0
2025-03-22_21:00:00,0.11066284775733948,27.754889,49.12882,1014.1788,8.130776,246.3644,0.0
2025-03-22_22:00:00,0.31826294399797916,25.478624,60.510452,1016.10443,14.978657,296.47095,0.0
2025-03-22_23:00:00,1.3760049678385258,23.209433,74.15698,1016.6462,9.952765,247.7739,0.0
2025-03-23_00:00:00,0.7518373355269432,23.141771,75.892654,1017.0395,4.811771,158.84068,0.0
