Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.124575,59.956528,1009.54004,10.468835,147.36362,0.0
2025-03-20_01:00:00,0.0,22.427418,70.15762,1009.9204,10.650214,140.66885,0.0
2025-03-20_02:00:00,0.0,21.665388,73.39787,1010.2472,11.404924,148.06247,0.0
2025-03-20_03:00:00,0.0,21.008455,76.105675,1010.717,10.499227,134.90125,0.0
2025-03-20_04:00:00,0.0,20.51065,77.613235,1010.6216,10.331899,136.8416,0.0
2025-03-20_05:00:00,0.0,20.239332,77.71399,1010.70984,10.137205,131.69835,0.0
2025-03-20_06:00:00,0.0,20.091024,77.19944,1010.7849,10.406366,138.39525,0.0
2025-03-20_07:00:00,0.0,20.068075,77.125534,1011.37585,13.442579,135.6642,0.0
2025-03-20_08:00:00,0.0,19.136179,81.96366,1012.02356,13.70485,122.65696,0.0
2025-03-20_09:00:00,0.0,18.88907,82.58766,1012.3704,14.16015,125.8692,0.0
2025-03-20_10:00:00,0.0,18.776585,83.75274,1012.64246,13.174663,120.212006,0.0
2025-03-20_11:00:00,0.0,22.281544,71.99774,1012.1349,14.889222,109.45377,0.0
2025-03-20_12:00:00,0.0,25.003975,64.014084,1011.7273,15.904219,103.20318,0.0
2025-03-20_13:00:00,0.0,27.501225,54.646164,1010.8722,16.786983,97.647415,0.0
2025-03-20_14:00:00,0.0,29.057024,48.425858,1010.1547,15.373217,93.62661,0.0
2025-03-20_15:00:00,0.0,30.049534,43.838116,1009.42896,11.762281,88.3448,0.0
2025-03-20_16:00:00,0.0,30.901892,39.887714,1008.58966,7.98078,89.8634,0.0
2025-03-20_17:00:00,0.0,31.406006,37.88185,1007.874,7.0695906,100.31189,0.0
2025-03-20_18:00:00,0.05443152842934751,31.669268,37.277603,1007.2508,9.626074,124.62738,0.0
2025-03-20_19:00:00,0.05819299183349358,31.567022,37.670437,1007.30316,11.773778,118.00669,0.0
2025-03-20_20:00:00,0.02098735469735402,31.55953,36.424564,1007.327,7.7149773,83.0325,0.0
