Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.114107,66.30918,1012.0967,5.9566426,230.37785,0.0
2025-03-20_01:00:00,0.0,22.44798,75.46742,1012.18665,6.6756215,185.31548,0.0
2025-03-20_02:00:00,0.0,22.089134,73.26956,1012.1914,9.660767,194.43643,0.0
2025-03-20_03:00:00,0.0,21.430996,72.41089,1012.4048,9.059799,185.14291,0.0
2025-03-20_04:00:00,0.0,21.145166,69.67633,1012.5782,9.338907,186.02777,0.0
2025-03-20_05:00:00,0.0,20.812727,68.985435,1012.5266,9.129642,171.02428,0.0
2025-03-20_06:00:00,0.0,20.412802,68.75765,1012.43604,8.681115,180.18452,0.0
2025-03-20_07:00:00,0.0,20.233187,67.51077,1013.05237,9.031737,170.43109,0.0
2025-03-20_08:00:00,0.0,20.045742,67.63246,1013.4592,10.627378,150.07272,0.0
2025-03-20_09:00:00,0.0,19.7735,69.06973,1013.84656,8.313532,136.2135,0.0
2025-03-20_10:00:00,0.0,19.526657,70.41797,1014.2158,7.847481,129.19386,0.0
2025-03-20_11:00:00,0.0,23.05774,62.009995,1014.1931,8.330803,118.171646,0.0
2025-03-20_12:00:00,0.0,26.481794,54.599083,1013.92365,11.262659,104.80059,0.0
2025-03-20_13:00:00,0.0,29.035526,49.428177,1013.36206,11.701562,78.49219,0.0
2025-03-20_14:00:00,0.0,30.869251,44.707386,1012.7078,11.815218,64.10083,0.0
2025-03-20_15:00:00,0.0,32.092037,39.548447,1011.9711,9.692776,55.753807,0.0
2025-03-20_16:00:00,0.0,32.955708,36.120705,1011.1904,6.446225,58.563354,0.0
2025-03-20_17:00:00,0.0,33.63982,33.135353,1010.43494,4.7756667,81.12532,0.0
2025-03-20_18:00:00,0.0,34.10686,31.422585,1009.801,4.706961,162.60013,0.0
2025-03-20_19:00:00,0.0,34.398415,30.343746,1009.5896,3.4284282,208.40248,0.0
2025-03-20_20:00:00,0.0,34.37383,29.841671,1009.46423,4.4658694,223.70955,0.0
2025-03-20_21:00:00,0.0,33.79258,31.833624,1009.60596,5.897846,214.57562,0.0
2025-03-20_22:00:00,0.0,29.725594,41.36509,1010.15356,9.369621,222.42606,0.0
2025-03-20_23:00:00,0.0,28.767307,41.648445,1010.48425,9.380007,224.07872,0.0
2025-03-21_00:00:00,0.0,27.8379,42.060337,1010.9474,8.418923,202.6737,0.0
2025-03-21_01:00:00,0.0,26.939884,44.084034,1010.771,9.382061,169.34903,0.0
2025-03-21_02:00:00,0.0,26.380167,43.364777,1010.8956,8.407329,124.539085,0.0
2025-03-21_03:00:00,0.0,25.519613,45.152054,1011.068,8.1402645,99.053635,0.0
2025-03-21_04:00:00,0.0,24.535786,48.313152,1011.3086,9.469219,103.86803,0.0
2025-03-21_05:00:00,0.0,23.814789,50.00183,1011.3626,9.517144,99.316345,0.0
2025-03-21_06:00:00,0.0,23.39661,49.67398,1011.33435,9.808036,98.2849,0.0
2025-03-21_07:00:00,0.0,23.270786,48.961075,1011.95264,9.938007,88.59966,0.0
2025-03-21_08:00:00,0.0,23.266636,46.841965,1012.3945,11.939504,106.181046,0.0
2025-03-21_09:00:00,0.0,22.927858,45.30945,1012.9195,12.850627,104.10065,0.0
2025-03-21_10:00:00,0.0,22.574614,48.453983,1013.4909,12.760593,102.80998,0.0
2025-03-21_11:00:00,0.0,25.886581,43.378464,1013.51276,15.518172,94.55177,0.0
2025-03-21_12:00:00,0.0,28.708275,39.022236,1013.3759,18.296715,85.21425,0.0
2025-03-21_13:00:00,0.0,31.048176,34.687023,1012.7074,17.101418,72.4117,0.0
2025-03-21_14:00:00,0.0,32.993732,31.788094,1011.8402,14.9231205,56.988567,0.0
2025-03-21_15:00:00,0.0,34.236473,28.810066,1010.841,12.275841,45.16031,0.0
2025-03-21_16:00:00,0.0,34.94206,26.745972,1009.88794,7.5383906,58.241116,0.0
2025-03-21_17:00:00,0.0,35.48508,25.018848,1009.02795,4.917537,175.55794,0.0
2025-03-21_18:00:00,0.0,35.822258,24.577019,1008.3118,4.1446924,252.3536,0.0
2025-03-21_19:00:00,0.0,35.90685,24.753235,1008.1535,6.0200176,279.38922,0.0
2025-03-21_20:00:00,0.0,35.676285,25.223242,1008.09686,6.7395816,266.34595,0.0
2025-03-21_21:00:00,0.0,34.416298,27.768585,1008.31384,5.4350314,259.67883,0.0
2025-03-21_22:00:00,0.0,30.64773,34.424896,1008.8681,7.7108707,243.72551,0.0
2025-03-21_23:00:00,0.0,29.693785,34.62307,1009.2178,7.2454815,217.90996,0.0
2025-03-22_00:00:00,0.0,29.397905,34.000374,1009.55566,4.9063463,210.1805,0.0
2025-03-22_01:00:00,0.0,27.742706,38.66053,1009.5235,11.236354,116.644516,0.0
2025-03-22_02:00:00,0.0,27.538084,41.850697,1009.46765,12.128563,66.534676,0.0
2025-03-22_03:00:00,0.0,26.856934,45.539734,1009.563,12.452731,69.886375,0.0
2025-03-22_04:00:00,0.0,26.920717,44.76477,1009.5619,14.9004135,98.31477,0.0
2025-03-22_05:00:00,0.0,26.05111,45.776634,1009.61005,12.9866495,93.83238,0.0
2025-03-22_06:00:00,0.0,26.144032,42.287643,1009.6074,13.427843,83.85017,0.0
2025-03-22_07:00:00,0.0,25.476336,44.250027,1010.0614,12.120445,78.98498,0.0
2025-03-22_08:00:00,0.0,24.048304,52.234337,1011.0376,9.446603,246.2131,0.0
2025-03-22_09:00:00,0.0,23.836887,55.829956,1011.1185,7.650818,78.361946,0.0
2025-03-22_10:00:00,0.0,24.594965,55.167797,1011.35785,9.761435,86.57378,0.0
2025-03-22_11:00:00,0.0,27.04301,54.74094,1011.3221,11.897308,38.335854,0.0
2025-03-22_12:00:00,0.0,28.887325,54.807487,1011.1294,13.167257,54.55549,0.0
2025-03-22_13:00:00,0.0,30.602806,54.057907,1010.4242,14.754707,157.382,0.0
2025-03-22_14:00:00,0.0,32.042465,51.29285,1009.63306,18.697239,289.3874,0.0
2025-03-22_15:00:00,0.0,33.08101,49.99487,1008.66174,20.282877,266.55542,0.0
2025-03-22_16:00:00,0.0,34.13317,45.69896,1007.3436,19.631441,311.57397,0.0
2025-03-22_17:00:00,0.0,34.976124,42.13018,1005.6576,21.199085,289.0633,0.0
2025-03-22_18:00:00,0.021928093454334885,34.73018,42.541664,1005.17267,17.15936,348.00525,0.0
2025-03-22_19:00:00,0.47571374848484993,25.401691,81.52406,1007.45105,26.98741,218.11736,0.0
2025-03-22_20:00:00,7.788754820823669,22.9799,93.38929,1011.1333,14.043989,151.05878,0.0
2025-03-22_21:00:00,0.3770390748977661,23.02656,90.08359,1008.90204,23.054878,154.84006,0.0
2025-03-22_22:00:00,1.355195313692093,23.3494,87.41238,1010.364,11.402334,143.08582,0.0
2025-03-22_23:00:00,1.8113338947296143,23.817623,88.00195,1010.71375,13.058033,85.74012,0.0
2025-03-23_00:00:00,2.3986960649490356,23.717812,84.83019,1010.1215,17.515217,123.75441,0.0
