Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.118107,54.636658,1011.648,9.882214,144.68884,0.0
2025-03-20_01:00:00,0.0,21.608912,64.7265,1011.95825,10.230413,170.64435,0.0
2025-03-20_02:00:00,0.0,21.285423,66.05651,1011.3882,10.573652,165.98819,0.0
2025-03-20_03:00:00,0.0,20.9048,66.54343,1012.46155,10.198615,134.83038,0.0
2025-03-20_04:00:00,0.0,20.486607,67.42853,1012.5763,10.377908,117.9176,0.0
2025-03-20_05:00:00,0.0,20.017448,68.61984,1012.6045,10.229658,129.83499,0.0
2025-03-20_06:00:00,0.0,19.299,71.58475,1012.83936,9.791936,139.64001,0.0
2025-03-20_07:00:00,0.0,18.72522,74.68462,1013.44055,9.741676,122.6844,0.0
2025-03-20_08:00:00,0.0,18.030392,81.23058,1014.2879,8.5264225,105.80965,0.0
2025-03-20_09:00:00,0.0,17.582094,86.85977,1014.8461,8.657795,100.84598,0.0
2025-03-20_10:00:00,0.0,17.838085,89.207535,1015.4651,10.22433,97.77463,0.0
2025-03-20_11:00:00,0.0,22.111994,74.44655,1015.16693,16.17719,87.9374,0.0
2025-03-20_12:00:00,0.0,24.544264,63.42359,1014.98193,18.432785,76.646515,0.0
2025-03-20_13:00:00,0.0,26.768274,54.45268,1014.30896,17.18961,72.79146,0.0
2025-03-20_14:00:00,0.0,28.646622,47.601913,1013.45197,15.871962,70.94842,0.0
2025-03-20_15:00:00,0.0,30.265688,40.84515,1012.4575,14.431435,75.60154,0.0
2025-03-20_16:00:00,0.0,31.427591,35.0406,1011.53735,13.874737,83.59954,0.0
2025-03-20_17:00:00,0.0,32.214745,31.825031,1010.69604,13.431758,93.138275,0.0
2025-03-20_18:00:00,0.0,32.82148,29.144417,1010.015,13.243786,99.6556,0.0
2025-03-20_19:00:00,0.0,33.180515,27.080462,1009.8231,13.873229,107.657166,0.0
2025-03-20_20:00:00,0.0,33.06462,26.753063,1009.8582,15.394532,115.85476,0.0
2025-03-20_21:00:00,0.0,32.213127,28.413712,1010.1931,16.641245,120.92431,0.0
2025-03-20_22:00:00,0.0,27.8576,37.047527,1011.20667,12.844142,126.90398,0.0
2025-03-20_23:00:00,0.0,26.392302,37.84931,1011.7489,12.671807,116.06257,0.0
2025-03-21_00:00:00,0.0,24.6855,41.33583,1012.2462,11.38531,94.39092,0.0
2025-03-21_01:00:00,0.0,23.935015,41.44603,1012.08765,10.784761,77.446976,0.0
2025-03-21_02:00:00,0.0,23.235235,42.603226,1012.1625,10.791075,92.05301,0.0
2025-03-21_03:00:00,0.0,22.642075,44.57895,1012.3302,12.451403,102.90295,0.0
2025-03-21_04:00:00,0.0,21.779942,48.747986,1012.6906,13.520581,101.779495,0.0
2025-03-21_05:00:00,0.0,21.088978,52.57794,1012.8959,13.707451,99.651474,0.0
2025-03-21_06:00:00,0.0,20.618574,56.52311,1012.93555,14.521558,93.37337,0.0
2025-03-21_07:00:00,0.0,19.906849,62.47442,1013.5528,14.099755,90.86989,0.0
2025-03-21_08:00:00,0.0,19.44583,68.895096,1014.1111,14.138382,91.87268,0.0
2025-03-21_09:00:00,0.0,18.989574,74.68107,1014.7132,14.422051,92.6861,0.0
2025-03-21_10:00:00,0.0,19.985659,72.83809,1015.0997,15.757836,91.09706,0.0
2025-03-21_11:00:00,0.0,23.319561,59.15862,1015.09216,21.36618,77.21351,0.0
2025-03-21_12:00:00,0.0,26.193773,48.994125,1014.8312,21.545418,74.47626,0.0
2025-03-21_13:00:00,0.0,28.591526,41.827133,1013.9188,19.743977,73.69876,0.0
2025-03-21_14:00:00,0.0,30.542454,36.082985,1012.89624,18.392393,69.43142,0.0
2025-03-21_15:00:00,0.0,31.981993,31.315304,1011.73376,15.362906,67.72084,0.0
2025-03-21_16:00:00,0.0,32.805485,28.430656,1010.6565,9.991539,70.66888,0.0
2025-03-21_17:00:00,0.0,33.456367,26.59174,1009.6154,7.8412857,84.05404,0.0
2025-03-21_18:00:00,0.0,33.505295,26.567093,1009.02673,10.959462,82.3766,0.0
2025-03-21_19:00:00,0.0,34.159657,24.793074,1008.7645,7.865707,114.43207,0.0
2025-03-21_20:00:00,0.0,34.18514,24.487164,1008.7241,12.415236,124.58693,0.0
2025-03-21_21:00:00,0.0,33.172714,25.989494,1009.0589,14.352566,124.7,0.0
2025-03-21_22:00:00,0.0,28.933903,33.295963,1009.84106,12.902889,125.730484,0.0
2025-03-21_23:00:00,0.0,27.640404,33.845665,1010.4276,14.4340315,113.84689,0.0
2025-03-22_00:00:00,0.0,26.431124,31.631935,1010.87024,13.02631,109.0636,0.0
2025-03-22_01:00:00,0.0,25.286493,29.30991,1010.7057,12.236421,116.63989,0.0
2025-03-22_02:00:00,0.0,24.117674,31.463882,1011.0205,11.151152,104.76976,0.0
2025-03-22_03:00:00,0.0,23.664215,34.258797,1011.10925,12.857945,113.43866,0.0
2025-03-22_04:00:00,0.0,23.209993,35.147015,1011.26794,13.926641,109.08122,0.0
2025-03-22_05:00:00,0.0,22.487307,37.776295,1011.423,14.309174,104.58703,0.0
2025-03-22_06:00:00,0.0,21.967693,40.49085,1011.5074,13.813701,93.65532,0.0
2025-03-22_07:00:00,0.0,21.223959,44.195778,1012.10223,12.184199,73.80292,0.0
2025-03-22_08:00:00,0.0,21.537537,44.620495,1012.3454,13.525216,67.60234,0.0
2025-03-22_09:00:00,0.0,20.635489,47.48535,1012.6042,11.760404,80.00687,0.0
2025-03-22_10:00:00,0.0,22.842884,42.308823,1012.33514,15.149559,90.0041,0.0
2025-03-22_11:00:00,0.0,25.839603,37.626205,1012.01654,18.52608,75.39655,0.0
2025-03-22_12:00:00,0.0,28.752394,34.922028,1011.5536,19.705624,69.55065,0.0
2025-03-22_13:00:00,0.0,31.411846,31.10223,1010.4928,19.620968,52.51735,0.0
2025-03-22_14:00:00,0.0,32.98419,30.046871,1009.48267,19.687504,26.799643,0.0
2025-03-22_15:00:00,0.0,33.939205,31.405952,1008.2716,19.601536,19.067028,0.0
2025-03-22_16:00:00,0.0,34.792385,29.141521,1007.0759,17.910269,15.128856,0.0
2025-03-22_17:00:00,0.0,35.354218,27.559906,1006.072,15.384703,12.407253,0.0
2025-03-22_18:00:00,6.297548225120408e-07,35.32441,27.571854,1005.0913,11.181511,23.894617,0.0
2025-03-22_19:00:00,0.0001269637814402813,35.19523,28.167442,1004.8374,10.392706,128.90295,0.0
2025-03-22_20:00:00,0.013678575899120915,34.873158,29.51492,1005.2681,11.990501,146.57092,0.0
2025-03-22_21:00:00,0.2830163328908384,30.36453,46.095955,1007.16187,19.37587,164.41359,0.0
2025-03-22_22:00:00,0.5804672501981258,25.540789,58.271877,1010.22174,29.170633,255.44919,0.0
2025-03-22_23:00:00,3.5147516280412674,23.24586,72.32028,1011.81506,18.405743,206.77037,0.0
2025-03-23_00:00:00,0.7023667097091675,22.425003,74.33118,1011.7851,17.149355,166.35007,0.0
