Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.11464,56.484474,1016.825,6.3574023,132.57025,0.0
2025-03-20_01:00:00,0.0,22.045473,65.1202,1016.8534,4.267061,156.54391,0.0
2025-03-20_02:00:00,0.0,20.87147,68.54869,1016.6559,7.573434,181.14044,0.0
2025-03-20_03:00:00,0.0,20.12473,70.82239,1017.6414,7.5441275,177.6148,0.0
2025-03-20_04:00:00,5.898248218727531e-07,19.701595,71.489395,1017.71265,6.5362635,157.66371,0.0
2025-03-20_05:00:00,0.00021783664044505713,20.063673,68.3862,1017.59534,6.1480417,168.37823,0.0
2025-03-20_06:00:00,0.0,19.21572,71.743744,1018.0956,5.2520504,95.41525,0.0
2025-03-20_07:00:00,0.0,18.640207,73.9673,1018.619,6.278269,113.873886,0.0
2025-03-20_08:00:00,0.0,17.819187,76.93718,1019.3023,6.770017,152.25772,0.0
2025-03-20_09:00:00,0.0,17.263416,80.196,1020.09576,6.8347125,84.01348,0.0
2025-03-20_10:00:00,0.0,17.552818,81.22284,1020.5281,8.0364485,91.04467,0.0
2025-03-20_11:00:00,0.0,22.307951,70.71666,1020.2053,15.335867,73.03519,0.0
2025-03-20_12:00:00,0.0,25.061775,62.409386,1019.9385,19.01129,65.76962,0.0
2025-03-20_13:00:00,0.0,26.995329,54.733543,1019.3536,17.44169,60.1997,0.0
2025-03-20_14:00:00,0.0,28.689486,49.142853,1018.5293,15.189254,56.485447,0.0
2025-03-20_15:00:00,0.0,30.270548,43.37294,1017.58545,13.6398535,58.83277,0.0
2025-03-20_16:00:00,0.0,31.575819,36.957275,1016.62054,12.260521,63.60913,0.0
2025-03-20_17:00:00,0.0,32.47867,32.683994,1015.7323,11.503611,66.59694,0.0
2025-03-20_18:00:00,0.0,33.144882,29.338581,1015.02295,10.919578,69.07085,0.0
2025-03-20_19:00:00,0.0,33.540787,26.956306,1014.7838,10.500194,69.1306,0.0
2025-03-20_20:00:00,0.0,33.52826,26.158823,1014.7557,11.196112,71.87654,0.0
2025-03-20_21:00:00,0.0,32.891895,26.217419,1015.051,12.695124,75.92036,0.0
2025-03-20_22:00:00,0.0,29.07945,29.107157,1015.9171,12.434261,80.98366,0.0
2025-03-20_23:00:00,0.0,27.959126,30.57989,1016.27515,13.605864,94.584854,0.0
2025-03-21_00:00:00,0.0,26.444609,37.368847,1016.7261,12.3159,86.187744,0.0
2025-03-21_01:00:00,0.0,25.610462,40.286007,1016.6046,11.095272,81.2354,0.0
2025-03-21_02:00:00,0.0,24.736519,42.635612,1016.6963,11.415572,67.16528,0.0
2025-03-21_03:00:00,0.0,24.034163,45.174404,1016.9337,12.012239,96.25108,0.0
2025-03-21_04:00:00,0.0,23.324955,48.55176,1017.1894,12.900704,90.78513,0.0
2025-03-21_05:00:00,0.0,23.481052,47.26941,1017.28534,15.701543,75.88037,0.0
2025-03-21_06:00:00,0.0,22.53165,50.21559,1017.3941,15.55618,70.43182,0.0
2025-03-21_07:00:00,0.0,21.602026,55.085182,1018.0222,15.360009,70.873886,0.0
2025-03-21_08:00:00,0.0,21.112074,60.179844,1018.6412,16.502127,67.939964,0.0
2025-03-21_09:00:00,0.0,20.490244,66.04878,1019.26794,16.26426,75.11265,0.0
2025-03-21_10:00:00,0.0,20.886307,67.670135,1019.7898,16.987577,78.93282,0.0
2025-03-21_11:00:00,0.0,23.650766,58.637375,1019.8992,22.480719,67.29855,0.0
2025-03-21_12:00:00,0.0,25.959051,51.09626,1019.9435,20.301971,61.807617,0.0
