Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.58616,56.672596,1010.3355,4.896834,206.28874,0.0
2025-03-20_01:00:00,0.0,25.545593,60.81256,1010.5034,10.066769,205.39177,0.0
2025-03-20_02:00:00,0.0,26.404509,56.054848,1010.3171,12.252641,197.34169,0.0
2025-03-20_03:00:00,0.0,25.568819,61.369946,1010.5678,9.97503,164.71777,0.0
2025-03-20_04:00:00,0.0,24.906754,65.15511,1010.70154,6.5711904,203.35649,0.0
2025-03-20_05:00:00,0.0,24.154083,67.18425,1010.83704,8.848424,258.85718,0.0
2025-03-20_06:00:00,0.0,23.988014,67.983,1010.9593,8.428885,212.24825,0.0
2025-03-20_07:00:00,0.0,23.32501,71.57827,1011.5123,5.7924447,155.72295,0.0
2025-03-20_08:00:00,0.0,22.991459,73.65897,1011.89,3.5417123,159.67465,0.0
2025-03-20_09:00:00,0.0,22.169434,78.02141,1012.20264,6.5502768,246.45212,0.0
2025-03-20_10:00:00,0.0,22.111404,78.12922,1012.535,5.1470604,139.07263,0.0
2025-03-20_11:00:00,0.0,25.034151,67.460815,1012.7092,3.484667,79.42079,0.0
2025-03-20_12:00:00,0.0,27.452866,59.84214,1012.727,3.5861616,70.45134,0.0
2025-03-20_13:00:00,0.0,29.965052,50.920586,1012.1419,5.1196475,108.84866,0.0
2025-03-20_14:00:00,0.0,31.851955,44.40003,1011.42334,7.5066953,106.31701,0.0
2025-03-20_15:00:00,0.0,33.0375,40.853645,1010.76306,9.625648,100.676285,0.0
2025-03-20_16:00:00,0.0,33.89183,38.68837,1010.0832,8.594716,97.65717,0.0
2025-03-20_17:00:00,0.0,34.677505,36.50766,1009.4048,7.3703394,94.24551,0.0
2025-03-20_18:00:00,0.0,35.257324,34.797432,1008.76373,5.970902,95.49751,0.0
2025-03-20_19:00:00,0.0,35.62071,33.908836,1008.47986,4.9588356,92.68634,0.0
2025-03-20_20:00:00,0.0,35.676144,33.674824,1008.344,4.238045,81.3801,0.0
2025-03-20_21:00:00,0.0,35.31391,34.366295,1008.38403,3.909205,76.546455,0.0
