Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.932173,50.37629,1016.4031,8.2486315,172.19897,0.0
2025-03-20_01:00:00,0.0,22.909042,54.133232,1016.44745,13.161945,163.92905,0.0
2025-03-20_02:00:00,0.0,22.307781,57.367733,1016.1384,12.572583,163.25507,0.0
2025-03-20_03:00:00,0.0,22.013126,58.42034,1016.56433,13.059228,173.79144,0.0
2025-03-20_04:00:00,0.0,21.192667,60.32044,1016.8501,13.152759,170.62674,0.0
2025-03-20_05:00:00,0.0,20.097265,64.70781,1017.24084,11.186759,162.01993,0.0
2025-03-20_06:00:00,0.0,19.202652,68.70535,1017.61145,9.271703,166.40625,0.0
2025-03-20_07:00:00,0.0,18.376581,72.60641,1018.38513,8.629824,139.57513,0.0
2025-03-20_08:00:00,0.0,18.126131,73.32019,1018.8382,9.733736,144.75294,0.0
2025-03-20_09:00:00,0.0,18.014252,73.53337,1019.2809,10.462917,139.95953,0.0
2025-03-20_10:00:00,0.0,17.604774,76.650375,1019.985,10.180223,130.98317,0.0
2025-03-20_11:00:00,0.0,22.22827,61.511116,1019.4409,11.353599,93.39215,0.0
2025-03-20_12:00:00,0.0,25.11794,58.06607,1019.044,16.980288,68.186775,0.0
2025-03-20_13:00:00,0.0,26.821684,52.66192,1018.4136,17.444983,59.240837,0.0
2025-03-20_14:00:00,0.0,28.363028,47.35843,1017.6043,15.389904,57.583073,0.0
2025-03-20_15:00:00,0.0,29.81955,41.041492,1016.6452,14.570054,58.870823,0.0
2025-03-20_16:00:00,0.0,30.966856,34.87937,1015.7063,13.782936,60.511406,0.0
2025-03-20_17:00:00,0.0,31.770222,31.400959,1014.81726,12.9213085,62.369286,0.0
2025-03-20_18:00:00,6.886735718580894e-06,32.417366,28.86324,1014.0824,12.25808,66.16065,0.0
2025-03-20_19:00:00,0.0,32.952766,26.632269,1013.79834,11.865453,69.94728,0.0
2025-03-20_20:00:00,0.0,32.679657,27.97155,1013.86816,14.442704,84.90872,0.0
2025-03-20_21:00:00,0.0,31.949337,30.372509,1014.2529,14.423268,85.20099,0.0
2025-03-20_22:00:00,2.398431570327375e-05,28.795317,37.049313,1015.14526,11.784893,85.55838,0.0
2025-03-20_23:00:00,0.0,27.937128,37.447693,1015.5009,12.947394,93.563034,0.0
2025-03-21_00:00:00,0.0,27.370731,35.520065,1015.8589,15.422462,95.01152,0.0
2025-03-21_01:00:00,0.0,26.621494,34.26152,1015.8244,15.288506,94.277756,0.0
2025-03-21_02:00:00,0.0,25.928616,35.174957,1015.8922,14.467682,94.32646,0.0
2025-03-21_03:00:00,0.0,24.962107,39.036747,1016.0649,13.585087,90.87096,0.0
2025-03-21_04:00:00,0.0,24.442043,41.071106,1016.0902,13.290171,89.247116,0.0
2025-03-21_05:00:00,0.0,23.841084,42.259815,1016.38904,15.801241,99.60476,0.0
2025-03-21_06:00:00,0.0,21.99724,47.814804,1016.92737,14.097454,89.04019,0.0
2025-03-21_07:00:00,0.0,22.104282,50.417534,1017.4217,17.789831,78.06821,0.0
2025-03-21_08:00:00,0.0,21.050102,55.968025,1018.14856,15.579826,74.4548,0.0
2025-03-21_09:00:00,0.0,19.44956,63.781933,1019.0779,11.7110815,61.86902,0.0
2025-03-21_10:00:00,0.0,19.283295,66.38274,1019.7395,8.595156,54.969685,0.0
2025-03-21_11:00:00,0.0,22.737404,57.746468,1019.64343,18.661343,55.22561,0.0
2025-03-21_12:00:00,0.0,25.452991,48.88672,1019.2447,20.063799,55.022842,0.0
2025-03-21_13:00:00,0.0,27.929502,41.36429,1018.24963,20.157393,52.39067,0.0
2025-03-21_14:00:00,0.0,29.966333,35.21192,1017.1089,19.231367,52.599403,0.0
2025-03-21_15:00:00,0.0,31.5791,30.133255,1015.82684,16.797426,49.648594,0.0
2025-03-21_16:00:00,0.0,32.50185,26.954506,1014.71826,12.404287,46.977573,0.0
2025-03-21_17:00:00,0.0,33.219078,24.821371,1013.6782,10.418461,51.830902,0.0
2025-03-21_18:00:00,0.0,33.776978,23.16136,1012.87103,9.16063,62.84426,0.0
2025-03-21_19:00:00,0.0,34.177963,22.10279,1012.63654,9.401902,68.99422,0.0
2025-03-21_20:00:00,0.0,34.196762,21.539415,1012.6156,9.058118,75.73842,0.0
2025-03-21_21:00:00,0.0,33.651634,21.824919,1012.74316,8.741793,78.97102,0.0
2025-03-21_22:00:00,0.0,29.59752,28.17667,1013.77515,10.120365,90.490616,0.0
2025-03-21_23:00:00,0.0,28.360615,34.472885,1014.31946,12.291586,115.745995,0.0
2025-03-22_00:00:00,0.0,27.874245,34.444252,1014.55457,14.357595,120.22285,0.0
2025-03-22_01:00:00,0.0,27.389853,31.178398,1014.5661,15.608276,100.29368,0.0
2025-03-22_02:00:00,0.0,26.325575,29.056719,1014.81445,14.341602,107.66423,0.0
2025-03-22_03:00:00,0.0,25.364902,29.943905,1015.0047,12.193342,102.81593,0.0
2025-03-22_04:00:00,0.0,24.460693,31.468697,1015.2382,12.404612,111.37628,0.0
2025-03-22_05:00:00,0.0,22.919613,34.078594,1015.67834,11.552344,117.32788,0.0
2025-03-22_06:00:00,0.0,22.312504,35.474052,1015.6995,11.636994,107.162445,0.0
2025-03-22_07:00:00,0.0,21.942808,38.061462,1016.16406,12.312144,75.1615,0.0
2025-03-22_08:00:00,0.0,21.863194,39.801723,1016.41797,13.941149,69.08083,0.0
2025-03-22_09:00:00,0.0,21.87394,41.1433,1016.50885,14.739968,75.08344,0.0
2025-03-22_10:00:00,0.0,23.200602,39.634403,1016.4121,16.59002,73.15062,0.0
2025-03-22_11:00:00,0.0,26.04569,34.353622,1016.01575,17.722982,53.144287,0.0
2025-03-22_12:00:00,0.0,27.758717,32.415237,1015.9735,17.724865,28.089684,0.0
2025-03-22_13:00:00,0.0,29.87085,32.80624,1014.91345,18.562006,24.741173,0.0
2025-03-22_14:00:00,0.0,31.57876,34.260895,1013.6367,21.105839,25.443924,0.0
2025-03-22_15:00:00,0.0,33.018265,32.439972,1012.2636,21.082174,20.748947,0.0
2025-03-22_16:00:00,0.0,33.988663,30.13089,1010.892,17.600737,24.223938,0.0
2025-03-22_17:00:00,0.0001345781347481534,34.53022,28.822517,1009.90515,17.114859,30.312458,0.0
