Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.047253,58.783424,1009.9148,7.164525,11.616507,0.0
2025-03-20_01:00:00,0.0,22.316122,66.10922,1009.8275,5.4504642,290.02594,0.0
2025-03-20_02:00:00,0.0,21.960823,66.63108,1010.27545,10.449176,230.75308,0.0
2025-03-20_03:00:00,0.0,21.20055,67.99794,1010.378,9.935645,213.9662,0.0
2025-03-20_04:00:00,0.0,20.739153,65.92747,1010.7184,10.198285,197.9,0.0
2025-03-20_05:00:00,0.0,19.960594,66.27584,1010.7233,10.142819,194.66214,0.0
2025-03-20_06:00:00,0.0,19.690939,66.651764,1010.9247,10.273349,176.53812,0.0
2025-03-20_07:00:00,0.0,19.393717,67.650955,1011.5504,10.464208,185.26523,0.0
2025-03-20_08:00:00,0.0,18.712675,70.95416,1012.1671,9.452564,188.84988,0.0
2025-03-20_09:00:00,0.0,18.266277,73.92791,1012.8039,9.340658,166.20956,0.0
2025-03-20_10:00:00,0.0,17.883759,77.27985,1013.352,9.460589,160.34256,0.0
2025-03-20_11:00:00,0.0,21.651342,64.36906,1013.12665,9.274888,128.35876,0.0
2025-03-20_12:00:00,0.0,24.283697,58.747814,1012.8635,11.801107,105.07562,0.0
2025-03-20_13:00:00,0.0,26.495495,54.323135,1012.16406,13.644583,93.983185,0.0
2025-03-20_14:00:00,0.0,28.749033,48.959946,1011.3003,14.781304,89.05923,0.0
2025-03-20_15:00:00,0.0,30.401167,42.674057,1010.40674,14.488787,85.52379,0.0
2025-03-20_16:00:00,0.0,31.556917,36.514774,1009.4644,12.157377,82.10423,0.0
2025-03-20_17:00:00,0.0,32.482147,30.813658,1008.5913,8.854046,81.25634,0.0
2025-03-20_18:00:00,0.0,33.17119,27.546383,1007.85986,8.148695,78.75027,0.0
2025-03-20_19:00:00,0.0,33.58288,26.025705,1007.63654,8.517101,68.74417,0.0
2025-03-20_20:00:00,0.0,33.578705,26.130016,1007.6072,8.965376,75.1043,0.0
2025-03-20_21:00:00,0.0,33.042862,27.915628,1007.8186,9.2248335,72.513435,0.0
2025-03-20_22:00:00,0.0,29.393084,35.372498,1008.57166,7.8675256,83.01817,0.0
2025-03-20_23:00:00,0.0,28.438026,36.093388,1008.98083,10.839276,105.634476,0.0
2025-03-21_00:00:00,0.0,27.439163,39.25519,1009.38367,11.782535,105.18276,0.0
2025-03-21_01:00:00,0.0,26.3339,41.246582,1009.34204,11.8594675,104.21588,0.0
2025-03-21_02:00:00,0.0,25.086601,44.775345,1009.5412,10.93048,109.53196,0.0
2025-03-21_03:00:00,0.0,24.078693,46.231888,1009.71423,10.349459,112.93666,0.0
2025-03-21_04:00:00,0.0,23.067846,47.44512,1009.9828,9.149271,116.19934,0.0
2025-03-21_05:00:00,0.0,22.412334,48.26519,1010.1753,8.072017,110.49017,0.0
2025-03-21_06:00:00,0.0,22.011473,48.8399,1010.4793,7.983373,106.86214,0.0
2025-03-21_07:00:00,5.352238531486364e-06,21.259686,49.505676,1011.3348,10.304214,115.25786,0.0
2025-03-21_08:00:00,1.789896487025544e-05,20.915157,49.57101,1011.7676,10.883286,110.96356,0.0
2025-03-21_09:00:00,0.0,19.808044,53.587128,1012.687,9.616964,101.6812,0.0
2025-03-21_10:00:00,0.0,19.94371,55.99817,1013.0241,7.0262933,125.50589,0.0
2025-03-21_11:00:00,0.0,23.362877,49.062286,1012.8801,10.267975,102.85797,0.0
2025-03-21_12:00:00,0.0,25.922152,45.311237,1012.59595,15.52363,93.34555,0.0
2025-03-21_13:00:00,0.0,28.185883,41.63814,1011.7285,16.680449,84.77876,0.0
2025-03-21_14:00:00,0.0,30.268421,38.02468,1010.7244,15.660524,79.71608,0.0
2025-03-21_15:00:00,0.0,32.05825,34.07322,1009.55096,14.219393,75.50507,0.0
2025-03-21_16:00:00,0.0,33.26302,29.85139,1008.34656,10.006382,74.52099,0.0
2025-03-21_17:00:00,0.0,34.064415,26.806767,1007.35,8.705398,81.387085,0.0
2025-03-21_18:00:00,0.0,34.566845,25.607492,1006.49005,7.4523187,84.796646,0.0
2025-03-21_19:00:00,0.0033846941150841303,34.753586,26.002132,1006.3947,11.389828,67.44596,0.0
2025-03-21_20:00:00,0.0006159812073747162,34.771324,25.447567,1006.22815,7.6214905,92.479385,0.0
2025-03-21_21:00:00,0.00024434530996586545,34.10713,27.408817,1006.5571,10.527075,50.90908,0.0
2025-03-21_22:00:00,9.20856837183237e-06,30.734959,34.18667,1007.2147,10.929697,53.78985,0.0
2025-03-21_23:00:00,0.0,29.527546,36.835392,1007.65826,10.632234,49.3876,0.0
2025-03-22_00:00:00,0.0,29.15449,36.874603,1008.02893,9.372148,55.221878,0.0
2025-03-22_01:00:00,0.006947745782781567,29.160067,36.93682,1007.8794,10.323291,82.1801,0.0
2025-03-22_02:00:00,0.03208565082968562,27.906193,41.90808,1008.3082,11.932436,112.899414,0.0
2025-03-22_03:00:00,0.0001199239632114768,26.02276,44.79226,1008.6974,10.41257,104.70567,0.0
2025-03-22_04:00:00,0.0,24.99814,42.92379,1008.917,9.121708,113.09959,0.0
2025-03-22_05:00:00,0.009585393296070777,24.890938,41.92784,1009.1171,5.0014386,100.94675,0.0
2025-03-22_06:00:00,0.16199341617175378,25.37418,39.717308,1008.8387,13.480418,94.32649,0.0
2025-03-22_07:00:00,0.0036673805734608322,24.88829,40.030205,1009.177,11.964876,97.63892,0.0
2025-03-22_08:00:00,0.0,23.521439,43.347298,1009.54474,10.457367,96.173065,0.0
2025-03-22_09:00:00,0.0,22.341684,45.804626,1010.0449,6.832698,79.85943,0.0
2025-03-22_10:00:00,0.0,23.047113,44.806023,1010.37134,5.588684,74.27449,0.0
2025-03-22_11:00:00,0.0,24.524214,45.884235,1010.34344,6.779281,90.31076,0.0
2025-03-22_12:00:00,0.0,27.633188,47.738075,1009.8307,6.742915,50.593765,0.0
2025-03-22_13:00:00,0.0,30.273363,45.976776,1008.7473,10.446312,35.271996,0.0
2025-03-22_14:00:00,0.0,32.47622,41.089073,1007.4567,10.48604,29.04469,0.0
2025-03-22_15:00:00,0.000974312424659729,34.141277,33.46251,1005.9768,15.004715,82.1925,0.0
2025-03-22_16:00:00,0.2177917705848813,33.353626,37.569134,1005.32764,19.865318,98.96582,0.0
2025-03-22_17:00:00,0.10404830565676093,34.531166,32.42365,1004.115,11.433481,102.99652,0.0
2025-03-22_18:00:00,0.04254995728842914,34.667236,32.381855,1003.03156,10.226652,284.6513,0.0
2025-03-22_19:00:00,0.027646703412756324,34.476036,34.776573,1002.9878,12.08818,229.66603,0.0
2025-03-22_20:00:00,0.750069729750976,31.27172,44.25983,1004.43225,17.51677,175.48444,0.0
2025-03-22_21:00:00,17.016517356038094,22.489172,90.89075,1010.5176,29.524204,271.93042,0.0
2025-03-22_22:00:00,7.447054982185364,23.831816,77.566826,1008.83954,11.55503,254.03735,0.0
2025-03-22_23:00:00,1.547497570514679,23.466225,80.174805,1008.4938,15.224199,167.25523,0.0
2025-03-23_00:00:00,0.07305383682250977,23.282465,83.09556,1008.8944,15.095228,258.4641,0.0
