Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.29646,63.665737,1009.844,6.9964066,181.55792,0.0
2025-03-20_01:00:00,0.0,23.416151,72.032715,1009.9847,9.488538,166.666,0.0
2025-03-20_02:00:00,0.0,23.342278,70.13794,1009.9167,11.4430685,162.45387,0.0
2025-03-20_03:00:00,0.0,22.689777,72.78203,1010.4064,10.582348,162.92908,0.0
2025-03-20_04:00:00,0.0,22.45374,73.681046,1010.14105,11.392279,164.836,0.0
2025-03-20_05:00:00,0.0,22.05958,75.07029,1010.31323,10.65682,157.34103,0.0
2025-03-20_06:00:00,0.0,21.53779,76.33956,1010.3759,9.980762,148.98975,0.0
2025-03-20_07:00:00,0.0,20.947119,77.874245,1010.6937,8.421841,156.9823,0.0
2025-03-20_08:00:00,0.0,20.809,75.76988,1011.089,10.197194,149.4862,0.0
2025-03-20_09:00:00,0.0,20.37374,75.89815,1011.47864,10.277399,142.48193,0.0
2025-03-20_10:00:00,0.0,19.842316,78.55852,1011.99384,10.215698,142.5148,0.0
2025-03-20_11:00:00,0.0,23.518173,68.67294,1012.0397,11.234959,150.87021,0.0
2025-03-20_12:00:00,0.0,26.392275,59.419662,1012.20935,10.626601,136.29208,0.0
2025-03-20_13:00:00,0.0,29.211819,50.267365,1011.69714,9.43358,134.8784,0.0
2025-03-20_14:00:00,0.0,31.491825,42.48974,1011.04456,8.269377,117.78356,0.0
2025-03-20_15:00:00,0.0,32.893192,38.000008,1010.3376,7.9404078,82.74657,0.0
2025-03-20_16:00:00,0.0,33.781902,35.686745,1009.62317,5.5945597,63.79464,0.0
2025-03-20_17:00:00,0.0,34.50255,34.041904,1008.8744,3.5777538,41.962692,0.0
2025-03-20_18:00:00,0.0,35.09133,32.49044,1008.1875,2.959926,151.03613,0.0
2025-03-20_19:00:00,0.0,35.485947,31.060255,1007.9381,3.0819747,257.65167,0.0
2025-03-20_20:00:00,0.0,35.51963,30.619738,1007.8236,3.4944692,283.32407,0.0
2025-03-20_21:00:00,0.0,34.987526,31.966656,1007.93024,5.159362,276.59296,0.0
2025-03-20_22:00:00,0.0,30.339033,43.259033,1008.3341,8.657405,261.50546,0.0
2025-03-20_23:00:00,0.0,29.091852,46.40818,1008.5925,9.715831,254.35487,0.0
2025-03-21_00:00:00,0.0,28.324974,47.369698,1008.90173,7.980702,250.31097,0.0
2025-03-21_01:00:00,0.0,27.711683,48.51224,1008.68835,5.3952656,222.73996,0.0
2025-03-21_02:00:00,0.0,25.969809,53.45765,1008.80994,10.477039,172.06055,0.0
2025-03-21_03:00:00,0.0,25.799192,50.770554,1008.8522,11.485792,163.95285,0.0
2025-03-21_04:00:00,0.0,26.436636,48.424656,1008.7667,12.238443,148.85315,0.0
2025-03-21_05:00:00,0.0,26.554478,46.594654,1008.7241,13.951813,129.47014,0.0
2025-03-21_06:00:00,0.0,26.949623,44.258797,1008.6682,16.276781,104.62801,0.0
