Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.61854,54.70233,1019.462,8.668988,192.43793,0.0
2025-03-20_01:00:00,0.0,20.709959,65.11623,1019.47815,9.991922,219.31894,0.0
2025-03-20_02:00:00,0.0,19.72147,67.6099,1019.62195,10.074395,222.82675,0.0
2025-03-20_03:00:00,0.0,19.081268,72.59297,1019.94257,8.067002,196.38867,0.0
2025-03-20_04:00:00,0.0,18.994814,75.63164,1020.23303,6.1113544,172.8129,0.0
2025-03-20_05:00:00,0.0,18.581976,77.67546,1020.1839,8.8012705,174.48407,0.0
2025-03-20_06:00:00,0.0,18.250444,78.998085,1020.374,10.463648,171.30785,0.0
2025-03-20_07:00:00,0.0,17.67731,81.34018,1021.2072,9.4656515,102.51967,0.0
2025-03-20_08:00:00,0.0,17.345108,84.724724,1021.9192,9.879852,111.2659,0.0
2025-03-20_09:00:00,0.0,16.973196,87.820206,1022.5725,9.319282,88.24478,0.0
2025-03-20_10:00:00,0.0,17.420094,88.82233,1023.22235,9.072211,55.99292,0.0
2025-03-20_11:00:00,0.0,22.1911,71.15265,1022.9823,11.270301,45.280426,0.0
2025-03-20_12:00:00,0.0,25.066614,60.07882,1022.7339,17.18321,45.350555,0.0
2025-03-20_13:00:00,0.0,27.093773,51.104942,1022.07306,17.989538,44.66622,0.0
2025-03-20_14:00:00,0.0,29.06819,44.07901,1021.22186,17.673073,40.086983,0.0
2025-03-20_15:00:00,0.0,30.6778,38.83162,1020.32837,16.69543,38.28583,0.0
2025-03-20_16:00:00,0.0,31.868689,34.148018,1019.45605,14.026389,42.825523,0.0
2025-03-20_17:00:00,0.0,32.776173,29.360884,1018.69653,11.910005,55.506535,0.0
2025-03-20_18:00:00,0.0,33.410423,25.13047,1018.00183,9.546271,79.19919,0.0
2025-03-20_19:00:00,0.0,33.648376,23.864552,1017.79126,9.381278,112.15935,0.0
2025-03-20_20:00:00,0.0,33.424664,25.976463,1017.7853,10.883618,117.91746,0.0
2025-03-20_21:00:00,0.0,32.1986,29.811253,1018.05524,12.367823,129.44098,0.0
