Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.332975,53.73703,1015.21857,6.1390204,152.09053,0.0
2025-03-20_01:00:00,0.0,23.415161,56.17886,1014.9668,6.5616217,175.63133,0.0
2025-03-20_02:00:00,0.021678765103085123,22.739508,58.542694,1015.2557,6.910221,144.6278,0.0
2025-03-20_03:00:00,0.01728262786430908,21.962456,61.31657,1015.9428,5.421615,132.99146,0.0
2025-03-20_04:00:00,5.979090929031372e-06,20.709127,65.510735,1015.9217,6.7708874,160.13933,0.0
2025-03-20_05:00:00,0.0,19.720385,69.87133,1016.3286,7.094921,123.53742,0.0
2025-03-20_06:00:00,0.0,18.912893,74.10154,1016.708,6.6201105,90.39923,0.0
2025-03-20_07:00:00,0.0,18.492104,76.25106,1017.1873,6.2908063,129.74953,0.0
2025-03-20_08:00:00,0.0,18.100779,79.14925,1017.9632,8.3222885,91.294136,0.0
2025-03-20_09:00:00,0.0,18.803251,81.148994,1018.4333,12.521146,78.51928,0.0
2025-03-20_10:00:00,0.0,19.590395,83.566696,1018.8665,14.913821,76.95141,0.0
2025-03-20_11:00:00,0.0,22.409088,70.31217,1018.95074,20.726648,70.697395,0.0
2025-03-20_12:00:00,0.0,24.481585,60.741028,1018.8281,20.727848,63.72968,0.0
2025-03-20_13:00:00,0.0,26.474325,53.45763,1018.2343,19.637949,59.44876,0.0
2025-03-20_14:00:00,0.0,28.294716,47.478863,1017.3985,18.294193,57.365574,0.0
2025-03-20_15:00:00,0.0,29.866182,42.231647,1016.51874,16.475763,58.804493,0.0
2025-03-20_16:00:00,0.0,31.220724,36.16657,1015.5771,14.456918,64.24119,0.0
2025-03-20_17:00:00,0.0,32.190407,31.237017,1014.69507,13.39185,70.58598,0.0
2025-03-20_18:00:00,0.0,32.875046,27.910797,1014.0073,13.374322,73.59954,0.0
2025-03-20_19:00:00,0.0,33.322674,24.68351,1013.7839,12.729287,75.04492,0.0
2025-03-20_20:00:00,0.0,33.33489,23.84758,1013.7229,11.428718,74.94331,0.0
2025-03-20_21:00:00,0.0,32.6462,27.005821,1013.98944,11.404176,66.7808,0.0
2025-03-20_22:00:00,0.0,28.276314,36.428658,1014.83417,8.868946,60.87106,0.0
2025-03-20_23:00:00,0.0,27.16368,38.65146,1015.13666,7.7454004,34.184822,0.0
2025-03-21_00:00:00,0.0,26.467072,39.58392,1015.46405,6.689421,33.179096,0.0
2025-03-21_01:00:00,0.0,25.836939,41.07327,1015.36505,6.8044915,48.829845,0.0
2025-03-21_02:00:00,0.0,25.293106,45.20165,1015.70905,11.493528,106.21923,0.0
2025-03-21_03:00:00,0.0,25.261415,40.50814,1015.7253,13.798283,97.2963,0.0
2025-03-21_04:00:00,0.0,24.402586,43.542377,1015.8657,15.69532,85.560646,0.0
2025-03-21_05:00:00,0.0,22.410437,50.64255,1016.243,12.526656,78.88758,0.0
2025-03-21_06:00:00,0.0,21.648752,54.6657,1016.2841,12.887791,64.161255,0.0
2025-03-21_07:00:00,0.0,21.617525,56.348415,1016.67523,14.885031,59.52905,0.0
2025-03-21_08:00:00,0.0,20.626862,61.92569,1017.5136,14.769312,60.40306,0.0
2025-03-21_09:00:00,0.0,19.167849,69.67403,1018.3405,13.537308,67.39541,0.0
2025-03-21_10:00:00,0.0,20.069786,69.325836,1018.7907,15.713855,63.205032,0.0
2025-03-21_11:00:00,0.0,22.712843,61.688335,1018.8762,20.872643,62.878086,0.0
2025-03-21_12:00:00,0.0,25.091196,52.763275,1018.9033,25.554253,56.873096,0.0
2025-03-21_13:00:00,0.0,27.545633,44.85084,1018.0047,24.525372,58.82175,0.0
2025-03-21_14:00:00,0.0,29.817286,38.237297,1016.934,21.387985,59.08315,0.0
2025-03-21_15:00:00,0.0,31.60022,30.923296,1015.83057,17.155807,61.082592,0.0
2025-03-21_16:00:00,0.0,32.634567,25.865,1014.77295,11.974252,62.87813,0.0
2025-03-21_17:00:00,0.0,33.340733,23.768381,1013.7546,9.01823,69.63056,0.0
2025-03-21_18:00:00,0.0,33.98022,22.093704,1012.95386,8.156386,82.39503,0.0
2025-03-21_19:00:00,0.0,34.37795,20.84675,1012.74243,11.065729,102.715126,0.0
2025-03-21_20:00:00,0.0,34.219707,19.647696,1012.80304,13.251227,121.42959,0.0
2025-03-21_21:00:00,0.0,33.392586,19.200739,1012.9397,11.752445,125.284485,0.0
2025-03-21_22:00:00,0.0,28.914019,23.978851,1013.77765,12.433027,122.56806,0.0
2025-03-21_23:00:00,0.0,27.39675,27.116821,1014.1294,11.388408,118.84259,0.0
2025-03-22_00:00:00,0.0,26.35607,28.649002,1014.64795,11.278671,106.87739,0.0
2025-03-22_01:00:00,0.0,26.23541,26.665037,1014.34894,15.477477,115.44916,0.0
2025-03-22_02:00:00,0.0,25.684237,26.29275,1014.65845,17.496346,103.11965,0.0
2025-03-22_03:00:00,0.0,24.625496,28.597855,1014.8598,18.326908,99.60943,0.0
2025-03-22_04:00:00,0.0,23.95346,32.74068,1014.86945,17.965052,89.88796,0.0
2025-03-22_05:00:00,0.0,23.436203,35.931534,1014.8894,16.764574,81.66152,0.0
2025-03-22_06:00:00,0.0,22.75969,39.235153,1014.83856,15.26375,72.52043,0.0
2025-03-22_07:00:00,0.0,22.486517,41.566696,1015.05585,15.98022,64.83984,0.0
2025-03-22_08:00:00,0.0,22.523157,42.0078,1015.5197,19.141176,42.69235,0.0
2025-03-22_09:00:00,0.0,22.390297,43.816925,1015.9214,21.399422,47.26405,0.0
2025-03-22_10:00:00,0.0,23.225569,44.919315,1016.0632,19.925585,56.880417,0.0
2025-03-22_11:00:00,0.0,25.096428,43.877518,1015.9754,22.18203,57.28332,0.0
2025-03-22_12:00:00,0.0,27.197372,42.82691,1015.70917,24.759598,57.575226,0.0
2025-03-22_13:00:00,0.0,29.43604,39.99583,1014.67267,23.45838,54.40291,0.0
2025-03-22_14:00:00,0.0,31.901802,35.04275,1013.4402,21.70665,51.568054,0.0
2025-03-22_15:00:00,0.0,33.666996,31.61734,1012.19244,19.925499,43.576374,0.0
2025-03-22_16:00:00,0.0,34.960342,28.55602,1010.86066,16.776457,33.050518,0.0
