Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.832594,63.56858,1008.2886,3.6706476,144.81105,0.0
2025-03-20_01:00:00,0.0,22.7348,73.05538,1007.97375,6.663718,164.60468,0.0
2025-03-20_02:00:00,0.0,22.270588,74.2831,1008.25635,7.0152583,156.8795,0.0
2025-03-20_03:00:00,0.0,21.79083,76.8105,1008.42914,9.004236,204.98792,0.0
2025-03-20_04:00:00,0.0,20.893038,81.44798,1008.44763,9.062907,189.03806,0.0
2025-03-20_05:00:00,0.0,20.248392,83.47418,1008.5093,9.536942,185.88129,0.0
2025-03-20_06:00:00,0.0,19.991491,81.56835,1008.41235,8.803366,176.95514,0.0
2025-03-20_07:00:00,0.0,20.146618,75.23095,1008.88666,8.781597,131.94534,0.0
2025-03-20_08:00:00,0.0,20.585754,68.23333,1009.47906,9.879821,121.63817,0.0
2025-03-20_09:00:00,0.0,20.194353,68.83751,1009.721,8.437157,151.85928,0.0
2025-03-20_10:00:00,0.0,20.000343,68.4465,1010.09204,8.544495,162.50803,0.0
2025-03-20_11:00:00,0.0,24.689983,53.998657,1010.11633,6.540803,132.83487,0.0
2025-03-20_12:00:00,0.0,27.783928,47.735954,1009.92865,11.530458,106.78052,0.0
2025-03-20_13:00:00,0.0,30.241188,43.760475,1009.31885,13.954482,86.18465,0.0
2025-03-20_14:00:00,0.0,31.984482,39.495033,1008.69653,14.717403,75.182724,0.0
2025-03-20_15:00:00,0.0,33.214565,34.935852,1007.9265,11.667489,75.73364,0.0
2025-03-20_16:00:00,0.0,34.107765,31.653868,1007.10114,9.168557,79.2715,0.0
2025-03-20_17:00:00,0.0,34.798744,29.722696,1006.3209,8.049214,87.67187,0.0
2025-03-20_18:00:00,0.0,35.372982,27.371822,1005.65,6.837879,105.11995,0.0
2025-03-20_19:00:00,0.0,35.74944,25.39058,1005.43164,6.490583,142.3634,0.0
2025-03-20_20:00:00,0.0,35.78762,24.789413,1005.35034,7.0823894,129.81247,0.0
2025-03-20_21:00:00,9.678203696239507e-07,35.25939,26.108486,1005.514,7.027236,136.40927,0.0
2025-03-20_22:00:00,1.123347828979604e-06,30.471031,35.047146,1006.1061,7.9381695,135.76752,0.0
2025-03-20_23:00:00,0.0,29.29917,36.322426,1006.4721,9.393915,133.33688,0.0
2025-03-21_00:00:00,0.0,28.018827,35.52375,1006.90924,10.158551,123.79091,0.0
2025-03-21_01:00:00,0.0,27.889944,37.36307,1006.8552,7.3904667,138.0217,0.0
2025-03-21_02:00:00,0.0,26.97644,39.263016,1006.9696,6.1168003,176.56064,0.0
2025-03-21_03:00:00,0.001726208567561116,27.316536,39.79165,1006.94965,5.5589027,118.66232,0.0
2025-03-21_04:00:00,0.005108507882141566,26.89454,41.67722,1007.127,8.116346,108.59467,0.0
2025-03-21_05:00:00,5.804406100651249e-05,26.171694,43.262424,1007.181,6.538749,118.651855,0.0
2025-03-21_06:00:00,0.0,25.09681,43.92563,1007.4073,10.133285,80.92824,0.0
2025-03-21_07:00:00,0.0,25.452744,39.794186,1007.79596,14.261669,83.4252,0.0
2025-03-21_08:00:00,0.0,24.890415,39.012344,1008.3174,13.236706,78.10814,0.0
2025-03-21_09:00:00,0.0,24.527481,41.51074,1008.8335,13.652865,82.807076,0.0
2025-03-21_10:00:00,0.0,24.626526,42.825012,1009.2772,14.289331,91.36985,0.0
2025-03-21_11:00:00,0.0,28.371,35.49983,1009.29553,19.620327,83.78084,0.0
2025-03-21_12:00:00,0.0,30.576845,32.087433,1009.20087,21.463758,74.58337,0.0
2025-03-21_13:00:00,0.0,32.754517,29.65715,1008.47095,21.933668,67.558105,0.0
2025-03-21_14:00:00,0.0,34.493687,27.360657,1007.7346,17.387644,52.403275,0.0
2025-03-21_15:00:00,0.0,35.302246,24.314394,1006.9066,13.525674,47.928925,0.0
2025-03-21_16:00:00,0.0,36.00032,21.906895,1005.93164,10.337956,51.56624,0.0
2025-03-21_17:00:00,0.0,36.623566,20.161556,1005.0587,8.75909,78.137665,0.0
2025-03-21_18:00:00,0.0005088223260827363,36.752625,20.6204,1004.3995,9.068244,62.76719,0.0
