Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.821077,55.68944,1013.7595,3.4418697,285.52856,0.0
2025-03-20_01:00:00,0.0,23.901968,60.4859,1013.70685,2.6218836,295.46844,0.0
2025-03-20_02:00:00,0.0,23.097532,62.746326,1013.6329,4.2734065,221.83832,0.0
2025-03-20_03:00:00,0.0,21.722702,68.22935,1014.081,5.828438,174.7486,0.0
2025-03-20_04:00:00,0.0,20.72763,72.52492,1014.7515,8.547241,157.09323,0.0
2025-03-20_05:00:00,0.0,19.899277,75.65775,1014.7696,6.580339,187.92299,0.0
2025-03-20_06:00:00,0.0,19.47515,75.028175,1014.855,5.608038,157.62865,0.0
2025-03-20_07:00:00,0.0,19.15336,74.05186,1015.60516,7.0308104,130.6318,0.0
2025-03-20_08:00:00,0.0,18.515451,75.993835,1016.34235,8.185443,109.051414,0.0
2025-03-20_09:00:00,0.0,18.055643,80.94259,1016.9167,8.743162,96.78124,0.0
2025-03-20_10:00:00,0.0,18.17202,83.33695,1017.2309,8.851246,88.40164,0.0
2025-03-20_11:00:00,0.0,22.367128,69.30135,1016.90283,12.642406,90.57822,0.0
2025-03-20_12:00:00,0.0,25.1884,61.420246,1016.6043,16.166466,80.36237,0.0
2025-03-20_13:00:00,0.0,27.63856,54.28857,1015.81396,15.582796,76.79857,0.0
2025-03-20_14:00:00,0.0,29.537092,47.84834,1015.01373,14.626277,83.36558,0.0
2025-03-20_15:00:00,0.0,31.010939,40.85201,1014.1087,13.601344,91.549065,0.0
2025-03-20_16:00:00,0.0,32.017605,35.277744,1013.1963,11.5816,99.66563,0.0
2025-03-20_17:00:00,0.0,32.60973,32.768337,1012.47797,10.914425,102.40277,0.0
2025-03-20_18:00:00,0.0,33.096226,30.882729,1011.8046,9.603495,108.9233,0.0
2025-03-20_19:00:00,0.0,33.479725,30.11962,1011.5795,13.098418,127.69406,0.0
2025-03-20_20:00:00,0.0,33.10833,29.743284,1011.6839,12.696163,122.47693,0.0
2025-03-20_21:00:00,0.0,32.6914,29.565702,1012.0196,12.778551,119.417885,0.0
