Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.333393,55.07915,1013.9216,5.9439425,183.47159,0.0
2025-03-20_01:00:00,0.0,22.498774,62.04375,1014.2938,8.300556,154.70717,0.0
2025-03-20_02:00:00,0.0,22.353525,61.891983,1014.23615,9.204592,132.4935,0.0
2025-03-20_03:00:00,0.0,21.750277,64.73491,1014.47266,8.019163,121.80762,0.0
2025-03-20_04:00:00,0.0,21.277206,68.53572,1014.63873,8.039022,91.83864,0.0
2025-03-20_05:00:00,0.0,20.35968,71.802536,1015.02844,9.116904,127.669235,0.0
2025-03-20_06:00:00,0.0,19.514582,78.74695,1015.44324,9.359643,115.399025,0.0
2025-03-20_07:00:00,0.0,19.650286,85.70576,1015.8412,10.736122,95.17665,0.0
2025-03-20_08:00:00,0.0,19.880531,87.70403,1016.48816,13.331974,85.79899,0.0
2025-03-20_09:00:00,0.0,19.672522,88.86023,1016.9865,15.166605,82.3174,0.0
2025-03-20_10:00:00,0.0,19.713356,87.79953,1017.56586,16.758657,83.79432,0.0
2025-03-20_11:00:00,0.0,22.013353,74.31344,1017.6628,21.839088,81.60554,0.0
2025-03-20_12:00:00,0.0,24.380848,63.064404,1017.54047,21.412521,80.16878,0.0
2025-03-20_13:00:00,0.0,26.524904,54.92697,1016.8919,19.178793,81.38956,0.0
2025-03-20_14:00:00,0.0,28.416908,48.145523,1016.0826,16.868422,84.021805,0.0
2025-03-20_15:00:00,0.0,29.993055,42.012814,1015.12384,15.196607,92.38539,0.0
2025-03-20_16:00:00,0.0,31.201628,36.21689,1014.2472,14.79652,104.05806,0.0
2025-03-20_17:00:00,0.0,32.027756,32.019657,1013.4663,15.673993,112.97688,0.0
2025-03-20_18:00:00,0.0,32.535767,29.525879,1012.8345,15.967251,118.19929,0.0
2025-03-20_19:00:00,0.0,32.75918,28.15449,1012.69556,15.443124,122.956924,0.0
2025-03-20_20:00:00,0.0,32.64068,26.985,1012.728,14.882784,125.57681,0.0
