Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.902502,50.145096,1012.3786,6.8479776,198.12463,0.0
2025-03-20_01:00:00,0.0,23.135572,60.28006,1012.6432,8.234081,155.1622,0.0
2025-03-20_02:00:00,0.0,22.476757,62.069756,1012.38446,9.481652,159.18648,0.0
2025-03-20_03:00:00,0.0,21.364933,67.1951,1013.3838,8.551123,125.18408,0.0
2025-03-20_04:00:00,0.0,20.38802,72.75566,1013.6262,8.529959,150.61557,0.0
2025-03-20_05:00:00,0.0,20.403461,74.218765,1013.57007,9.260497,129.17886,0.0
2025-03-20_06:00:00,0.0,20.442028,75.24517,1013.7208,10.22684,105.231316,0.0
2025-03-20_07:00:00,0.0,20.317396,75.84204,1014.30994,11.149603,92.77727,0.0
2025-03-20_08:00:00,0.0,19.739511,80.91221,1015.17206,11.082978,94.77475,0.0
2025-03-20_09:00:00,0.0,19.038399,86.75566,1015.85,11.112449,102.31114,0.0
2025-03-20_10:00:00,0.0,19.047695,89.075745,1016.4856,12.179461,96.82718,0.0
2025-03-20_11:00:00,0.0,22.012312,76.32942,1016.55035,18.500914,83.93259,0.0
2025-03-20_12:00:00,0.0,24.18083,65.79959,1016.47186,18.761501,76.70032,0.0
2025-03-20_13:00:00,0.0,26.307919,57.484108,1015.815,17.525549,74.01561,0.0
2025-03-20_14:00:00,0.0,28.321747,50.515327,1014.9553,16.041279,73.593704,0.0
2025-03-20_15:00:00,0.0,30.029167,43.99639,1013.9977,14.41433,78.896866,0.0
2025-03-20_16:00:00,0.0,31.277145,38.333862,1013.1172,13.370119,90.701775,0.0
2025-03-20_17:00:00,0.0,32.101006,34.242382,1012.28625,12.834511,105.062485,0.0
2025-03-20_18:00:00,0.0,32.650307,31.383434,1011.61755,12.759779,116.605896,0.0
2025-03-20_19:00:00,0.0,32.948025,29.359432,1011.4088,12.549327,123.058304,0.0
2025-03-20_20:00:00,0.0,32.979324,27.000582,1011.36475,11.51882,121.12057,0.0
2025-03-20_21:00:00,0.0,32.14315,28.604313,1011.5938,9.405498,121.24015,0.0
2025-03-20_22:00:00,0.0,27.843397,36.635952,1012.39703,9.172185,105.13948,0.0
2025-03-20_23:00:00,0.0,26.764969,38.799644,1012.7244,10.783444,42.43803,0.0
2025-03-21_00:00:00,0.0,25.759108,39.32924,1013.0458,9.484868,46.0813,0.0
2025-03-21_01:00:00,0.0,24.878439,41.798016,1013.07355,9.075055,58.245964,0.0
2025-03-21_02:00:00,0.0,23.723255,46.447823,1013.431,11.761285,105.52208,0.0
2025-03-21_03:00:00,0.0,23.383654,47.938805,1013.4728,14.134433,89.48729,0.0
2025-03-21_04:00:00,0.0,22.6653,47.53572,1013.6917,13.930794,75.76497,0.0
2025-03-21_05:00:00,0.0,21.71869,52.458237,1013.89233,13.0956,77.864395,0.0
2025-03-21_06:00:00,0.0,20.24169,60.94849,1014.06506,11.556766,75.363266,0.0
2025-03-21_07:00:00,0.0,19.537277,68.77208,1014.70886,12.512862,68.73342,0.0
2025-03-21_08:00:00,0.0,19.521341,74.63556,1015.2258,14.242564,76.412476,0.0
2025-03-21_09:00:00,0.0,19.368181,77.76457,1015.8528,15.016758,81.38183,0.0
2025-03-21_10:00:00,0.0,20.339582,74.21867,1016.3131,16.339058,83.49429,0.0
2025-03-21_11:00:00,0.0,22.883865,64.83049,1016.63385,19.772661,68.76837,0.0
2025-03-21_12:00:00,0.0,25.288586,56.424156,1016.4832,19.783228,71.76245,0.0
2025-03-21_13:00:00,0.0,27.597204,49.479164,1015.5753,18.759985,75.08364,0.0
2025-03-21_14:00:00,0.0,29.764252,42.740353,1014.5541,17.509972,73.163155,0.0
2025-03-21_15:00:00,0.0,31.550463,36.08103,1013.39,15.426202,72.907166,0.0
2025-03-21_16:00:00,0.0,32.687202,30.612389,1012.2689,10.064536,80.99566,0.0
2025-03-21_17:00:00,0.0,33.32614,28.396492,1011.3235,7.9744253,111.485054,0.0
2025-03-21_18:00:00,0.0,33.642418,27.370724,1010.58606,10.430486,137.2199,0.0
2025-03-21_19:00:00,0.0,33.88587,26.429977,1010.44025,10.587847,140.04626,0.0
2025-03-21_20:00:00,0.0,33.6958,25.919258,1010.49304,12.03282,136.81909,0.0
2025-03-21_21:00:00,0.0,32.196556,27.399555,1010.7849,10.528313,134.40953,0.0
2025-03-21_22:00:00,0.0,28.72913,28.624348,1011.3116,12.347635,133.71413,0.0
2025-03-21_23:00:00,0.0,27.552052,26.422241,1011.6697,11.820519,134.20688,0.0
2025-03-22_00:00:00,0.0,26.733355,28.742186,1012.04736,12.252451,127.244354,0.0
2025-03-22_01:00:00,0.0,26.119894,30.50201,1011.67053,12.895871,125.06897,0.0
2025-03-22_02:00:00,0.0,25.12924,34.843628,1012.1029,14.671135,116.381714,0.0
2025-03-22_03:00:00,0.0,23.949379,34.308144,1012.197,13.832863,113.93054,0.0
2025-03-22_04:00:00,0.0,22.840853,39.340424,1012.4668,12.538708,106.98137,0.0
2025-03-22_05:00:00,0.0,22.218426,42.156933,1012.5853,12.21347,90.49565,0.0
2025-03-22_06:00:00,0.0,21.937872,43.145332,1012.598,12.958254,71.94253,0.0
2025-03-22_07:00:00,0.0,21.752195,45.099663,1013.0947,13.535197,55.356766,0.0
2025-03-22_08:00:00,0.0,22.86196,45.509026,1013.3705,14.6894245,55.0697,0.0
2025-03-22_09:00:00,0.0,21.231955,53.021477,1013.76306,10.915235,66.86575,0.0
2025-03-22_10:00:00,0.0,22.385426,51.357346,1013.83777,11.120487,73.08702,0.0
2025-03-22_11:00:00,0.0,25.203365,48.017776,1013.6883,18.750639,62.466278,0.0
2025-03-22_12:00:00,0.0,27.306602,46.198517,1013.412,19.42791,62.831177,0.0
2025-03-22_13:00:00,0.0,30.008379,41.388443,1012.2973,19.157896,60.966087,0.0
2025-03-22_14:00:00,0.0,32.14324,37.0942,1011.1233,17.609728,50.20777,0.0
2025-03-22_15:00:00,0.0,33.983078,34.132465,1009.7273,17.310389,35.92125,0.0
2025-03-22_16:00:00,0.0,35.154922,31.043213,1008.37805,16.073372,27.940788,0.0
2025-03-22_17:00:00,0.004513731093538809,35.378082,30.839024,1007.15576,14.170813,26.949322,0.0
2025-03-22_18:00:00,0.004085179517460347,35.626793,29.936264,1006.58685,11.830126,53.132233,0.0
2025-03-22_19:00:00,0.020107645039388444,32.396523,41.77187,1007.2335,18.168783,136.95093,0.0
2025-03-22_20:00:00,0.01680779899470508,31.846998,44.390224,1007.59216,15.612963,111.64377,0.0
2025-03-22_21:00:00,0.00012163410428911448,31.751846,44.345898,1007.523,13.231391,113.45734,0.0
2025-03-22_22:00:00,0.0009391307830810547,29.74243,48.74469,1008.20667,11.412228,139.36578,0.0
2025-03-22_23:00:00,1.0160517706535757,22.80138,78.82941,1013.7065,29.671103,316.86572,0.0
2025-03-23_00:00:00,6.427379697561264,22.512491,83.115654,1012.47925,23.573837,227.30904,0.0
