Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.051466,80.99859,1009.0078,5.7648025,76.12105,0.0
2025-03-20_01:00:00,0.0,21.474989,83.72165,1009.0073,6.180272,47.209183,0.0
2025-03-20_02:00:00,0.0,21.083004,85.85829,1009.24146,6.382048,48.87755,0.0
2025-03-20_03:00:00,0.0,20.598864,89.134865,1009.34564,4.3093457,55.584846,0.0
2025-03-20_04:00:00,0.0,20.227667,91.347244,1009.39014,3.335679,27.638481,0.0
2025-03-20_05:00:00,0.0,19.993181,92.27708,1009.67004,1.9407644,91.270645,0.0
2025-03-20_06:00:00,0.0,19.590279,93.56119,1009.7783,2.4057071,76.022415,0.0
2025-03-20_07:00:00,0.0,19.235514,94.704765,1010.3062,2.4706655,71.03584,0.0
2025-03-20_08:00:00,0.0,19.042633,95.05535,1010.7183,1.5390363,150.97156,0.0
2025-03-20_09:00:00,0.0,18.553997,96.09445,1011.1256,3.0055263,178.42557,0.0
2025-03-20_10:00:00,0.0,19.522812,95.70557,1011.35565,4.0124044,191.23099,0.0
2025-03-20_11:00:00,0.0,22.630247,80.670494,1011.1898,4.03408,180.16513,0.0
2025-03-20_12:00:00,0.0,25.465721,69.49934,1010.90875,6.371395,126.45496,0.0
2025-03-20_13:00:00,0.0,27.432295,61.6544,1010.1606,8.297484,113.090576,0.0
2025-03-20_14:00:00,0.0,29.223063,54.122887,1009.2507,7.639223,131.19724,0.0
2025-03-20_15:00:00,0.0,30.92675,46.203636,1008.2966,9.242259,148.92184,0.0
2025-03-20_16:00:00,0.0,32.197945,40.225586,1007.37756,10.834734,153.47508,0.0
2025-03-20_17:00:00,0.0,33.07306,36.272987,1006.53394,11.196489,153.41565,0.0
2025-03-20_18:00:00,1.862954923126381e-05,33.65343,33.810722,1005.7601,11.5499525,152.82455,0.0
2025-03-20_19:00:00,7.569999434053898e-05,33.942844,32.56363,1005.59265,12.021829,144.20831,0.0
2025-03-20_20:00:00,0.0,33.743446,33.18035,1005.8717,12.376528,122.466606,0.0
2025-03-20_21:00:00,0.00013242600834928453,32.150726,39.89451,1006.27686,15.307955,93.91534,0.0
2025-03-20_22:00:00,0.0,28.902199,48.835503,1007.1664,13.627382,83.34175,0.0
2025-03-20_23:00:00,0.005089728481834754,27.062418,56.003746,1008.14154,10.164019,61.586937,0.0
2025-03-21_00:00:00,0.003755547193577513,26.143114,61.038013,1008.6612,8.69142,37.465088,0.0
2025-03-21_01:00:00,0.00015702680684626102,25.474722,65.654175,1008.8109,9.708826,71.999504,0.0
2025-03-21_02:00:00,0.0054943581781117246,24.529644,74.078735,1009.1747,11.596451,339.7981,0.0
2025-03-21_03:00:00,0.0,23.445934,80.42871,1009.39496,11.291283,325.58044,0.0
2025-03-21_04:00:00,0.0,22.539711,84.22832,1009.41876,8.127145,319.53082,0.0
2025-03-21_05:00:00,0.0,21.967442,87.637924,1009.42035,5.310481,295.4723,0.0
2025-03-21_06:00:00,0.0,21.560764,89.87467,1009.54407,4.514816,198.23273,0.0
2025-03-21_07:00:00,0.0,21.149752,91.46481,1010.21686,8.351341,148.90848,0.0
2025-03-21_08:00:00,0.0,20.915525,91.33,1010.59045,9.198615,165.1868,0.0
2025-03-21_09:00:00,0.0,20.74386,84.6672,1010.86224,9.609608,165.46613,0.0
2025-03-21_10:00:00,0.0,22.655825,70.364975,1010.9447,10.892945,148.68427,0.0
2025-03-21_11:00:00,0.0,25.317007,63.00888,1010.9447,9.908315,126.178894,0.0
2025-03-21_12:00:00,0.0,27.491194,57.256195,1010.9074,9.570099,103.98892,0.0
2025-03-21_13:00:00,0.0,29.449352,51.008068,1009.99414,10.076755,91.90524,0.0
2025-03-21_14:00:00,0.0,30.983408,45.28964,1009.0355,10.495268,85.51491,0.0
2025-03-21_15:00:00,0.0,32.283943,41.104694,1008.07117,9.684771,89.78168,0.0
2025-03-21_16:00:00,0.0,33.32139,37.784016,1007.04987,9.154117,89.83716,0.0
2025-03-21_17:00:00,0.0006440055112761911,33.918396,35.659805,1006.0825,9.133826,99.383484,0.0
2025-03-21_18:00:00,0.0006140397053968627,34.25583,34.501938,1005.083,12.729497,131.41658,0.0
2025-03-21_19:00:00,7.973326137289405e-05,34.2839,34.19663,1004.9066,16.244621,131.79057,0.0
2025-03-21_20:00:00,0.03150304306473117,32.93429,38.69835,1005.45306,17.654316,116.88109,0.0
2025-03-21_21:00:00,3.8776154847000726,26.385525,68.89744,1007.9983,27.21435,253.12851,0.0
2025-03-21_22:00:00,0.638798009371385,27.21782,63.409504,1007.11646,6.8316326,30.35844,0.0
2025-03-21_23:00:00,0.009989086305722594,27.264524,63.59219,1008.13904,8.045256,21.298271,0.0
2025-03-22_00:00:00,1.152237189700827,24.590714,79.68559,1009.9794,26.175116,320.35257,0.0
2025-03-22_01:00:00,1.8282313970848918,24.764841,76.31065,1009.20123,22.775637,314.8387,0.0
2025-03-22_02:00:00,0.24578087031841278,26.101112,69.003624,1008.32635,9.93332,321.35828,0.0
2025-03-22_03:00:00,0.03528312407433987,24.7991,73.86256,1008.3179,11.5086,41.783783,0.0
2025-03-22_04:00:00,0.0035680141299962997,23.685764,82.218834,1008.6731,12.123585,52.471283,0.0
2025-03-22_05:00:00,0.008385224267840385,23.495277,82.53489,1008.81116,10.625536,48.601192,0.0
2025-03-22_06:00:00,0.015235859900712967,23.652245,82.30607,1008.985,10.289568,46.701088,0.0
2025-03-22_07:00:00,0.013734456151723862,22.595957,87.9218,1009.6137,8.101979,47.36474,0.0
2025-03-22_08:00:00,0.010227063670754433,21.996143,90.9536,1010.0118,7.460748,55.46301,0.0
2025-03-22_09:00:00,0.0007842481136322021,21.469826,93.61285,1010.47003,6.527438,54.56948,0.0
2025-03-22_10:00:00,0.0,22.830471,87.67445,1010.69617,5.6630855,26.829048,0.0
2025-03-22_11:00:00,0.0018236301839351654,24.89805,80.87785,1010.6229,5.1679983,44.751907,0.0
2025-03-22_12:00:00,0.0005268920212984085,27.11632,71.8214,1010.3991,8.336592,26.326855,0.0
2025-03-22_13:00:00,0.00015035085380077362,28.882406,64.36481,1009.4252,8.862272,8.962402,0.0
2025-03-22_14:00:00,2.3990869522094727e-06,30.544641,56.69536,1008.2982,9.389356,244.81386,0.0
2025-03-22_15:00:00,0.0,31.965937,50.203312,1007.0382,9.313405,196.59149,0.0
2025-03-22_16:00:00,0.0,33.0718,44.24659,1005.52637,8.241141,179.38947,0.0
2025-03-22_17:00:00,0.00036570802330970764,33.69081,42.295197,1004.4116,10.10491,61.514103,0.0
2025-03-22_18:00:00,0.7167664840817451,29.3021,56.860558,1004.7855,21.41145,97.58092,0.0
2025-03-22_19:00:00,0.01586238667368889,32.650223,45.980034,1003.9198,17.951698,32.600235,0.0
2025-03-22_20:00:00,0.0,33.163902,44.96679,1003.7307,17.28088,49.270397,0.0
2025-03-22_21:00:00,0.005535554140806198,31.969795,48.61672,1004.2855,18.83097,54.4005,0.0
2025-03-22_22:00:00,0.037695445120334625,25.6232,74.475235,1006.90515,31.299107,200.53145,0.0
2025-03-22_23:00:00,0.27934709936380386,27.01497,63.982628,1006.0222,12.447312,14.363062,0.0
2025-03-23_00:00:00,0.05892108380794525,26.25979,72.68065,1007.72546,6.8036366,196.23508,0.0
