Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.990396,51.18994,1019.6607,5.6409683,117.47276,0.0
2025-03-20_01:00:00,0.0,21.612743,54.931046,1020.1296,11.371996,122.25258,0.0
2025-03-20_02:00:00,0.0,21.029516,56.667095,1019.5823,10.463312,118.94455,0.0
2025-03-20_03:00:00,0.0,20.459696,57.850655,1020.02563,9.1345825,139.51248,0.0
2025-03-20_04:00:00,0.0,19.905478,57.91629,1020.2064,9.710483,141.60977,0.0
2025-03-20_05:00:00,0.0,19.54484,58.06183,1020.29816,10.005095,116.09452,0.0
2025-03-20_06:00:00,0.0,18.984318,59.90848,1020.60925,10.327004,91.23775,0.0
2025-03-20_07:00:00,0.0,18.563179,61.844765,1021.047,9.979777,81.20323,0.0
2025-03-20_08:00:00,0.0,18.44154,61.40416,1021.51,10.22383,88.03926,0.0
2025-03-20_09:00:00,0.0,18.564613,61.087856,1022.00854,13.117128,80.33294,0.0
2025-03-20_10:00:00,0.0,18.045628,66.21011,1022.6317,15.582304,70.96843,0.0
2025-03-20_11:00:00,0.0,21.004381,59.48867,1022.4429,16.202602,63.645885,0.0
2025-03-20_12:00:00,0.0,23.422935,54.28585,1022.26984,20.531916,59.623665,0.0
2025-03-20_13:00:00,0.0,26.34097,52.15226,1021.43445,22.121655,48.899467,0.0
2025-03-20_14:00:00,0.0,28.710052,47.612194,1020.6074,20.094736,45.411076,0.0
2025-03-20_15:00:00,0.0,30.201107,41.917168,1019.8711,14.57727,42.514137,0.0
2025-03-20_16:00:00,0.0,31.208576,36.86561,1019.07,11.138661,44.160156,0.0
2025-03-20_17:00:00,0.0,31.927221,33.701637,1018.35547,9.417534,50.102936,0.0
2025-03-20_18:00:00,0.0,32.48225,31.563662,1017.6777,8.476241,56.45137,0.0
2025-03-20_19:00:00,0.0,32.829147,30.37006,1017.3826,8.795395,67.404175,0.0
2025-03-20_20:00:00,0.0,32.79492,30.441147,1017.2677,10.906912,83.764366,0.0
2025-03-20_21:00:00,3.210563227185048e-05,31.908653,31.96162,1017.47864,9.58233,94.790344,0.0
2025-03-20_22:00:00,4.602470212944354e-05,29.220106,38.28808,1018.1872,13.161476,116.62561,0.0
2025-03-20_23:00:00,0.00010512190101508168,27.367071,42.49809,1018.7628,15.289942,119.6537,0.0
2025-03-21_00:00:00,0.0,26.017183,44.450462,1019.1546,13.909746,110.25422,0.0
2025-03-21_01:00:00,0.0,25.385904,44.013374,1019.0888,13.401642,104.81607,0.0
2025-03-21_02:00:00,0.0,24.712029,45.12047,1019.19183,13.449649,89.10281,0.0
2025-03-21_03:00:00,0.0,23.94831,48.057022,1019.2749,13.871235,88.57768,0.0
2025-03-21_04:00:00,0.0,23.881767,48.63584,1019.281,16.28654,80.40536,0.0
2025-03-21_05:00:00,0.0,23.585972,48.757744,1019.3297,18.457521,70.16658,0.0
2025-03-21_06:00:00,0.0,22.90805,50.679287,1019.4425,18.30716,58.34726,0.0
2025-03-21_07:00:00,0.0,22.549442,51.34115,1020.0066,18.491095,56.468494,0.0
2025-03-21_08:00:00,0.0,22.019062,52.613503,1020.60254,17.390417,61.012486,0.0
2025-03-21_09:00:00,0.0,21.254673,55.250584,1021.2305,16.643559,59.40732,0.0
2025-03-21_10:00:00,0.0,21.185482,56.647144,1021.74414,16.834286,60.42476,0.0
2025-03-21_11:00:00,0.0,23.444332,50.6878,1021.85754,20.174017,53.40182,0.0
2025-03-21_12:00:00,0.0,25.756039,45.825275,1021.7357,21.429714,50.91359,0.0
2025-03-21_13:00:00,0.0,28.30766,40.092987,1020.9109,23.422419,47.22692,0.0
2025-03-21_14:00:00,0.0,30.148617,35.95372,1020.094,24.12165,42.026268,0.0
2025-03-21_15:00:00,0.0,31.59578,30.708202,1019.1625,20.720276,44.837975,0.0
2025-03-21_16:00:00,0.0,32.601437,26.452244,1018.2527,15.347438,47.05057,0.0
2025-03-21_17:00:00,0.0,33.230225,24.453972,1017.40186,12.4429245,53.915085,0.0
2025-03-21_18:00:00,0.0,33.647743,23.111305,1016.63257,10.099021,67.09599,0.0
2025-03-21_19:00:00,0.0,33.90956,22.481766,1016.3988,9.914953,78.58815,0.0
2025-03-21_20:00:00,0.0,33.777008,22.22115,1016.2939,10.987036,91.74646,0.0
2025-03-21_21:00:00,0.0,32.521473,23.744848,1016.5435,8.741498,95.298645,0.0
2025-03-21_22:00:00,0.0,28.357754,30.704327,1017.31934,13.888985,118.382835,0.0
2025-03-21_23:00:00,0.0,27.829752,28.876434,1017.6037,15.77659,117.127625,0.0
2025-03-22_00:00:00,0.0,26.882446,28.10819,1017.93036,14.380864,107.654724,0.0
2025-03-22_01:00:00,0.0,26.235016,27.899794,1017.80676,14.644832,95.97647,0.0
2025-03-22_02:00:00,0.0,25.792507,27.536442,1017.75256,17.076794,83.26051,0.0
2025-03-22_03:00:00,0.0,25.923359,26.567854,1017.74854,19.805933,80.30957,0.0
2025-03-22_04:00:00,0.0,25.429611,26.716167,1017.7986,20.927633,67.93772,0.0
2025-03-22_05:00:00,0.0,24.58205,28.716244,1017.833,20.734066,61.74259,0.0
2025-03-22_06:00:00,0.0,23.31083,31.834871,1018.1271,19.792873,58.585487,0.0
2025-03-22_07:00:00,0.0,22.743336,34.973892,1018.46265,19.926287,59.49205,0.0
2025-03-22_08:00:00,0.0,22.71759,37.26084,1018.6713,20.924831,61.01763,0.0
2025-03-22_09:00:00,0.0,22.580002,38.287037,1018.96844,21.48704,60.781654,0.0
2025-03-22_10:00:00,0.0,22.807657,39.000496,1019.3544,22.7602,59.65951,0.0
2025-03-22_11:00:00,0.0,24.439861,37.76287,1019.24316,25.223906,57.922436,0.0
2025-03-22_12:00:00,0.0,27.049818,35.0117,1018.64923,26.527708,57.622643,0.0
2025-03-22_13:00:00,0.0,29.786718,31.181396,1017.50256,26.676624,52.52185,0.0
2025-03-22_14:00:00,0.0,32.051014,29.17207,1016.57947,24.448772,49.178093,0.0
2025-03-22_15:00:00,1.9486183191474993e-05,33.240173,27.789515,1015.72375,18.508053,35.886787,0.0
2025-03-22_16:00:00,0.017130648368038237,28.299286,43.338634,1016.6334,20.772816,215.65944,0.0
2025-03-22_17:00:00,0.5265422009397298,23.939678,62.317337,1017.0259,23.37867,176.85178,0.0
2025-03-22_18:00:00,0.3184443563222885,23.072285,68.35339,1017.1027,27.955624,169.61357,0.0
2025-03-22_19:00:00,1.5757781639695168,21.285942,79.896736,1017.9204,25.56181,180.06853,0.0
2025-03-22_20:00:00,1.2801031917333603,21.100296,82.53766,1017.4701,24.413998,186.44125,0.0
2025-03-22_21:00:00,2.8680864572525024,19.959408,96.64809,1019.25574,13.221165,270.07764,0.0
2025-03-22_22:00:00,1.3291301131248474,20.598064,92.88873,1018.6234,4.0185623,153.84003,0.0
2025-03-22_23:00:00,1.9653254449367523,20.880627,91.990486,1019.17883,6.478685,319.2253,0.0
2025-03-23_00:00:00,0.3192768096923828,21.957264,82.70199,1018.3725,8.673253,34.25332,0.0
