Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.628128,70.86916,1009.4569,6.313198,170.38257,0.0
2025-03-20_01:00:00,0.0,24.013706,79.12372,1009.83484,5.1678433,120.20351,0.0
2025-03-20_02:00:00,0.0,23.277554,82.920685,1010.13,5.6163235,56.092346,0.0
2025-03-20_03:00:00,0.0,22.550318,87.094345,1010.15857,6.386196,65.055176,0.0
2025-03-20_04:00:00,0.0,21.915752,91.19595,1010.7559,6.3634224,88.802536,0.0
2025-03-20_05:00:00,0.0,21.474287,93.735306,1010.72156,5.6031337,109.71653,0.0
2025-03-20_06:00:00,0.0,21.14516,94.65528,1010.7291,5.1170473,107.094,0.0
2025-03-20_07:00:00,0.0,20.747118,96.5349,1011.4165,6.1941824,126.651306,0.0
2025-03-20_08:00:00,0.0,20.505556,96.61224,1011.6245,5.7144337,137.8951,0.0
2025-03-20_09:00:00,0.0,20.315437,96.21619,1011.8645,6.033358,139.5338,0.0
2025-03-20_10:00:00,0.0,20.186846,97.28641,1012.2245,6.355517,128.12741,0.0
2025-03-20_11:00:00,0.0,23.554712,85.74403,1012.14124,6.9070835,130.01755,0.0
2025-03-20_12:00:00,0.0,26.296814,72.77091,1012.02637,7.64178,134.5277,0.0
2025-03-20_13:00:00,0.0,28.642246,60.08445,1011.2763,7.5936604,126.702286,0.0
2025-03-20_14:00:00,0.0,30.574589,51.869255,1010.52026,8.672431,119.22202,0.0
2025-03-20_15:00:00,0.0,32.06758,45.996178,1009.72046,9.09557,111.93756,0.0
2025-03-20_16:00:00,0.0,33.091446,42.629814,1008.9648,8.573123,106.81065,0.0
2025-03-20_17:00:00,0.0,33.843765,40.232903,1008.2279,7.2843695,104.19083,0.0
2025-03-20_18:00:00,0.0,34.383686,38.683487,1007.56226,6.107608,105.151726,0.0
2025-03-20_19:00:00,0.0,34.692585,37.514374,1007.2869,4.988991,109.44915,0.0
2025-03-20_20:00:00,0.0,34.716995,36.915146,1007.2002,4.0671916,128.67508,0.0
2025-03-20_21:00:00,0.0,34.281563,37.905254,1007.30206,3.28179,135.49387,0.0
2025-03-20_22:00:00,0.0,31.274343,44.802185,1008.00305,3.0563226,120.29601,0.0
2025-03-20_23:00:00,0.0,29.938627,49.001274,1008.5481,5.087087,83.70898,0.0
2025-03-21_00:00:00,0.0,28.655521,53.714546,1009.0021,5.5336967,204.4378,0.0
2025-03-21_01:00:00,0.0,27.909313,58.49511,1009.2616,3.8260462,117.139755,0.0
2025-03-21_02:00:00,0.0010959011142404051,27.042831,63.986637,1009.59125,9.796579,66.55191,0.0
2025-03-21_03:00:00,0.0026324762516196643,25.987589,71.1799,1009.8824,10.261996,82.93913,0.0
2025-03-21_04:00:00,0.0040633924991198,25.219965,74.30242,1009.6968,7.528296,105.43425,0.0
2025-03-21_05:00:00,0.0025089213595492765,24.46937,77.771614,1009.70667,8.891132,288.31177,0.0
2025-03-21_06:00:00,0.0,23.585798,81.71425,1009.83203,7.8973527,318.45917,0.0
2025-03-21_07:00:00,0.0,23.1839,82.81565,1010.5073,6.7162414,66.09285,0.0
2025-03-21_08:00:00,0.0,22.902702,84.716835,1010.9369,4.817832,118.01583,0.0
2025-03-21_09:00:00,0.0,22.387407,87.70561,1011.49786,7.070429,123.08914,0.0
2025-03-21_10:00:00,0.0,23.023129,87.37723,1011.7561,6.0280695,129.0816,0.0
2025-03-21_11:00:00,0.0,25.410915,76.508575,1011.94226,6.4749475,128.40091,0.0
2025-03-21_12:00:00,0.0,27.93774,67.273056,1011.87756,3.785795,104.943375,0.0
2025-03-21_13:00:00,0.0,30.016058,60.02897,1011.13025,2.9832346,43.60287,0.0
2025-03-21_14:00:00,0.0,31.679031,53.124237,1010.2329,2.3064294,150.84642,0.0
2025-03-21_15:00:00,0.0,32.89371,47.42075,1009.3796,3.2260334,123.90509,0.0
2025-03-21_16:00:00,0.0,33.851036,42.708508,1008.4344,4.344061,82.80667,0.0
2025-03-21_17:00:00,0.00013939756900072098,34.65628,37.900276,1007.5712,4.5112495,95.81435,0.0
2025-03-21_18:00:00,0.0,35.25128,34.66086,1006.56573,3.084806,138.94092,0.0
2025-03-21_19:00:00,0.0003577487077564001,35.629818,32.718876,1006.5855,4.7565737,71.83453,0.0
2025-03-21_20:00:00,0.0010608761222101748,34.981003,35.440712,1006.8775,11.263535,193.14351,0.0
2025-03-21_21:00:00,1.2330024741968373,30.758158,52.056572,1008.1995,14.681943,194.4323,0.0
2025-03-21_22:00:00,0.2426371011242736,28.411278,62.02377,1008.4177,9.268684,30.412878,0.0
2025-03-21_23:00:00,0.0014433695905609056,27.703108,64.82606,1008.9773,7.6534157,148.91028,0.0
2025-03-22_00:00:00,0.000897174933925271,27.356426,67.273766,1009.58,4.5049877,110.854385,0.0
2025-03-22_01:00:00,0.0005669780075550079,26.947176,67.85272,1009.3418,5.9897423,309.84552,0.0
2025-03-22_02:00:00,0.0,26.6907,67.99548,1009.2769,6.021959,127.52887,0.0
2025-03-22_03:00:00,0.0,26.172329,70.010025,1009.1748,6.723263,12.593376,0.0
2025-03-22_04:00:00,0.0,25.198343,73.96733,1009.44275,7.143039,177.1394,0.0
2025-03-22_05:00:00,0.0,24.455338,79.760796,1009.5165,6.862644,305.67285,0.0
2025-03-22_06:00:00,0.0,24.588154,80.73341,1009.6005,3.739461,193.7888,0.0
2025-03-22_07:00:00,0.00017154216766357422,24.327253,81.82584,1010.0995,4.3115835,55.187874,0.0
2025-03-22_08:00:00,0.0021221049246378243,23.916191,83.30069,1010.5552,5.3358955,85.72893,0.0
2025-03-22_09:00:00,3.337394446134567e-05,23.600546,84.448105,1010.9902,5.856267,81.40953,0.0
2025-03-22_10:00:00,0.0,25.341923,77.34041,1011.10046,4.295217,70.88172,0.0
2025-03-22_11:00:00,0.0,26.668192,73.8681,1011.30457,4.2514534,76.19171,0.0
2025-03-22_12:00:00,0.0,28.783064,65.74119,1011.1538,5.40327,17.731274,0.0
2025-03-22_13:00:00,0.0,30.464453,59.86821,1010.41626,7.670955,247.4666,0.0
2025-03-22_14:00:00,0.0,32.09946,53.230095,1009.37335,8.158093,257.50806,0.0
2025-03-22_15:00:00,0.0,33.422638,46.150314,1008.2164,8.833147,261.29108,0.0
2025-03-22_16:00:00,0.0013139984803274274,34.425186,42.076035,1007.03955,12.269177,114.37398,0.0
2025-03-22_17:00:00,0.09049932155176066,34.917923,38.972565,1006.0753,11.05866,116.5151,0.0
2025-03-22_18:00:00,8.819764479994774e-05,35.469707,36.254673,1005.0248,12.620637,267.1377,0.0
2025-03-22_19:00:00,6.684567779302597e-07,35.6575,35.323334,1004.86804,13.743759,174.28009,0.0
2025-03-22_20:00:00,0.00011171787627972662,34.361668,40.75387,1004.9249,20.400148,300.0605,0.0
2025-03-22_21:00:00,0.0019393647089600563,33.90973,41.175385,1005.42535,13.762016,315.31555,0.0
2025-03-22_22:00:00,0.0,30.963602,48.14904,1006.239,17.830265,338.93872,0.0
2025-03-22_23:00:00,0.007637928822077811,29.623287,52.318428,1007.1002,10.716569,323.72086,0.0
2025-03-23_00:00:00,0.0007730498909950256,28.46332,58.973907,1007.3334,10.55256,347.66083,0.0
