Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,21.920462,56.75096,1018.68604,6.804606,161.2926,0.0
2025-03-20_01:00:00,0.0,21.029024,58.38192,1018.56366,11.263367,149.92484,0.0
2025-03-20_02:00:00,0.0,20.963625,57.625816,1018.79486,11.878341,131.20647,0.0
2025-03-20_03:00:00,0.0,21.156487,56.09945,1018.7726,13.871105,128.67773,0.0
2025-03-20_04:00:00,0.0,20.901876,56.966236,1019.0698,12.782104,142.94579,0.0
2025-03-20_05:00:00,0.0,20.136404,60.248722,1019.09283,10.471645,148.84532,0.0
2025-03-20_06:00:00,0.0,19.613379,63.463413,1019.5182,11.477602,115.521545,0.0
2025-03-20_07:00:00,0.0,19.052359,66.46314,1020.12585,10.905743,88.43093,0.0
2025-03-20_08:00:00,0.0,19.047659,66.131744,1020.5372,12.979916,80.123955,0.0
2025-03-20_09:00:00,0.0,18.7518,66.04256,1020.9681,12.786254,80.91996,0.0
2025-03-20_10:00:00,0.0,18.742887,65.32189,1021.2903,14.568247,87.37538,0.0
2025-03-20_11:00:00,0.0,22.31433,52.86133,1020.7802,19.824886,81.12314,0.0
2025-03-20_12:00:00,0.0,24.490713,51.621483,1020.39136,22.771727,67.889725,0.0
2025-03-20_13:00:00,0.0,26.278196,50.389854,1019.6459,22.51117,59.33111,0.0
2025-03-20_14:00:00,0.0,27.834232,45.96936,1018.89435,20.451385,55.04555,0.0
2025-03-20_15:00:00,0.0,29.073385,38.32962,1018.0627,15.665182,50.710995,0.0
2025-03-20_16:00:00,0.0,30.010315,33.555767,1017.21124,12.149205,41.187824,0.0
2025-03-20_17:00:00,0.0,30.719393,31.493729,1016.3921,11.140232,37.29953,0.0
2025-03-20_18:00:00,0.0,31.144407,30.896107,1015.7661,11.287687,51.685753,0.0
2025-03-20_19:00:00,0.0,31.650612,29.716702,1015.4689,10.514644,52.779495,0.0
2025-03-20_20:00:00,0.0,31.609535,29.056372,1015.4264,9.744798,81.32391,0.0
2025-03-20_21:00:00,1.0577638136055612e-05,31.140135,29.340809,1015.6928,9.646606,61.89466,0.0
2025-03-20_22:00:00,0.0,28.452898,33.93993,1016.4885,8.983878,80.39679,0.0
2025-03-20_23:00:00,0.0,27.80741,35.889343,1016.9564,13.808301,88.52375,0.0
2025-03-21_00:00:00,0.0,25.883966,41.76684,1017.7036,13.211897,79.11587,0.0
2025-03-21_01:00:00,0.0,25.245787,43.484695,1017.5943,14.669521,78.1537,0.0
2025-03-21_02:00:00,0.0,24.744497,41.59657,1017.7012,16.329803,73.84865,0.0
2025-03-21_03:00:00,0.0,23.998755,42.300537,1017.92426,14.786207,64.912476,0.0
2025-03-21_04:00:00,0.0,23.815105,41.412155,1017.9048,15.406197,67.95243,0.0
2025-03-21_05:00:00,0.0,23.08971,43.06208,1018.06116,15.2724,52.825615,0.0
2025-03-21_06:00:00,0.0,22.615927,43.36019,1018.1453,15.343732,57.076405,0.0
2025-03-21_07:00:00,0.0,21.73469,46.667786,1019.1129,21.022373,65.697174,0.0
2025-03-21_08:00:00,0.0,20.962269,50.291786,1019.92755,22.87094,53.782654,0.0
2025-03-21_09:00:00,0.0,20.462473,53.635323,1020.55396,22.207293,52.053185,0.0
2025-03-21_10:00:00,0.0,20.496553,55.249935,1021.0157,22.469467,48.95869,0.0
2025-03-21_11:00:00,0.0,22.693855,51.358765,1020.9177,28.99248,50.649796,0.0
2025-03-21_12:00:00,0.0,24.679987,47.57168,1020.5532,30.567638,52.09888,0.0
2025-03-21_13:00:00,0.0,27.12799,40.510975,1019.47345,28.895601,53.06494,0.0
2025-03-21_14:00:00,0.0,29.007053,35.698074,1018.40375,26.889914,50.425774,0.0
2025-03-21_15:00:00,0.0,30.594585,31.246857,1017.2024,22.307285,45.98168,0.0
2025-03-21_16:00:00,0.0,31.368683,28.57639,1016.2708,15.616282,36.459988,0.0
2025-03-21_17:00:00,0.0,31.958292,26.706802,1015.3227,12.174226,46.24046,0.0
2025-03-21_18:00:00,0.0,32.354588,25.057201,1014.58484,10.104843,127.83975,0.0
2025-03-21_19:00:00,0.0,32.720264,24.221542,1014.32935,7.5115514,94.55498,0.0
2025-03-21_20:00:00,0.0,32.879425,24.151295,1014.1869,8.587493,82.812164,0.0
2025-03-21_21:00:00,0.0,32.501698,24.205124,1014.33264,9.123753,25.525688,0.0
2025-03-21_22:00:00,0.0,29.07277,29.099796,1015.3646,8.724773,48.486008,0.0
2025-03-21_23:00:00,0.0,27.804106,31.64452,1015.9476,10.206272,83.02689,0.0
2025-03-22_00:00:00,0.0,27.162323,33.574448,1016.23694,15.231146,97.07402,0.0
2025-03-22_01:00:00,0.0,27.065554,34.139984,1016.1244,17.903646,94.799255,0.0
2025-03-22_02:00:00,0.0,26.238037,33.058594,1016.33435,21.165476,86.367096,0.0
2025-03-22_03:00:00,0.0,25.370241,32.96129,1016.621,19.948788,83.11211,0.0
2025-03-22_04:00:00,0.0,24.847925,33.863747,1016.6313,19.60128,69.24866,0.0
2025-03-22_05:00:00,0.0,24.312252,34.013245,1016.6625,20.087828,69.25261,0.0
2025-03-22_06:00:00,0.0,23.552767,33.57653,1016.9547,22.43393,67.6823,0.0
2025-03-22_07:00:00,0.0,23.143007,34.05281,1017.2539,22.553612,61.01989,0.0
2025-03-22_08:00:00,0.0,22.634153,35.889183,1017.5498,26.269943,56.756344,0.0
2025-03-22_09:00:00,0.0,22.281391,38.07108,1017.7318,22.25765,53.361496,0.0
2025-03-22_10:00:00,0.0,22.596205,38.080086,1017.87573,23.116304,56.620964,0.0
2025-03-22_11:00:00,0.0,24.07258,36.80682,1017.7255,23.993338,50.783577,0.0
2025-03-22_12:00:00,0.0,26.729612,36.329536,1017.13684,26.322031,40.775295,0.0
2025-03-22_13:00:00,0.0,29.279749,38.827194,1015.7572,28.77367,31.849447,0.0
2025-03-22_14:00:00,0.0,31.05166,37.08165,1014.6315,28.184298,23.59328,0.0
2025-03-22_15:00:00,0.0,32.236366,33.909378,1013.5576,23.672766,17.732456,0.0
2025-03-22_16:00:00,5.451159564984209e-05,32.560028,33.05121,1011.6964,21.299227,31.270493,0.0
2025-03-22_17:00:00,1.9389480198733509,29.236744,48.036423,1013.19385,20.691074,151.14236,0.0
2025-03-22_18:00:00,4.645472217351198,22.030527,89.44118,1016.1028,31.508442,252.37091,0.0
2025-03-22_19:00:00,8.461848378181458,23.046227,85.372574,1016.0088,14.831381,227.94891,0.0
2025-03-22_20:00:00,3.095715582370758,23.007025,87.71173,1017.224,9.61175,217.94644,0.0
2025-03-22_21:00:00,1.6844069957733154,22.465181,86.15697,1016.82446,9.379095,89.9444,0.0
2025-03-22_22:00:00,0.19180017709732056,21.769026,86.38932,1017.2366,7.3556433,143.02202,0.0
2025-03-22_23:00:00,0.1589396595954895,22.022425,84.26567,1017.52856,12.045114,83.2995,0.0
2025-03-23_00:00:00,0.01328498125076294,21.923906,83.081566,1017.4812,14.243416,74.059364,0.0
