Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.828272,59.772804,1013.54016,6.3185444,181.40685,0.0
2025-03-20_01:00:00,0.0,22.24315,71.48834,1013.3972,7.9826536,187.6528,0.0
2025-03-20_02:00:00,0.0,21.571774,74.6687,1013.5992,9.0755,181.55307,0.0
2025-03-20_03:00:00,0.0,20.880634,78.05121,1013.51196,8.9217615,182.23474,0.0
2025-03-20_04:00:00,0.0,20.629168,79.16922,1013.9856,12.015579,179.53796,0.0
2025-03-20_05:00:00,0.0,19.233196,86.31376,1014.0492,8.291917,163.28154,0.0
2025-03-20_06:00:00,0.0,18.593632,89.790146,1014.10986,8.344032,147.33429,0.0
2025-03-20_07:00:00,0.0,18.293093,89.239426,1014.392,7.8053603,158.21347,0.0
2025-03-20_08:00:00,0.0,17.84331,90.17548,1014.6975,7.582911,170.27515,0.0
2025-03-20_09:00:00,0.0,17.45984,89.62,1014.94946,7.827848,175.45099,0.0
2025-03-20_10:00:00,0.0,17.22597,87.95459,1015.2008,8.395691,172.11008,0.0
2025-03-20_11:00:00,0.0,20.821548,70.09065,1015.2978,6.4842477,167.54202,0.0
2025-03-20_12:00:00,0.0,25.477177,51.809734,1015.2164,8.488358,156.862,0.0
2025-03-20_13:00:00,0.0,29.232443,41.696884,1014.5299,10.45329,139.10364,0.0
2025-03-20_14:00:00,0.0,31.865808,36.84835,1013.7517,9.362169,122.861176,0.0
2025-03-20_15:00:00,0.0,33.70661,32.75379,1012.8315,5.384216,88.88119,0.0
2025-03-20_16:00:00,0.0,34.865196,30.232716,1012.03766,5.847673,72.34098,0.0
2025-03-20_17:00:00,0.0,35.686863,28.639507,1011.3007,6.212109,128.37085,0.0
2025-03-20_18:00:00,0.0,36.337925,27.437199,1010.6197,5.775161,169.93216,0.0
2025-03-20_19:00:00,0.0,36.776077,26.419207,1010.32697,5.33675,198.86269,0.0
2025-03-20_20:00:00,0.0,36.84555,26.242973,1010.218,5.8262515,195.18326,0.0
2025-03-20_21:00:00,0.0,36.48948,26.81943,1010.24097,5.0851326,200.66129,0.0
2025-03-20_22:00:00,0.0009463533069720143,33.080017,32.994064,1010.52576,5.793117,124.57498,0.0
2025-03-20_23:00:00,0.011198655474800034,31.928427,35.983448,1010.9052,7.5675836,236.09464,0.0
2025-03-21_00:00:00,0.0030302763657346077,29.69968,42.027946,1011.32513,10.618288,225.87337,0.0
2025-03-21_01:00:00,6.013549864292145e-06,27.592352,47.16181,1011.41223,9.365101,206.35873,0.0
2025-03-21_02:00:00,0.0,27.352072,47.302025,1011.26074,8.322194,176.18054,0.0
2025-03-21_03:00:00,0.0,26.993326,47.716633,1011.28796,8.735213,83.84802,0.0
2025-03-21_04:00:00,0.0,27.065233,47.26407,1011.1054,10.789137,42.46543,0.0
2025-03-21_05:00:00,0.0,26.394417,48.174896,1011.017,10.883372,43.596905,0.0
2025-03-21_06:00:00,0.0,26.305063,47.506054,1010.9845,12.420937,37.08638,0.0
2025-03-21_07:00:00,0.0,25.218884,50.166603,1011.44366,12.117529,48.425373,0.0
2025-03-21_08:00:00,0.0,24.966694,49.989136,1012.02014,11.398814,74.77962,0.0
2025-03-21_09:00:00,0.0,25.461845,46.665745,1012.44434,13.237247,67.95286,0.0
2025-03-21_10:00:00,0.0,26.338543,43.691612,1012.84705,14.727905,51.96269,0.0
2025-03-21_11:00:00,0.0,29.463625,37.74131,1013.2191,14.454766,53.95881,0.0
2025-03-21_12:00:00,0.0,32.531487,30.065285,1013.1686,19.971071,50.998222,0.0
2025-03-21_13:00:00,0.0,34.785995,27.622528,1012.57117,23.446352,43.119164,0.0
2025-03-21_14:00:00,0.0,35.847794,27.796486,1011.8376,21.111088,31.858265,0.0
2025-03-21_15:00:00,0.0,36.691246,26.562334,1010.95184,16.431728,31.143353,0.0
2025-03-21_16:00:00,0.0,37.48448,26.063942,1010.094,15.793365,24.396,0.0
2025-03-21_17:00:00,0.0,38.059814,25.032839,1009.28723,13.23144,79.9393,0.0
2025-03-21_18:00:00,0.0,38.2409,25.124802,1008.53503,13.4977255,227.27953,0.0
2025-03-21_19:00:00,3.096647560596466e-08,38.324974,25.183884,1008.31506,11.87451,65.801544,0.0
2025-03-21_20:00:00,2.076546661555767e-05,38.2687,25.321514,1008.199,10.101349,38.43023,0.0
2025-03-21_21:00:00,0.11543425510171801,36.47863,29.709837,1008.4723,18.067099,89.52494,0.0
2025-03-21_22:00:00,0.07123897612473229,33.276825,35.97051,1008.91296,6.6552005,144.91457,0.0
2025-03-21_23:00:00,0.0025881831243168563,32.880417,37.860527,1009.42944,5.4041405,212.16396,0.0
2025-03-22_00:00:00,0.002111221823724918,31.633371,40.8235,1009.71594,8.183524,47.11185,0.0
2025-03-22_01:00:00,6.239593494683504e-05,31.342789,41.435493,1009.7104,13.88982,54.1288,0.0
2025-03-22_02:00:00,0.0007175342179834843,32.276905,36.036545,1009.36456,14.864891,71.51935,0.0
2025-03-22_03:00:00,0.0006709180306643248,30.295074,41.79683,1009.4807,12.880921,64.22371,0.0
2025-03-22_04:00:00,0.0,29.749523,40.17911,1009.364,12.991147,60.601936,0.0
2025-03-22_05:00:00,0.0,29.156322,39.90998,1009.2848,13.498647,40.954273,0.0
2025-03-22_06:00:00,0.0,29.378098,39.248306,1009.178,14.09996,33.97728,0.0
2025-03-22_07:00:00,0.011541066807694733,28.012117,42.000824,1009.875,12.961081,18.954063,0.0
2025-03-22_08:00:00,0.003125220420770347,27.002432,47.939056,1010.5084,12.66932,4.1477747,0.0
2025-03-22_09:00:00,7.547438144683838e-06,25.597076,57.435726,1010.8004,10.359717,8.084437,0.0
2025-03-22_10:00:00,0.0,25.897917,55.47928,1011.23883,13.790846,45.032127,0.0
2025-03-22_11:00:00,0.002871754812076688,27.343021,55.940002,1011.4263,12.73761,27.390217,0.0
2025-03-22_12:00:00,0.07126298383809626,29.73568,53.714695,1011.517,17.882889,6.973898,0.0
2025-03-22_13:00:00,0.387843910837546,30.939411,56.062927,1010.80536,18.25939,343.9986,0.0
2025-03-22_14:00:00,0.649897875264287,32.520973,52.968483,1009.8518,18.456562,263.86243,0.0
2025-03-22_15:00:00,3.3974647521972656e-05,35.404922,43.230865,1008.77826,21.483854,346.17804,0.0
2025-03-22_16:00:00,0.0029042698442935944,36.716583,38.312477,1007.244,24.179173,342.7526,0.0
2025-03-22_17:00:00,1.731714103370905,33.558716,50.363594,1007.3546,24.67402,326.68848,0.0
2025-03-22_18:00:00,0.41993413493037224,33.086395,52.04583,1006.63104,11.722056,97.90913,0.0
2025-03-22_19:00:00,0.027879923582077026,28.041965,78.0654,1008.31836,32.459846,112.79419,0.0
2025-03-22_20:00:00,0.3710954189300537,28.109196,72.44472,1008.33984,29.04005,123.79491,0.0
2025-03-22_21:00:00,0.0,27.709608,69.61652,1008.2855,24.445679,120.062035,0.0
2025-03-22_22:00:00,0.0,26.766624,74.24504,1008.66345,17.177841,108.30864,0.0
2025-03-22_23:00:00,0.0,25.996004,76.23868,1008.9868,15.736919,96.177345,0.0
2025-03-23_00:00:00,0.0,25.570662,73.56094,1008.985,18.273178,103.60593,0.0
