Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.655352,62.201336,1007.1842,10.51755,180.6607,0.0
2025-03-20_01:00:00,0.0,22.753584,69.21655,1007.00037,8.767224,188.07784,0.0
2025-03-20_02:00:00,0.0,21.984034,72.25278,1007.50305,6.3258233,163.03912,0.0
2025-03-20_03:00:00,0.0,21.582,74.22953,1007.9093,3.2432787,116.49532,0.0
2025-03-20_04:00:00,0.0,21.091312,76.00065,1007.7449,4.0895715,174.97205,0.0
2025-03-20_05:00:00,0.0,20.430676,78.81572,1008.0761,9.114998,145.71222,0.0
2025-03-20_06:00:00,0.0,19.543499,83.42189,1008.3803,7.1408253,146.00021,0.0
2025-03-20_07:00:00,0.0,19.2645,84.3658,1008.8877,7.808709,149.84148,0.0
2025-03-20_08:00:00,0.0,19.195988,84.457245,1009.25507,7.8442407,141.03616,0.0
2025-03-20_09:00:00,0.0,19.039059,85.77149,1009.5773,7.685472,145.72017,0.0
2025-03-20_10:00:00,0.0,19.015255,87.13474,1009.9332,7.4579406,147.11624,0.0
2025-03-20_11:00:00,0.0,22.97964,71.847275,1009.78815,8.78454,106.264175,0.0
2025-03-20_12:00:00,0.0,26.047619,61.404984,1009.5689,11.321761,92.28499,0.0
2025-03-20_13:00:00,0.0,28.492847,52.760033,1008.78107,13.324228,85.48287,0.0
2025-03-20_14:00:00,0.0,30.267742,45.984486,1008.0027,14.144806,88.270004,0.0
2025-03-20_15:00:00,0.0,31.4764,40.914543,1007.17834,12.897907,92.12384,0.0
2025-03-20_16:00:00,0.0,32.45856,36.47161,1006.28613,10.767376,93.54734,0.0
2025-03-20_17:00:00,0.0,33.079082,34.15557,1005.54364,9.847102,112.26741,0.0
2025-03-20_18:00:00,0.003482084779534489,33.614723,32.078613,1004.796,11.535915,138.92213,0.0
2025-03-20_19:00:00,0.0007528342803198029,33.885628,31.099682,1004.6622,13.551342,139.54382,0.0
2025-03-20_20:00:00,0.00026019878350780345,33.78681,30.67619,1004.7661,10.835492,127.168884,0.0
2025-03-20_21:00:00,0.00019588445138651878,33.312935,31.670448,1005.01733,10.659331,119.64479,0.0
2025-03-20_22:00:00,0.0001034472807077691,30.665956,34.214657,1005.70355,12.000721,148.07251,0.0
2025-03-20_23:00:00,0.018506220444294286,29.24756,37.31624,1006.29803,12.93248,165.1384,0.0
2025-03-21_00:00:00,0.0011599053177633323,27.843939,41.16394,1006.8104,12.829149,155.54417,0.0
2025-03-21_01:00:00,0.0,26.697758,42.16059,1006.8795,11.958762,146.21902,0.0
2025-03-21_02:00:00,0.0,25.577526,43.84423,1007.07764,8.634617,154.09966,0.0
2025-03-21_03:00:00,0.0,25.61979,42.462822,1007.325,6.521586,147.46556,0.0
2025-03-21_04:00:00,0.0011281432525720447,24.758265,43.129105,1007.6135,7.33103,122.16353,0.0
2025-03-21_05:00:00,0.0010772037585411454,24.168941,43.56328,1007.78143,8.493353,106.04627,0.0
2025-03-21_06:00:00,0.00014161996659822762,23.173483,46.798023,1008.06036,6.94047,102.81207,0.0
2025-03-21_07:00:00,0.0,22.210127,48.88828,1008.55896,9.321255,143.85866,0.0
2025-03-21_08:00:00,0.0,21.653809,51.00062,1009.0863,10.421531,138.25494,0.0
2025-03-21_09:00:00,0.0,20.641283,55.015358,1009.62695,9.630359,143.92596,0.0
2025-03-21_10:00:00,0.0,21.625132,52.952545,1009.99536,9.72354,146.72427,0.0
2025-03-21_11:00:00,0.0,24.089035,48.348022,1009.9991,12.59647,112.27434,0.0
2025-03-21_12:00:00,0.0,26.833286,46.58824,1009.8002,12.386952,85.22221,0.0
2025-03-21_13:00:00,0.0,29.477493,45.783607,1008.7918,13.494692,69.57553,0.0
2025-03-21_14:00:00,0.0,31.17041,42.686222,1007.86505,15.113589,63.06681,0.0
2025-03-21_15:00:00,0.0,32.483635,38.206722,1006.8292,13.509399,68.34581,0.0
2025-03-21_16:00:00,0.0,33.493813,34.004627,1005.7367,12.571377,70.28323,0.0
2025-03-21_17:00:00,2.648246936587384e-05,34.308304,30.588905,1004.68616,11.35997,76.81465,0.0
2025-03-21_18:00:00,1.6127878552651964e-06,34.83454,28.849031,1003.8087,10.229601,80.172935,0.0
2025-03-21_19:00:00,1.711070945020765e-05,35.080055,28.152653,1003.59045,9.004328,85.55844,0.0
2025-03-21_20:00:00,0.004727985811769031,34.673676,29.058533,1003.7193,8.900418,98.62658,0.0
2025-03-21_21:00:00,0.06913518722285517,33.786163,31.417957,1004.1068,11.061339,158.2963,0.0
2025-03-21_22:00:00,0.0004758636641781777,30.699718,37.83171,1004.97156,14.355689,181.03824,0.0
2025-03-21_23:00:00,4.7584588173776865e-05,29.425358,40.486137,1005.47144,11.263118,171.1931,0.0
2025-03-22_00:00:00,0.0004936557961627841,28.25991,45.43457,1006.1477,8.491882,181.34378,0.0
2025-03-22_01:00:00,0.14123333158204332,29.076687,45.99639,1006.19904,14.145563,291.7389,0.0
2025-03-22_02:00:00,0.4709646829869598,28.535404,48.02813,1006.4922,19.469358,24.345482,0.0
