Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.129509,53.93338,1011.72516,1.6877548,143.54736,0.0
2025-03-20_01:00:00,0.0,22.894373,63.04104,1011.8295,4.3553233,288.78687,0.0
2025-03-20_02:00:00,0.0,22.023554,66.60563,1011.8852,5.0515785,244.5115,0.0
2025-03-20_03:00:00,0.0,20.786516,69.29849,1012.3143,8.5757675,206.39297,0.0
2025-03-20_04:00:00,0.0,20.114923,68.92048,1012.7623,5.6096954,170.80905,0.0
2025-03-20_05:00:00,0.0,19.705908,69.667816,1012.8397,6.700092,188.62076,0.0
2025-03-20_06:00:00,0.0,19.271029,72.078354,1012.9374,6.2065053,176.6579,0.0
2025-03-20_07:00:00,0.0,18.948013,74.67366,1013.5526,7.1924253,174.80685,0.0
2025-03-20_08:00:00,0.0,18.506338,77.37702,1014.3285,8.039647,140.24515,0.0
2025-03-20_09:00:00,0.0,17.942862,80.52441,1014.78687,8.175844,122.1475,0.0
2025-03-20_10:00:00,0.0,17.929955,83.1691,1015.2764,8.093346,106.22005,0.0
2025-03-20_11:00:00,0.0,22.563118,67.13217,1015.08813,9.656464,99.81792,0.0
2025-03-20_12:00:00,0.0,25.494345,60.057922,1014.8983,15.624484,84.67235,0.0
2025-03-20_13:00:00,0.0,27.544956,53.821808,1014.2035,15.775655,77.73045,0.0
2025-03-20_14:00:00,0.0,29.618368,47.51608,1013.3787,14.2682,77.09686,0.0
2025-03-20_15:00:00,0.0,31.313625,40.57975,1012.4196,13.425158,81.01419,0.0
2025-03-20_16:00:00,0.0,32.46807,34.073975,1011.4769,11.947817,82.41318,0.0
2025-03-20_17:00:00,0.0,33.230717,30.84498,1010.6785,10.705987,83.84909,0.0
2025-03-20_18:00:00,0.0,33.832775,28.137415,1009.9732,9.940083,91.31496,0.0
2025-03-20_19:00:00,7.538073759860708e-05,33.951313,28.279297,1009.8657,13.47328,113.98068,0.0
2025-03-20_20:00:00,0.0,33.980827,27.902267,1009.83203,12.469893,112.37103,0.0
2025-03-20_21:00:00,0.0,33.569904,27.275166,1010.02734,11.250219,115.30893,0.0
2025-03-20_22:00:00,0.0,29.396627,34.447212,1010.82465,11.703011,122.64789,0.0
2025-03-20_23:00:00,0.0,28.479567,37.74596,1011.25836,12.860781,107.689,0.0
2025-03-21_00:00:00,0.0,27.486286,39.1608,1011.657,12.8962965,97.968094,0.0
2025-03-21_01:00:00,0.0,26.733992,37.854507,1011.57947,13.985403,103.32632,0.0
2025-03-21_02:00:00,0.0,26.399218,36.23039,1011.48083,13.9787855,98.63469,0.0
2025-03-21_03:00:00,0.0,25.27042,39.802246,1011.6654,12.642702,92.97763,0.0
2025-03-21_04:00:00,0.0,24.290062,41.68794,1011.79517,12.090892,91.27871,0.0
2025-03-21_05:00:00,0.0,23.945154,39.724976,1012.1172,14.333529,99.53517,0.0
2025-03-21_06:00:00,0.0,22.432163,44.267723,1012.49225,12.921874,97.158646,0.0
2025-03-21_07:00:00,0.0,21.659298,50.365295,1013.18134,12.061066,92.41849,0.0
2025-03-21_08:00:00,0.0,21.207367,57.26123,1013.7461,11.454694,91.277954,0.0
2025-03-21_09:00:00,0.0,20.71564,61.981846,1014.71936,10.621498,59.700882,0.0
2025-03-21_10:00:00,0.0,21.475399,62.012558,1015.0182,8.186317,99.74687,0.0
2025-03-21_11:00:00,0.0,24.403736,53.18599,1014.79315,20.413418,82.4129,0.0
2025-03-21_12:00:00,0.0,26.68488,47.388115,1014.71704,19.187729,79.212616,0.0
2025-03-21_13:00:00,0.0,29.008066,42.427235,1013.8678,17.85014,78.29079,0.0
2025-03-21_14:00:00,0.0,31.030657,38.4339,1012.89124,16.67935,75.40481,0.0
2025-03-21_15:00:00,0.0,32.866043,33.559048,1011.7073,14.450159,70.17824,0.0
2025-03-21_16:00:00,0.0,34.06956,29.01397,1010.4907,10.772896,65.836494,0.0
2025-03-21_17:00:00,0.0,34.824093,26.913565,1009.46265,8.916303,64.1044,0.0
2025-03-21_18:00:00,0.0,35.361717,25.083073,1008.62256,7.286987,66.08977,0.0
2025-03-21_19:00:00,0.0,35.7148,23.94097,1008.4663,7.6267276,68.19518,0.0
2025-03-21_20:00:00,0.0,35.562645,24.014599,1008.3928,7.652494,88.38227,0.0
2025-03-21_21:00:00,2.0126540221099276e-06,34.729614,26.29464,1008.65485,10.485978,106.03468,0.0
2025-03-21_22:00:00,2.2537810536960023e-05,31.512436,31.530424,1009.2888,10.622675,110.16414,0.0
2025-03-21_23:00:00,0.00010338133358800405,29.812475,34.533714,1009.772,11.3811245,104.118095,0.0
2025-03-22_00:00:00,0.0,30.186865,33.144234,1010.1627,13.91871,100.48369,0.0
2025-03-22_01:00:00,9.491048444942862e-07,28.068317,32.319603,1010.46155,13.301556,107.29926,0.0
2025-03-22_02:00:00,0.0,26.83399,30.82827,1010.50085,11.80528,101.172455,0.0
2025-03-22_03:00:00,0.0,25.965212,34.350533,1010.5746,10.151102,90.08014,0.0
2025-03-22_04:00:00,0.0007152627299547021,25.79849,35.89286,1010.7468,9.177158,86.037735,0.0
2025-03-22_05:00:00,0.05148553481922136,25.318956,37.714203,1010.7174,8.184151,103.56453,0.0
2025-03-22_06:00:00,0.03617502772613079,23.720482,42.077675,1011.3485,9.495795,85.91425,0.0
2025-03-22_07:00:00,0.0,23.232895,43.57715,1011.59235,10.535319,94.38964,0.0
2025-03-22_08:00:00,0.0,22.904867,45.30114,1011.766,11.68013,92.16681,0.0
2025-03-22_09:00:00,0.0,22.41104,48.57861,1011.96545,10.656704,88.73326,0.0
2025-03-22_10:00:00,0.0,24.026115,44.72336,1012.0032,10.245036,76.81001,0.0
2025-03-22_11:00:00,0.0,26.401245,40.51561,1012.0549,12.652224,54.51636,0.0
2025-03-22_12:00:00,0.0,28.27976,41.513153,1012.19305,10.894129,27.372673,0.0
2025-03-22_13:00:00,0.0,30.353405,41.34202,1011.2683,10.611729,22.891016,0.0
2025-03-22_14:00:00,0.0,32.276314,39.42366,1010.0446,11.25058,26.59481,0.0
2025-03-22_15:00:00,0.0,34.292156,34.70547,1008.57874,13.81863,20.959124,0.0
2025-03-22_16:00:00,0.0,35.444946,30.30933,1007.1629,13.113796,17.475128,0.0
2025-03-22_17:00:00,0.0,36.247128,27.253372,1006.1451,11.280919,14.2525015,0.0
2025-03-22_18:00:00,0.0,36.64112,24.738127,1004.90784,9.868713,38.715244,0.0
2025-03-22_19:00:00,0.0,36.701622,25.55743,1004.7139,12.48986,199.52213,0.0
2025-03-22_20:00:00,0.0,35.789124,28.253159,1005.4663,10.363362,306.4179,0.0
2025-03-22_21:00:00,0.00707136481651105,34.605347,30.845436,1006.6986,9.6533575,293.37543,0.0
2025-03-22_22:00:00,0.3552353451959789,25.44707,73.16594,1010.54315,27.060444,238.48482,0.0
2025-03-22_23:00:00,1.787059560418129,24.05608,79.113785,1011.06726,13.05048,196.88849,0.0
2025-03-23_00:00:00,0.42397044599056244,24.116493,81.73123,1011.4831,16.951704,158.24803,0.0
