Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.36504,62.199852,1015.9541,2.4049878,123.03615,0.0
2025-03-20_01:00:00,0.0,24.454853,71.93724,1015.5857,5.018497,149.36942,0.0
2025-03-20_02:00:00,0.0,23.799206,72.64427,1016.2754,7.323952,177.44418,0.0
2025-03-20_03:00:00,0.0,23.439009,73.783104,1016.2622,7.463578,166.56793,0.0
2025-03-20_04:00:00,0.0,22.959026,75.31403,1016.6374,7.9762697,132.64964,0.0
2025-03-20_05:00:00,0.0,22.481562,76.90055,1016.7104,6.8999925,131.49205,0.0
2025-03-20_06:00:00,0.0,22.10262,78.096634,1016.76666,6.253444,138.94788,0.0
2025-03-20_07:00:00,0.0,21.79648,78.18119,1017.19714,5.9838643,131.80911,0.0
2025-03-20_08:00:00,0.0,21.472324,76.97901,1017.467,6.6759253,127.51042,0.0
2025-03-20_09:00:00,0.0,21.087175,75.81561,1017.91644,7.777994,133.30565,0.0
2025-03-20_10:00:00,0.0,20.8996,74.37779,1018.41974,8.579032,144.02768,0.0
2025-03-20_11:00:00,0.0,25.185886,60.638084,1018.1148,7.888333,168.20656,0.0
2025-03-20_12:00:00,0.0,28.016254,53.01405,1017.79346,7.17327,149.454,0.0
2025-03-20_13:00:00,0.0,30.548155,47.010567,1017.0595,5.361135,114.03487,0.0
2025-03-20_14:00:00,0.0,32.331875,42.02758,1016.307,4.044468,84.49492,0.0
2025-03-20_15:00:00,0.0,33.448303,38.372917,1015.56085,3.7928684,65.47354,0.0
2025-03-20_16:00:00,0.0,34.317856,35.186043,1014.7686,4.031829,49.562737,0.0
2025-03-20_17:00:00,2.8037154379489948e-05,35.01998,32.698124,1014.03064,5.061031,131.34837,0.0
2025-03-20_18:00:00,0.0001616947974980576,35.51178,31.359646,1013.3184,4.590473,142.7477,0.0
2025-03-20_19:00:00,9.117582521867007e-06,35.77903,30.796837,1013.15015,5.8709407,98.71217,0.0
2025-03-20_20:00:00,0.0,35.727684,30.583698,1013.1437,6.0617056,107.62065,0.0
2025-03-20_21:00:00,0.0009572800126989023,34.46074,34.35605,1013.4939,12.160522,190.91025,0.0
