Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,26.13699,66.75381,1003.0515,4.2497993,129.35338,0.0
2025-03-20_01:00:00,0.0,24.342642,74.21933,1002.4774,4.408481,171.94095,0.0
2025-03-20_02:00:00,0.0,23.724836,75.44746,1003.2599,6.775596,195.21332,0.0
2025-03-20_03:00:00,0.0,23.378979,75.54087,1003.06506,6.6472096,180.57846,0.0
2025-03-20_04:00:00,0.0,22.910366,75.11934,1003.7102,8.923279,160.88203,0.0
2025-03-20_05:00:00,0.0,22.31754,76.84247,1003.7012,7.912845,154.89052,0.0
2025-03-20_06:00:00,0.0,22.091305,77.872536,1003.8962,6.0075216,135.81241,0.0
2025-03-20_07:00:00,0.0,21.731438,78.552,1004.35333,5.184046,127.328064,0.0
2025-03-20_08:00:00,0.0,21.385426,78.07209,1004.6218,5.162227,151.58032,0.0
2025-03-20_09:00:00,0.0,21.200659,76.48294,1004.9075,5.0494633,127.44812,0.0
2025-03-20_10:00:00,0.0,20.680027,78.06461,1005.41785,6.524377,97.12833,0.0
2025-03-20_11:00:00,0.0,24.375101,64.01686,1005.2697,5.031971,53.11197,0.0
2025-03-20_12:00:00,0.0,26.981544,55.94239,1005.04553,7.681187,65.152405,0.0
2025-03-20_13:00:00,0.0,29.232065,49.845875,1004.3353,10.465107,64.9232,0.0
2025-03-20_14:00:00,0.0,30.709301,45.570267,1003.688,11.23955,63.78386,0.0
2025-03-20_15:00:00,0.0,31.721863,42.28825,1002.98926,10.300427,62.374485,0.0
2025-03-20_16:00:00,0.0,32.603493,39.522873,1002.2323,9.747716,58.808205,0.0
2025-03-20_17:00:00,7.080194791342365e-05,33.122612,37.95777,1001.57043,9.536382,56.477882,0.0
2025-03-20_18:00:00,0.08204723042581463,32.998672,39.278526,1001.10876,12.219902,111.29779,0.0
2025-03-20_19:00:00,0.7313192858127877,31.260641,44.438004,1001.48425,15.502748,138.4611,0.0
2025-03-20_20:00:00,0.018556064133008476,33.184498,37.587082,1001.0397,4.9777727,137.54652,0.0
2025-03-20_21:00:00,9.995419532060623e-06,32.963593,37.544106,1001.1532,3.9975896,133.53241,0.0
2025-03-20_22:00:00,0.0,29.674011,45.39553,1001.7884,4.306801,246.25812,0.0
2025-03-20_23:00:00,0.0,28.883633,47.154354,1002.11426,4.2034984,206.51195,0.0
2025-03-21_00:00:00,0.0,28.000654,49.695457,1002.55206,5.5642276,184.48563,0.0
2025-03-21_01:00:00,0.0,27.116926,52.093643,1002.4955,7.1560717,162.6839,0.0
2025-03-21_02:00:00,0.0016833972185850143,26.543653,54.40619,1002.5961,8.3234415,147.44235,0.0
2025-03-21_03:00:00,0.006015334110998083,26.139236,56.24518,1002.86896,9.913916,91.88249,0.0
2025-03-21_04:00:00,0.05958246330555994,24.78882,64.21384,1003.2726,5.8308873,130.53383,0.0
2025-03-21_05:00:00,2.9131246265023947e-05,24.052452,69.26549,1003.27454,9.274665,129.79048,0.0
2025-03-21_06:00:00,0.0,23.60625,71.57108,1003.32166,10.953944,137.59595,0.0
2025-03-21_07:00:00,0.0,23.4861,74.11385,1003.7862,10.95936,122.17749,0.0
2025-03-21_08:00:00,0.0,22.950684,77.47507,1004.2384,9.296917,102.63194,0.0
2025-03-21_09:00:00,0.0,22.428633,79.86195,1004.7671,8.0751505,131.79086,0.0
2025-03-21_10:00:00,0.0,22.853214,80.20612,1005.11316,5.6527324,81.546875,0.0
2025-03-21_11:00:00,0.0,25.559793,69.12448,1005.1216,5.0119042,78.72038,0.0
2025-03-21_12:00:00,0.0,27.77721,62.336792,1005.0862,8.246904,40.28688,0.0
2025-03-21_13:00:00,0.0,29.648424,56.283875,1004.30396,9.762322,33.45668,0.0
2025-03-21_14:00:00,0.0,31.271416,49.670143,1003.48584,10.686202,43.700188,0.0
2025-03-21_15:00:00,0.0,32.493507,43.356503,1002.64923,11.187343,51.98406,0.0
2025-03-21_16:00:00,0.0,33.370697,37.532906,1001.73804,10.2254305,53.59189,0.0
2025-03-21_17:00:00,0.0,34.05468,33.453,1000.9402,7.784762,50.830986,0.0
2025-03-21_18:00:00,1.8924474716186523e-06,34.645557,30.975828,1000.0514,5.9963307,63.661335,0.0
2025-03-21_19:00:00,1.423824141966179e-05,35.00197,29.863155,999.7536,5.145965,190.87274,0.0
2025-03-21_20:00:00,2.1245694370009005e-05,34.82106,30.59785,999.90674,5.8335185,185.9141,0.0
2025-03-21_21:00:00,0.00014587193436454982,33.319477,34.71958,1000.4586,13.417189,95.108444,0.0
2025-03-21_22:00:00,0.01437721966067329,29.929184,42.63257,1001.1316,6.5626583,53.552635,0.0
2025-03-21_23:00:00,0.0,29.024551,45.121468,1001.64294,7.328765,92.15999,0.0
2025-03-22_00:00:00,0.0,28.222094,47.567184,1002.235,8.781241,42.890697,0.0
2025-03-22_01:00:00,0.0,26.144274,61.91929,1002.4216,7.696627,49.770817,0.0
2025-03-22_02:00:00,0.0,25.932762,63.960888,1002.6854,8.745457,323.70468,0.0
2025-03-22_03:00:00,0.0,25.57006,67.46798,1002.49976,7.022172,238.15332,0.0
2025-03-22_04:00:00,0.0,25.188347,69.7369,1002.6238,5.376307,256.62543,0.0
2025-03-22_05:00:00,0.0,24.691685,72.20302,1002.5657,6.002004,208.08136,0.0
2025-03-22_06:00:00,0.0,24.395653,72.86266,1002.7399,8.441884,211.68161,0.0
2025-03-22_07:00:00,0.0,23.176733,75.66098,1003.5333,7.9515805,124.36103,0.0
2025-03-22_08:00:00,0.0,22.809835,75.842514,1004.0485,7.9522886,70.43541,0.0
2025-03-22_09:00:00,0.0,22.245308,80.150116,1004.4855,6.7629604,93.744576,0.0
2025-03-22_10:00:00,0.0,23.964958,74.976715,1004.5752,6.429487,55.772484,0.0
2025-03-22_11:00:00,0.0,25.507181,70.83721,1004.6491,6.525071,33.47274,0.0
2025-03-22_12:00:00,0.0,27.534285,65.90796,1004.4176,9.69731,40.94722,0.0
2025-03-22_13:00:00,0.0,29.511602,60.14724,1003.6304,12.591941,80.00634,0.0
2025-03-22_14:00:00,0.0,31.221506,54.304367,1002.56555,13.1006975,159.2542,0.0
